time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.177999999999999936e+00,1.010699999999999932e+01,6.929000000000000270e+00,0.000000000000000000e+00,1.615670637451999880e+02,-2.292491407999679986e-01
9.999999999999786837e-03,3.189999999999999947e+00,1.010774307279000084e+01,6.917743072789999559e+00,4.957064439999925298e-01,1.615512648351999871e+02,-2.370831788000050122e-01
2.000000000000046185e-02,3.190344553386666782e+00,1.008938616533333388e+01,6.899041611946667096e+00,1.005049024000001623e+00,1.615422400072000073e+02,-2.489381088000069964e-01
3.000000000000024869e-02,3.197300631364444090e+00,1.007348466395111153e+01,6.876184032586666994e+00,1.518098777999995264e+00,1.615384561831999974e+02,-2.548106657999770208e-01
4.000000000000003553e-02,3.230085741629999951e+00,1.009047520524000063e+01,6.860389463609999794e+00,2.024586753999997768e+00,1.615443387411999936e+02,-2.537187408000020072e-01
4.999999999999982236e-02,3.263015556111111160e+00,1.010892808917777863e+01,6.845912533066666583e+00,2.528280010000003131e+00,1.615640844531999960e+02,-2.526763477999690033e-01
6.000000000000049738e-02,3.279062874942221928e+00,1.011936525150222366e+01,6.840302376560000397e+00,3.028293723999993858e+00,1.615956466401999876e+02,-2.496764497999819921e-01
7.000000000000028422e-02,3.279825608417777705e+00,1.009064021044444459e+01,6.810814602026667330e+00,3.528476212000001055e+00,1.616242490031999921e+02,-2.366660068000049910e-01
8.000000000000007105e-02,3.278999999999999915e+00,1.006634830011555515e+01,6.787348300115556121e+00,4.026404995999996572e+00,1.616396945291999998e+02,-2.256096597999809883e-01
8.999999999999985789e-02,3.273472277410000242e+00,1.004041683223000092e+01,6.766944554820000235e+00,4.520083771999992450e+00,1.616418621642000062e+02,-2.185074387999769996e-01
1.000000000000005329e-01,3.251121348275555434e+00,9.989387208222222370e+00,6.738265859946666048e+00,5.007515126000001260e+00,1.616306484941999884e+02,-2.123594038000040096e-01
1.100000000000003197e-01,3.231335037373333385e+00,9.944004718880000482e+00,6.712669681506666208e+00,5.499941014000000905e+00,1.616196774832000074e+02,-2.182111917999770001e-01
1.200000000000001066e-01,3.216752057779999951e+00,9.919190072224999710e+00,6.702438014444999759e+00,5.991598073999995222e+00,1.616046313052000016e+02,-2.310488188000099918e-01
1.299999999999998934e-01,3.238521361222222339e+00,9.907591455511111533e+00,6.669070094288888306e+00,6.473384502000001817e+00,1.615870325132000005e+02,-2.398796097999680021e-01
1.400000000000005684e-01,3.266426300968888974e+00,9.907639283795555585e+00,6.641212982826667499e+00,6.964756571999998869e+00,1.615769781751999972e+02,-2.527349118000010164e-01
1.500000000000003553e-01,3.276952415564999832e+00,9.893219844120000772e+00,6.616267428555000052e+00,7.463002598000002763e+00,1.615693301501999883e+02,-2.625971547999920164e-01
1.600000000000001421e-01,3.270851027422221780e+00,9.872999999999999332e+00,6.602148972577777997e+00,7.967920179999993024e+00,1.615500860392000106e+02,-2.604169237999829911e-01
1.699999999999999289e-01,3.292351387688889020e+00,9.879675693844443884e+00,6.587324306155555753e+00,8.481081709999997997e+00,1.615443407591999971e+02,-2.562824707999630247e-01
1.800000000000006040e-01,3.322405547888888755e+00,9.884607556168889531e+00,6.562202008280000776e+00,9.013299861999996665e+00,1.615556917071999976e+02,-2.572041277999970177e-01
1.900000000000003908e-01,3.330000000000000071e+00,9.884000000000000341e+00,6.554000000000000270e+00,9.537813569999997299e+00,1.615616336312000101e+02,-2.471083438000070132e-01
2.000000000000001776e-01,3.344466579831111286e+00,9.872649099955555840e+00,6.528182520124444999e+00,1.002920949800000017e+01,1.615686967482000114e+02,-2.350238698000050031e-01
2.099999999999999645e-01,3.382233766699999755e+00,9.881999999999999673e+00,6.499766233299999918e+00,1.052445888999999113e+01,1.615959875242000123e+02,-2.300099488000109937e-01
2.200000000000006395e-01,3.391999999999999904e+00,9.876733586062222514e+00,6.484733586062222166e+00,1.099811789199999623e+01,1.616330245611999885e+02,-2.360352877999820076e-01
2.300000000000004263e-01,3.381927731444444696e+00,9.846661244373333233e+00,6.464733512928889425e+00,1.148130083399999535e+01,1.616435934062000115e+02,-2.329650677999970110e-01
2.400000000000002132e-01,3.353093607889999994e+00,9.803558746654999823e+00,6.450465138764999828e+00,1.196394449400000326e+01,1.616460689161999937e+02,-2.438665047999629965e-01
2.500000000000000000e-01,3.332541791093333483e+00,9.782541791093333217e+00,6.450000000000000178e+00,1.246718283399999905e+01,1.616386988302000134e+02,-2.557286307999639963e-01
2.599999999999997868e-01,3.329000000000000181e+00,9.767390632844444198e+00,6.438390632844444461e+00,1.297315822999999568e+01,1.616184745422000049e+02,-2.645447777999779815e-01
2.700000000000004619e-01,3.281686259777778059e+00,9.709169786537778180e+00,6.427483526759999677e+00,1.347582366199999626e+01,1.615860488982000049e+02,-2.713186007999829896e-01
2.800000000000002487e-01,3.295325622888888972e+00,9.711325622888889342e+00,6.416000000000000369e+00,1.397486655000000155e+01,1.615644413612000108e+02,-2.761313837999789800e-01
2.900000000000000355e-01,3.329905978888888285e+00,9.745905978888888654e+00,6.416000000000000369e+00,1.446615380999999445e+01,1.615734165421999933e+02,-2.880538357999790078e-01
2.999999999999998224e-01,3.378066094389999829e+00,9.798747903555000249e+00,6.420681809164999976e+00,1.497024760600000093e+01,1.615861489822000010e+02,-2.939866558000069907e-01
3.100000000000004974e-01,3.392999999999999794e+00,9.812349930617777716e+00,6.419349930617777034e+00,1.546481009400000062e+01,1.615903809362000061e+02,-2.838915017999599777e-01
3.200000000000002842e-01,3.403331806614999788e+00,9.807794754354999256e+00,6.404462947739999912e+00,1.596790174199999512e+01,1.616031163531999937e+02,-2.728244447999920164e-01
3.300000000000000711e-01,3.394037201320000197e+00,9.795182715699999321e+00,6.401145514379999568e+00,1.647724280999999280e+01,1.616292013231999931e+02,-2.698031478000080252e-01
3.399999999999998579e-01,3.378760750240000110e+00,9.787636322080000895e+00,6.408875571840000340e+00,1.698983302799999251e+01,1.616334608912000022e+02,-2.597040807999599910e-01
3.500000000000005329e-01,3.362974494359999955e+00,9.749470243419999349e+00,6.386495749059999838e+00,1.750085018800000114e+01,1.616126361261999875e+02,-2.365167797999910004e-01
3.600000000000003197e-01,3.359105199635555650e+00,9.739000000000000767e+00,6.379894800364444230e+00,1.800884907599998996e+01,1.616095974271999864e+02,-2.333930308000060072e-01
3.700000000000001066e-01,3.365678185180000170e+00,9.738321814820000810e+00,6.372643629639999752e+00,1.852127407199999709e+01,1.616167603712000016e+02,-2.493044127999680115e-01
3.799999999999998934e-01,3.345146077502222592e+00,9.728375112693333548e+00,6.383229035191111400e+00,1.901093327399999566e+01,1.616016178351999883e+02,-2.571421118000070116e-01
3.900000000000005684e-01,3.329308408373333528e+00,9.717090340311111518e+00,6.387781931937777991e+00,1.950093468599999369e+01,1.615804815632000100e+02,-2.659585947999649758e-01
4.000000000000003553e-01,3.327999999999999847e+00,9.715999999999999304e+00,6.387999999999999901e+00,1.999701430199999663e+01,1.615756934762000014e+02,-2.818314487999830087e-01
4.100000000000001421e-01,3.336410780906667206e+00,9.725601998368889056e+00,6.389191217462222738e+00,2.048604785799999206e+01,1.615715118201999871e+02,-2.957079967999939885e-01
4.199999999999999289e-01,3.309495032555555660e+00,9.695892648182223184e+00,6.386397615626666635e+00,2.098508941400000083e+01,1.615499254512000107e+02,-2.945208157999599785e-01
4.300000000000006040e-01,3.297424807902221922e+00,9.674172929155554712e+00,6.376748121253333679e+00,2.148778181199999437e+01,1.615345678701999930e+02,-2.903547787999979923e-01
4.400000000000003908e-01,3.311773860555000226e+00,9.686773860555000226e+00,6.375000000000000000e+00,2.199632220200000177e+01,1.615395872262000125e+02,-2.832593127999940008e-01
4.500000000000001776e-01,3.325892271653333676e+00,9.682629616293333186e+00,6.356737344639999954e+00,2.249242478800000811e+01,1.615519307062000109e+02,-2.701924147999599790e-01
4.599999999999999645e-01,3.295433854920000627e+00,9.657622569946667568e+00,6.362188715026666053e+00,2.298730167399999402e+01,1.615682000751999965e+02,-2.601396597999680038e-01
4.700000000000006395e-01,3.289929758217777778e+00,9.651772659604445082e+00,6.361842901386665972e+00,2.348160880199999667e+01,1.615944495962000076e+02,-2.511222488000109943e-01
