x,Weights,y,Weights,error_LT
3.239808677500000300e+01,7.959584179999870113e-01,-7.200489227998899677e-01,7.959584179999870113e-01,-7.200489227998899677e-01
3.399000361099999878e+01,8.175200870000020048e-01,-7.082810008000709479e-01,8.175200870000020048e-01,-7.082810008000709479e-01
3.562504378500000257e+01,8.276333040000130037e-01,-7.150001768000040503e-01,8.276333040000130037e-01,-7.150001768000040503e-01
3.728031039300000060e+01,8.466176690000080107e-01,-7.075682857999939790e-01,8.466176690000080107e-01,-7.075682857999939790e-01
3.897354573100000152e+01,8.488146869999759758e-01,-6.809588178001040326e-01,8.488146869999759758e-01,-6.809588178001040326e-01
4.067117510500000321e+01,8.666411270000079492e-01,-6.611346257998890197e-01,8.666411270000079492e-01,-6.611346257998890197e-01
4.240445735899999846e+01,8.822031970000130396e-01,-6.692952837998970006e-01,8.822031970000130396e-01,-6.692952837998970006e-01
4.416886375299999656e+01,9.006747810000029775e-01,-6.787405247999910296e-01,9.006747810000029775e-01,-6.787405247999910296e-01
4.597021331500000230e+01,9.083919099999989699e-01,-6.861297228001039805e-01,9.083919099999989699e-01,-6.861297228001039805e-01
4.778699713500000001e+01,9.313109759999950166e-01,-7.006932158000720445e-01,9.313109759999950166e-01,-7.006932158000720445e-01
4.964961908699999782e+01,9.408531930000130217e-01,-7.286550578000400291e-01,9.408531930000130217e-01,-7.286550578000400291e-01
5.153132547300010202e+01,9.501950289999679944e-01,-7.575518228000529541e-01,9.501950289999679944e-01,-7.575518228000529541e-01
5.343171553100000182e+01,9.599213900000089783e-01,-7.803667107999100461e-01,9.599213900000089783e-01,-7.803667107999100461e-01
5.535155831099999801e+01,9.681222460000179497e-01,-7.930280828002199689e-01,9.681222460000179497e-01,-7.930280828002199689e-01
5.728780280299999816e+01,9.734816059999890081e-01,-7.947262077998400454e-01,9.734816059999890081e-01,-7.947262077998400454e-01
5.923476601499999816e+01,9.802120680000000474e-01,-8.087378707998029714e-01,9.802120680000000474e-01,-8.087378707998029714e-01
