x,y_LE,y_RE
1.399613899613899766e-02,1.250000000000000000e+02,1.278719999999999999e+02
1.447876447876447932e-02,1.250000000000000000e+02,1.278850000000000051e+02
1.496138996138996272e-02,1.250000000000000000e+02,1.278619999999999948e+02
1.539039039039038874e-02,1.250000000000000000e+02,1.278599999999999994e+02
1.587301587301587213e-02,1.250000000000000000e+02,1.278840000000000003e+02
1.635564135564135380e-02,1.250000000000000000e+02,1.278960000000000008e+02
1.678464178464178502e-02,1.250000000000000000e+02,1.278840000000000003e+02
1.721364221364221278e-02,1.250000000000000000e+02,1.278700000000000045e+02
1.774989274989275181e-02,1.250000000000000000e+02,1.278820000000000050e+02
1.817889317889317957e-02,1.250000000000000000e+02,1.279209999999999923e+02
1.866151866151866123e-02,1.250000000000000000e+02,1.279320000000000022e+02
1.909051909051908899e-02,1.250000000000000000e+02,1.279320000000000022e+02
1.957314457314457412e-02,1.250000000000000000e+02,1.279339999999999975e+02
2.005577005577005578e-02,1.250000000000000000e+02,1.279459999999999980e+02
2.053839553839553744e-02,1.250000000000000000e+02,1.279350000000000023e+02
2.102102102102102257e-02,1.250000000000000000e+02,1.279099999999999966e+02
2.145002145002145033e-02,1.250000000000000000e+02,1.278730000000000047e+02
2.187902187902187809e-02,1.250000000000000000e+02,1.278719999999999999e+02
2.241527241527241365e-02,1.250000000000000000e+02,1.278700000000000045e+02
2.284427284427284488e-02,1.250000000000000000e+02,1.278449999999999989e+02
2.332689832689832654e-02,1.250000000000000000e+02,1.278319999999999936e+02
2.380952380952381167e-02,1.250000000000000000e+02,1.278419999999999987e+02
2.423852423852423943e-02,1.250000000000000000e+02,1.278670000000000044e+02
2.472114972114972109e-02,1.250000000000000000e+02,1.279030000000000058e+02
2.520377520377520275e-02,1.250000000000000000e+02,1.279039999999999964e+02
2.563277563277563051e-02,1.250000000000000000e+02,1.278910000000000053e+02
2.611540111540111564e-02,1.250000000000000000e+02,1.279180000000000064e+02
2.659802659802659730e-02,1.250000000000000000e+02,1.279300000000000068e+02
2.702702702702702853e-02,1.250000000000000000e+02,1.279440000000000026e+02
2.750965250965251019e-02,1.250000000000000000e+02,1.279560000000000031e+02
2.799227799227799532e-02,1.250000000000000000e+02,1.279669999999999987e+02
2.847490347490347698e-02,1.250000000000000000e+02,1.279689999999999941e+02
2.890390390390390474e-02,1.250000000000000000e+02,1.279440000000000026e+02
2.938652938652938987e-02,1.250000000000000000e+02,1.279329999999999927e+02
2.981552981552981763e-02,1.250000000000000000e+02,1.279180000000000064e+02
3.029815529815529582e-02,1.250000000000000000e+02,1.279060000000000059e+02
3.083440583440583138e-02,1.250000000000000000e+02,1.278820000000000050e+02
3.126340626340626261e-02,1.250000000000000000e+02,1.278810000000000002e+02
3.169240669240669384e-02,1.250000000000000000e+02,1.278799999999999955e+02
3.217503217503217550e-02,1.250000000000000000e+02,1.278829999999999956e+02
3.265765765765765716e-02,1.250000000000000000e+02,1.279050000000000011e+02
3.308665808665808838e-02,1.250000000000000000e+02,1.279080000000000013e+02
3.356928356928357005e-02,1.250000000000000000e+02,1.279309999999999974e+02
3.405190905190905171e-02,1.250000000000000000e+02,1.279549999999999983e+02
3.453453453453453337e-02,1.250000000000000000e+02,1.279449999999999932e+02
3.496353496353496459e-02,1.250000000000000000e+02,1.279320000000000022e+02
3.544616044616044626e-02,1.250000000000000000e+02,1.279069999999999965e+02
3.592878592878593486e-02,1.250000000000000000e+02,1.279090000000000060e+02
3.635778635778635914e-02,1.250000000000000000e+02,1.279329999999999927e+02
3.684041184041184080e-02,1.250000000000000000e+02,1.279329999999999927e+02
3.726941226941226509e-02,1.250000000000000000e+02,1.279309999999999974e+02
3.780566280566280413e-02,1.250000000000000000e+02,1.279050000000000011e+02
3.823466323466323535e-02,1.250000000000000000e+02,1.278790000000000049e+02
3.866366366366365964e-02,1.250000000000000000e+02,1.279020000000000010e+02
3.914628914628914824e-02,1.250000000000000000e+02,1.278900000000000006e+02
3.962891462891462990e-02,1.250000000000000000e+02,1.278780000000000001e+02
4.005791505791506113e-02,1.250000000000000000e+02,1.278910000000000053e+02
4.059416559416559322e-02,1.250000000000000000e+02,1.279300000000000068e+02
