width_LLS_B,Weights
6.286999999999999922e+00,9.970579046606190543e-01
6.413000000000000256e+00,1.000186813434700062e+00
6.410999999999999588e+00,1.001261883363500083e+00
6.296000000000000263e+00,1.002986056720519992e+00
6.245000000000000107e+00,1.001354286563270080e+00
6.232999999999999652e+00,1.003436957381939942e+00
6.181000000000000050e+00,1.003647647730190107e+00
6.182000000000000384e+00,1.006823543085479944e+00
6.193999999999999950e+00,1.000602520391699946e+00
6.179999999999999716e+00,9.994733192456259907e-01
6.206000000000000405e+00,9.981710884479779722e-01
6.192000000000000171e+00,9.953700340401719915e-01
6.177999999999999936e+00,9.955697837666109828e-01
6.177999999999999936e+00,1.009007728746120103e+00
6.166999999999999815e+00,1.005792462175320034e+00
6.203999999999999737e+00,1.001593364067079994e+00
6.240000000000000213e+00,9.976756064367570120e-01
6.253999999999999559e+00,9.990482654874710544e-01
6.267000000000000348e+00,1.002841835274919990e+00
6.251999999999999780e+00,1.005730395889129936e+00
6.238000000000000433e+00,9.986684768064180151e-01
6.211999999999999744e+00,9.939074868495000326e-01
6.248999999999999666e+00,9.946525599823909936e-01
6.299000000000000377e+00,9.990710546275299864e-01
6.325999999999999623e+00,9.967796281104840395e-01
6.275000000000000355e+00,1.001074821479499999e+00
6.222999999999999865e+00,1.001516290688849953e+00
6.198000000000000398e+00,9.963456811552080516e-01
6.198000000000000398e+00,1.001548093511599902e+00
6.185999999999999943e+00,9.992459196046910019e-01
6.198999999999999844e+00,1.004329459515010070e+00
6.198999999999999844e+00,9.999328570228690483e-01
6.209999999999999964e+00,9.963616028760440280e-01
6.224000000000000199e+00,1.000645355905330103e+00
6.224000000000000199e+00,9.985321228149880435e-01
6.274000000000000021e+00,9.998075884621400178e-01
6.310999999999999943e+00,1.000308442216669924e+00
6.301000000000000156e+00,1.004313545844250033e+00
6.224000000000000199e+00,1.006259892653829979e+00
6.198999999999999844e+00,1.005045229304180054e+00
6.198999999999999844e+00,9.987033313802470280e-01
6.185999999999999943e+00,9.976262873299529543e-01
6.174999999999999822e+00,1.001724835795859914e+00
6.198999999999999844e+00,9.976521522131619468e-01
6.185999999999999943e+00,9.989793620326360424e-01
