center_CAM,Weights
-4.779180000000000234e-02,9.991209130038449793e-01
-7.965299999999999811e-03,9.998546156103209626e-01
-3.186119999999999924e-02,9.950885647248459698e-01
-5.575709999999999694e-02,1.000561958220649972e+00
-3.186119999999999924e-02,1.002852376172870041e+00
-1.593059999999999962e-02,9.972818968451699906e-01
-3.982650000000000079e-02,9.988555775436640527e-01
-1.593059999999999962e-02,9.951272600150570247e-01
-2.389590000000000117e-02,9.922834151060350161e-01
-1.593059999999999962e-02,9.937240283709829480e-01
-7.965299999999999811e-03,1.000720224611229892e+00
-6.372239999999999849e-02,9.994716707769929487e-01
7.965299999999999811e-03,1.003006007584990034e+00
-1.593059999999999962e-02,1.005072087559589988e+00
1.593059999999999962e-02,9.997166542601769734e-01
-2.389590000000000117e-02,9.929492149052799865e-01
2.389590000000000117e-02,9.891592869034689928e-01
1.593059999999999962e-02,9.985479166784959615e-01
7.965300000000000158e-02,9.952436401381129505e-01
3.982650000000000079e-02,1.007913864772669976e+00
4.779180000000000234e-02,1.001255078642729890e+00
2.389590000000000117e-02,1.004076479432099989e+00
6.372239999999999849e-02,1.002086067326299901e+00
3.982650000000000079e-02,1.004646871387830043e+00
4.779180000000000234e-02,9.912218466000299877e-01
1.593059999999999962e-02,9.963556242898590209e-01
3.982650000000000079e-02,9.993065617437859594e-01
-3.186119999999999924e-02,1.011491781909779952e+00
5.575709999999999694e-02,9.959063640351220048e-01
-7.965299999999999811e-03,9.978599528744960256e-01
2.389590000000000117e-02,1.005078453132070004e+00
-1.593059999999999962e-02,1.003068145919340015e+00
-3.186119999999999924e-02,9.873844190088869599e-01
-8.761829999999999619e-02,9.957676482129580453e-01
-9.558360000000000467e-02,1.003421503331670017e+00
-9.558360000000000467e-02,1.004396561950130051e+00
-1.274447999999999970e-01,9.968986702110620435e-01
-2.070977999999999986e-01,9.983074231420000499e-01
-1.832019000000000009e-01,1.003469257948180093e+00
-2.309936999999999963e-01,1.003653604246810049e+00
-2.070977999999999986e-01,9.984664021122879873e-01
-1.911672000000000093e-01,1.000000492022180110e+00
