TapeCenterLine,Weights
7.965299999999999811e-03,1.004358607725889918e+00
-4.779180000000000234e-02,1.000171689926709906e+00
-7.965299999999999811e-03,1.004592831340380021e+00
-2.389590000000000117e-02,1.002095498926840023e+00
0.000000000000000000e+00,1.004293538176709966e+00
-3.982650000000000079e-02,9.868052078522999704e-01
3.186119999999999924e-02,1.004929055074980093e+00
-2.389590000000000117e-02,1.002480426348949960e+00
1.593059999999999962e-02,1.005999086185110025e+00
3.982650000000000079e-02,1.003917962379790030e+00
3.186119999999999924e-02,1.005354078518660099e+00
6.372239999999999849e-02,9.995559618138349922e-01
7.965300000000000158e-02,9.982098587369520049e-01
7.965300000000000158e-02,9.924727701937190449e-01
8.761829999999999619e-02,9.973132770948189840e-01
1.035488999999999993e-01,1.000949051294220071e+00
1.194795000000000024e-01,9.982778045980900128e-01
1.513406999999999947e-01,1.000185432331879953e+00
1.991324999999999901e-01,1.004322592645179979e+00
1.593060000000000032e-01,1.005445804986669911e+00
1.274447999999999970e-01,9.987989753643660151e-01
1.433753999999999862e-01,1.003040127205079957e+00
1.274447999999999970e-01,9.990178544515430081e-01
1.593060000000000032e-01,9.945568938312500107e-01
1.752365999999999924e-01,9.979668933479649562e-01
2.150631000000000070e-01,1.002201068717919918e+00
1.752365999999999924e-01,9.961408587760449684e-01
1.194795000000000024e-01,1.004449627119659905e+00
1.911672000000000093e-01,1.002449218419600108e+00
2.548895999999999940e-01,1.001547138060179920e+00
2.947160999999999809e-01,9.972657946757630398e-01
2.389590000000000047e-01,1.002227940532669948e+00
3.026813999999999893e-01,9.984875097712969660e-01
3.504731999999999847e-01,9.953883293665839460e-01
4.380915000000000226e-01,1.001389989127299929e+00
3.743691000000000102e-01,1.002891668536789904e+00
3.664038000000000017e-01,9.972805173680669988e-01
3.664038000000000017e-01,9.932587716083649543e-01
4.301262000000000141e-01,1.004357363564180039e+00
4.699527000000000010e-01,1.003425791953900026e+00
4.141955999999999971e-01,9.962410784143790332e-01
4.380915000000000226e-01,9.987376168140360555e-01
4.540220999999999840e-01,1.002314814081199934e+00
4.779180000000000095e-01,1.001458837816930014e+00
5.257098000000000049e-01,9.982980904710759829e-01
5.257098000000000049e-01,1.003929793548719918e+00
5.177445000000000519e-01,1.004056849610579949e+00
4.938486000000000264e-01,1.002728415229249936e+00
4.938486000000000264e-01,1.000792179284810013e+00
4.619873999999999925e-01,1.002682296345309920e+00
5.018139000000000349e-01,9.999390673648269612e-01
4.938486000000000264e-01,9.994542034163349520e-01
5.018139000000000349e-01,1.001257112653999970e+00
4.699527000000000010e-01,9.986144706975500496e-01
4.460567999999999755e-01,9.983793944123749986e-01
4.779180000000000095e-01,9.976223297537319956e-01
4.380915000000000226e-01,9.959282006836760459e-01
4.062302999999999886e-01,9.986584047289710497e-01
3.425078999999999763e-01,9.968518158075739821e-01
3.584384999999999932e-01,9.990255813813250230e-01
3.664038000000000017e-01,1.002309253652309939e+00
3.504731999999999847e-01,9.898396118868399984e-01
3.186120000000000063e-01,9.992686486904760468e-01
2.947160999999999809e-01,9.999122790049520537e-01
3.186120000000000063e-01,1.002543342968859941e+00
3.425078999999999763e-01,9.957778696736609980e-01
3.265773000000000148e-01,9.970283511176379898e-01
3.584384999999999932e-01,1.001091295034070017e+00
3.186120000000000063e-01,1.000547545081089895e+00
3.026813999999999893e-01,1.007381002176019891e+00
3.186120000000000063e-01,1.002270458118069918e+00
3.026813999999999893e-01,9.988477355515800182e-01
3.106466999999999978e-01,9.982615813266060290e-01
2.947160999999999809e-01,9.995677429454220553e-01
2.389590000000000047e-01,1.006629722914869962e+00
2.070977999999999986e-01,9.989678981353350418e-01
2.230283999999999878e-01,1.001541763636560001e+00
2.628549000000000024e-01,1.000330761681399894e+00
2.628549000000000024e-01,9.963059123347990376e-01
2.469243000000000132e-01,1.003726328364690001e+00
2.150631000000000070e-01,1.002529890591949968e+00
1.672713000000000116e-01,1.000437163299479959e+00
1.911672000000000093e-01,9.969251940190240191e-01
1.991324999999999901e-01,1.002354389944110080e+00
2.389590000000000047e-01,1.003976035572119896e+00
2.230283999999999878e-01,9.940641019867599848e-01
2.070977999999999986e-01,9.956589502143829984e-01
1.911672000000000093e-01,1.003573889581190093e+00
1.274447999999999970e-01,9.975522221954720159e-01
1.115141999999999939e-01,9.974680925875539783e-01
1.832019000000000009e-01,9.989356651928340547e-01
1.832019000000000009e-01,1.013003870952700058e+00
1.832019000000000009e-01,1.003176037910999963e+00
1.911672000000000093e-01,9.941512807669400376e-01
1.832019000000000009e-01,1.001971548612599960e+00
1.832019000000000009e-01,1.003753770547080038e+00
1.991324999999999901e-01,1.000090302001219955e+00
2.230283999999999878e-01,9.998155701367229531e-01
2.548895999999999940e-01,1.003221467854880089e+00
2.787855000000000194e-01,1.000998938849460007e+00
1.911672000000000093e-01,9.991537977114189895e-01
1.752365999999999924e-01,9.977941552065969777e-01
2.309936999999999963e-01,1.001899549444069892e+00
2.548895999999999940e-01,9.970409954274660480e-01
2.548895999999999940e-01,9.973329586648029821e-01
1.911672000000000093e-01,1.002107040509260028e+00
1.752365999999999924e-01,9.987823582410989554e-01
2.070977999999999986e-01,9.944070583440669520e-01
2.070977999999999986e-01,1.000787077419909910e+00
2.230283999999999878e-01,1.001109012248490027e+00
2.389590000000000047e-01,9.966196018174290350e-01
3.026813999999999893e-01,9.991487540809169676e-01
2.787855000000000194e-01,1.006358371774610072e+00
2.628549000000000024e-01,1.001491292791669929e+00
2.150631000000000070e-01,9.976045370221340303e-01
3.186120000000000063e-01,9.977195999799209902e-01
2.548895999999999940e-01,1.007745161619840069e+00
2.708202000000000109e-01,9.972049267809179884e-01
2.469243000000000132e-01,9.926573611293170174e-01
2.628549000000000024e-01,1.003654520394759997e+00
2.150631000000000070e-01,9.962464594688610342e-01
2.230283999999999878e-01,9.950334785010870320e-01
2.548895999999999940e-01,1.002990927776810093e+00
3.186120000000000063e-01,1.004353659774720020e+00
2.947160999999999809e-01,9.989130463484650058e-01
3.186120000000000063e-01,1.006221517201620008e+00
2.309936999999999963e-01,9.946267375824190404e-01
3.026813999999999893e-01,1.004096828192990065e+00
2.867507999999999724e-01,9.977101256032040455e-01
3.743691000000000102e-01,9.933627033129609485e-01
2.947160999999999809e-01,9.920369271716910076e-01
2.947160999999999809e-01,1.007966653778000099e+00
3.026813999999999893e-01,9.967010445030699550e-01
3.902997000000000272e-01,9.999958872458539760e-01
2.708202000000000109e-01,9.974443219124600191e-01
2.469243000000000132e-01,1.006203919010070003e+00
1.672713000000000116e-01,9.978879985062220070e-01
2.548895999999999940e-01,9.979289694733040061e-01
2.469243000000000132e-01,9.887468161869970018e-01
2.947160999999999809e-01,9.970503656621380051e-01
2.628549000000000024e-01,1.002536385919339912e+00
2.628549000000000024e-01,1.000190226200309951e+00
2.150631000000000070e-01,9.939262494788390079e-01
2.628549000000000024e-01,9.978818410395989824e-01
2.469243000000000132e-01,9.947516296595050322e-01
2.867507999999999724e-01,9.969315824773009593e-01
2.150631000000000070e-01,9.935914029362440392e-01
2.309936999999999963e-01,9.964315603320920145e-01
1.832019000000000009e-01,1.002882078252570031e+00
2.787855000000000194e-01,1.005488711840500038e+00
2.309936999999999963e-01,9.931985004055829958e-01
2.628549000000000024e-01,1.000070187540619937e+00
3.106466999999999978e-01,1.007935775987309990e+00
2.787855000000000194e-01,9.962971292002570367e-01
2.947160999999999809e-01,9.994450405083580291e-01
2.867507999999999724e-01,9.985300838579850291e-01
3.584384999999999932e-01,1.003972553480539931e+00
3.664038000000000017e-01,1.000955657022150058e+00
3.823344000000000187e-01,1.000195781224950009e+00
3.982649999999999801e-01,9.989545018489339734e-01
3.186120000000000063e-01,1.005779474707459986e+00
3.982649999999999801e-01,1.001859149281900008e+00
3.106466999999999978e-01,9.988972219287739485e-01
4.141955999999999971e-01,9.973682346200629656e-01
3.186120000000000063e-01,1.002103743555410098e+00
3.584384999999999932e-01,1.014747134440890042e+00
3.743691000000000102e-01,9.980248787526290188e-01
3.504731999999999847e-01,1.004660616075220059e+00
3.902997000000000272e-01,1.003744292981010089e+00
3.743691000000000102e-01,1.001856158949459896e+00
4.221609000000000056e-01,1.003838897911200068e+00
3.823344000000000187e-01,1.002238537636449989e+00
4.301262000000000141e-01,1.008675025550759941e+00
4.460567999999999755e-01,1.003298723460859909e+00
