x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,2.340130000000000052e+02,0.000000000000000000e+00,2.402549999999999955e+02
4.966065220989901484e-04,2.340020000000000095e+02,4.430414797585424387e-04,2.402549999999999955e+02
9.380345417425370314e-04,2.340010000000000048e+02,9.414631444869027161e-04,2.402309999999999945e+02
1.434641063841527071e-03,2.340269999999999868e+02,1.439884809215262722e-03,2.402189999999999941e+02
1.931247585940517545e-03,2.340509999999999877e+02,1.882926288973805432e-03,2.402289999999999850e+02
2.372675605584064103e-03,2.340769999999999982e+02,2.325967768732347708e-03,2.402409999999999854e+02
2.869282127683054143e-03,2.340629999999999882e+02,2.824389433460707498e-03,2.402539999999999907e+02
3.365888649782044616e-03,2.340780000000000030e+02,3.322811098189068155e-03,2.402800000000000011e+02
3.807316669425591608e-03,2.340780000000000030e+02,3.765852577947610864e-03,2.402949999999999875e+02
4.303923191524581214e-03,2.340649999999999977e+02,4.264274242675970654e-03,2.403309999999999889e+02
4.800529713623571254e-03,2.340519999999999925e+02,4.762695907404330443e-03,2.403449999999999989e+02
5.297136235722562161e-03,2.340269999999999868e+02,5.261117572132691100e-03,2.403559999999999945e+02
5.738564255366108285e-03,2.340279999999999916e+02,5.704159051891232943e-03,2.403329999999999984e+02
6.235170777465099193e-03,2.340529999999999973e+02,6.202580716619593600e-03,2.403189999999999884e+02
6.676598797108645317e-03,2.340780000000000030e+02,6.701002381347953389e-03,2.403040000000000020e+02
7.228383821663079273e-03,2.340780000000000030e+02,7.199424046076314046e-03,2.403040000000000020e+02
7.669811841306627131e-03,2.340780000000000030e+02,7.642465525834857623e-03,2.402880000000000109e+02
8.166418363405616304e-03,2.340769999999999982e+02,8.140887190563215678e-03,2.402889999999999873e+02
8.663024885504607212e-03,2.340780000000000030e+02,8.639308855291577202e-03,2.402980000000000018e+02
9.380345417425370314e-03,2.340900000000000034e+02,9.082350335050119045e-03,2.402870000000000061e+02
9.821773437068916437e-03,2.340900000000000034e+02,9.580771999778478834e-03,2.403000000000000114e+02
1.026320145671246430e-02,2.341040000000000134e+02,1.007919366450684036e-02,2.403110000000000070e+02
