X_mm,Weights,Y_normalised,Weights
3.751806693500000023e+01,8.790474559999840176e-01,-7.876962337998070218e-01,8.790474559999840176e-01
3.927616184699999735e+01,8.893471480000130214e-01,-7.743264137998270291e-01,8.893471480000130214e-01
4.105485614300000208e+01,9.048650159999920284e-01,-7.357911757999320290e-01,9.048650159999920284e-01
4.286458617499999946e+01,9.124377420000260308e-01,-7.145396557998540121e-01,9.124377420000260308e-01
4.468946165900000267e+01,9.252041829999909650e-01,-7.304957168001350309e-01,9.252041829999909650e-01
4.653987002499999903e+01,9.320966170000100082e-01,-7.550669307997850410e-01,9.320966170000100082e-01
4.840406325899999729e+01,9.354781509999909872e-01,-7.579162158002079597e-01,9.354781509999909872e-01
5.027501956100000058e+01,9.626473149999870138e-01,-7.564118438002079836e-01,9.626473149999870138e-01
5.220031419099999681e+01,9.760808290000040355e-01,-7.768386687998259932e-01,9.760808290000040355e-01
5.415247584899999822e+01,9.808156530000079476e-01,-8.117150718000519793e-01,9.808156530000079476e-01
5.611410715499999924e+01,9.674802310000030214e-01,-8.370185328003000302e-01,9.674802310000030214e-01
5.804906761699999862e+01,9.844219810000010007e-01,-8.337712328002450102e-01,9.844219810000010007e-01
6.001791157899999973e+01,9.961286099999819843e-01,-8.275205667999899761e-01,9.961286099999819843e-01
6.201016879899999878e+01,9.884120360000030470e-01,-8.278611957999829629e-01,9.884120360000030470e-01
6.398699287099999822e+01,9.944910169999979788e-01,-8.210451698001860477e-01,9.944910169999979788e-01
6.597597490500000106e+01,1.000637107000019954e+00,-7.815574697998499687e-01,1.000637107000019954e+00
6.797724911900000677e+01,1.006712383000009980e+00,-7.643911328000290162e-01,1.006712383000009980e+00
6.999067388500000675e+01,1.003576430999979952e+00,-7.846069018002590489e-01,1.003576430999979952e+00
7.199782674700000484e+01,9.993152019999910207e-01,-8.002257447998889495e-01,9.993152019999910207e-01
7.399645715100000132e+01,9.888047750000129588e-01,-7.893687888000040509e-01,9.888047750000129588e-01
7.597406670099999815e+01,1.002252306000009918e+00,-7.787421957998500455e-01,1.002252306000009918e+00
7.797857131300000333e+01,1.009241590000000022e+00,-8.005998598002289635e-01,1.009241590000000022e+00
7.999705449300010685e+01,1.002052812999999931e+00,-8.216807058002469910e-01,1.002052812999999931e+00
8.200116011900000501e+01,1.003735738999979921e+00,-8.365497938001450473e-01,1.003735738999979921e+00
8.400863159700000438e+01,9.941920790000080554e-01,-8.401982538001110390e-01,9.941920790000080554e-01
