Simulation,RW Gap (%),RW Overlap (%)
1,2.2912208275726136,1.0729548579829404
2,2.3998466320573066,1.0017136885999738
3,2.4555683946671425,1.15404983005254
4,2.052786745134725,1.0194132052294942
5,2.2280657659003023,1.060896840320758
6,2.1817194229263164,1.0904505906576898
7,2.2672241796851793,1.0018597248832326
8,2.403359539122069,1.2732901025066519
9,2.4982770689901863,1.0204253179022742
10,2.5374850314665043,1.2283990211673306
11,2.4671805245258076,1.0732808365677824
12,2.637700270302455,1.365650407093965
13,2.390962170688893,1.2743475081733633
14,2.4279415957344597,1.0416419576595606
15,2.288109374498023,0.8894609183544255
16,2.186047739914131,0.9777793343272371
17,2.543378493321934,1.251997092168778
18,2.4628521180795473,1.2500900024041297
19,2.430930423480389,1.1878831347467467
20,2.4125586542174475,1.230799960945057
21,2.2670170782526884,0.9339937263573045
22,2.2732123967667897,0.9999005053187573
23,2.631473453961939,1.3326630958818582
24,2.8226222352760284,1.3902075193935086
25,2.4402506523956333,1.1848884168798073
26,2.1803270795427645,1.3643221550673634
27,2.667143746186172,1.115765359556672
28,2.2384460560926587,0.9519839399870795
29,2.7324485069786095,1.197282323884098
30,2.3510779897937444,0.8928589873317377
31,2.208435478679257,1.038583657341343
32,2.55130263086659,1.0317611554720199
33,2.3800483775592376,0.8470333287662803
34,2.2519154209147088,1.0400483846027442
35,2.175675371978116,1.1223257008156966
36,2.4321750662059256,0.9940508089587691
37,2.1194924828222486,1.3135112249013288
38,2.7004251911038737,1.140926067657245
39,2.3814977436363356,1.0041894222691574
40,2.617870787304888,1.3581643646478925
41,2.366451898359411,1.0825547181511175
42,2.329079693340772,0.7512132806789719
43,2.3419017195213923,1.3588065378352823
44,2.202410434552547,1.0694604379473898
45,2.496586298131294,1.09783159656598
46,2.363238494250581,1.3291949067185278
47,2.29535384407108,1.2221210822787736
48,2.3354423742058366,1.0864716186202246
49,2.6132650847022387,1.3087567497130739
50,2.5107394747511456,1.2280167825321087
51,2.22335482886706,1.1361150825797428
52,1.9857360480836213,1.1220819922203107
53,2.2001068105105372,1.096586358835689
54,2.6238900374742835,1.1896676126790358
55,2.2769104608852295,0.8904655652417166
56,2.4492502729381953,1.012849854831834
57,2.3357150108975318,0.8242849527607281
58,2.3450716886084106,0.8887875180348873
59,2.3959466266310927,0.9805309093064094
60,2.4673209765433946,1.2909565303456032
61,2.6372130585485944,1.354406296782503
62,2.175902081809856,0.8445485085612258
63,2.649134817935237,1.3139801008208454
64,2.44250183155315,1.0540926810714601
65,2.4006154445435537,1.0145606091707295
66,2.455432154699579,1.328782617242926
67,2.3473733574966174,1.2146260704735652
68,2.2539024523430693,1.0133565476743231
69,2.5788433386493805,1.1316675786125943
70,2.3670342458382474,1.2034592240723259
71,2.4957312741073827,0.8749788000617461
72,2.3249042312622294,1.0411852875466159
73,2.3505766453391588,1.1564683963323248
74,2.495544668200697,1.2874418362177973
75,2.3852366130058176,0.9147272879433442
76,2.3554607043947975,0.8962053789963254
77,2.3137284811513488,1.0736382477283333
78,2.5147913435966607,1.0500571979307682
79,2.468139540519247,0.7583506452657506
80,2.4048790910866664,1.0719146766439602
81,2.544679405260206,1.0185066907419649
82,2.2597976376496502,1.173208226832069
83,2.4726664489248225,0.815564981764986
84,2.5496619874057833,1.3924685628834157
85,2.543544462055226,0.9842533039307538
86,2.167589277162513,0.976155186375959
87,2.4736190985510076,1.3334717250796695
88,2.307245308325369,1.0271068287732144
89,2.435482790970366,1.1158063322580922
90,2.5700809182920685,1.1045360307484577
91,2.554009825568622,0.9601686730545054
92,2.3873657137372866,0.8334228704118565
93,2.3533204246366832,1.127731114548454
94,2.853316657356873,1.5472362981667214
95,2.2058042083549556,0.9376226818438437
96,2.0831673630371363,1.036347117899035
97,2.413766266925028,0.9076119711805376
98,2.836702147829228,1.1565784241531132
99,2.7755580478437536,1.290124758463376
100,2.100415765207917,1.1940962187602802
