time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.144000000000000128e+00,8.227000000000000313e+00,5.083000000000000185e+00,0.000000000000000000e+00,2.742186006691999864e+02,-1.507502937999679882e-01
9.999999999999786837e-03,3.168529981499255577e+00,8.287834354118153612e+00,5.119304372618898036e+00,4.883478039999999964e-01,2.742264276532000054e+02,-1.566693097999959927e-01
2.000000000000046185e-02,3.198743307795724355e+00,8.346390633340277532e+00,5.147647325544552288e+00,9.878803439999899183e-01,2.742488804971999912e+02,-1.726375037999600126e-01
3.000000000000024869e-02,3.234917196765714653e+00,8.417070062893333926e+00,5.182152866127619717e+00,1.475855641999999079e+00,2.742456860742000231e+02,-1.735176857999929934e-01
4.000000000000003553e-02,3.242144814376556106e+00,8.428185795000732838e+00,5.186040980624176733e+00,1.968961731999996800e+00,2.742227946232000022e+02,-1.623271557999690085e-01
4.999999999999982236e-02,3.197635737603236272e+00,8.410217180165178164e+00,5.212581442561941891e+00,2.465378673999992998e+00,2.742120904161999988e+02,-1.571789257999730016e-01
6.000000000000049738e-02,3.209696153954362696e+00,8.433949998593284647e+00,5.224253844638922395e+00,2.951241895999999088e+00,2.742107998992000262e+02,-1.520662557999770126e-01
7.000000000000028422e-02,3.204634901813538939e+00,8.455865396072541174e+00,5.251230494259003123e+00,3.440327121999999349e+00,2.742057045472000141e+02,-1.419394127999870081e-01
8.000000000000007105e-02,3.182999999999999829e+00,8.455000000000000071e+00,5.272000000000000242e+00,3.930638935999994032e+00,2.741966691942000125e+02,-1.327984027999729866e-01
8.999999999999985789e-02,3.182999999999999829e+00,8.463316739886233009e+00,5.280316739886234068e+00,4.425316085999995153e+00,2.741988938282000277e+02,-1.256961607999670105e-01
1.000000000000005329e-01,3.196774677254001773e+00,8.502713637864223628e+00,5.305938960610221855e+00,4.919969641999998089e+00,2.742190825811999844e+02,-1.366574197999919915e-01
1.100000000000003197e-01,3.249866582935182269e+00,8.548733165870364914e+00,5.298866582935182201e+00,5.440437739999993028e+00,2.742257172611999749e+02,-1.485651227999920110e-01
1.200000000000001066e-01,3.263896467586608008e+00,8.577609013104316560e+00,5.313712545517708996e+00,5.954341131999996151e+00,2.742069790851999755e+02,-1.483846907999930020e-01
1.299999999999998934e-01,3.270999999999999908e+00,8.609655916030098055e+00,5.338655916030097259e+00,6.473009955999998510e+00,2.741924946802000136e+02,-1.552182517999959876e-01
1.400000000000005684e-01,3.277374416755921782e+00,8.641768154010932790e+00,5.364393737255010564e+00,6.990712699999988899e+00,2.741949366672000110e+02,-1.751118297999779971e-01
1.500000000000003553e-01,3.306061931741809179e+00,8.684190011857211289e+00,5.378128080115403442e+00,7.501223093999996649e+00,2.741829984301999730e+02,-1.799561757999749989e-01
1.600000000000001421e-01,3.338100783541168237e+00,8.722720044446598209e+00,5.384619260905429527e+00,7.994986901999993734e+00,2.741661330182000142e+02,-1.747867987999789929e-01
1.699999999999999289e-01,3.347999999999999865e+00,8.740876741503834424e+00,5.392876741503834559e+00,8.486043727999998509e+00,2.741791404791999867e+02,-1.757234568000120012e-01
1.800000000000006040e-01,3.354878775030103455e+00,8.761477243817733296e+00,5.406598468787629841e+00,8.967487765999990756e+00,2.742026240531999974e+02,-1.746992007999779994e-01
1.900000000000003908e-01,3.383641294733754190e+00,8.788154676111380681e+00,5.404513381377626935e+00,9.448072573999994006e+00,2.742060650771999804e+02,-1.626043527999780081e-01
2.000000000000001776e-01,3.408474209125026633e+00,8.815490847615432557e+00,5.407016638490407701e+00,9.944715066000000547e+00,2.741914062061999857e+02,-1.464420487999590070e-01
2.099999999999999645e-01,3.402069338016847855e+00,8.821999999999999176e+00,5.419930661983151765e+00,1.044489706799998885e+01,2.741849305232000233e+02,-1.393078868000099946e-01
2.200000000000006395e-01,3.359333978902270701e+00,8.783111744021834255e+00,5.423777765119563554e+00,1.094950428999999303e+01,2.741886705951999943e+02,-1.472088797999910048e-01
2.300000000000004263e-01,3.359527341744763085e+00,8.782640623149012171e+00,5.423113281404249086e+00,1.145239997599999526e+01,2.741873013012000229e+02,-1.560922338000070020e-01
2.400000000000002132e-01,3.371911312882911904e+00,8.804004073618671100e+00,5.432092760735759640e+00,1.195506744799999410e+01,2.741899290072000213e+02,-1.639897337999869920e-01
2.500000000000000000e-01,3.360360730083630010e+00,8.806902804994026113e+00,5.446542074910396991e+00,1.244955178600000067e+01,2.742130846402000088e+02,-1.829615497999939888e-01
