TapeCenterLine,Weights
5.257098000000000049e-01,3.577332263701309967e-01
4.938486000000000264e-01,3.445103299951229880e-01
5.655362999999999918e-01,3.312882473368159997e-01
4.619873999999999925e-01,3.180653509618079910e-01
4.460567999999999755e-01,3.048432683034990043e-01
4.540220999999999840e-01,2.916203719284909956e-01
5.097791999999999879e-01,2.783982892701820089e-01
5.177445000000000519e-01,2.684689456532999841e-01
5.336750999999999578e-01,2.967118687873889771e-01
5.416404000000000218e-01,3.208469355112870125e-01
5.814669000000000088e-01,3.370291541489640053e-01
5.336750999999999578e-01,3.473786596423170114e-01
4.460567999999999755e-01,4.009845529250369855e-01
4.460567999999999755e-01,4.142314838177509895e-01
4.141955999999999971e-01,4.286803383615739871e-01
4.301262000000000141e-01,4.447959741869200179e-01
4.221609000000000056e-01,4.616676563471440176e-01
3.902997000000000272e-01,4.977671988071230014e-01
3.982649999999999801e-01,5.198749000472839832e-01
4.221609000000000056e-01,5.520264962448410140e-01
3.584384999999999932e-01,5.808674235371159567e-01
3.345426000000000233e-01,6.235236022165689951e-01
3.265773000000000148e-01,6.299971302750779767e-01
3.026813999999999893e-01,6.578508873622269659e-01
2.947160999999999809e-01,6.639676352946199955e-01
2.548895999999999940e-01,7.034154028051290419e-01
2.548895999999999940e-01,7.321563829909100152e-01
1.911672000000000093e-01,7.658121293788829886e-01
1.911672000000000093e-01,7.917613334180899631e-01
1.672713000000000116e-01,8.177620542667709547e-01
7.965300000000000158e-02,8.503094798890530326e-01
8.761829999999999619e-02,8.812845754707150370e-01
2.389590000000000117e-02,9.024147843702120531e-01
4.779180000000000234e-02,9.184009792745769785e-01
-1.593059999999999962e-02,9.324077267850999773e-01
-6.372239999999999849e-02,9.549585111439800045e-01
-5.575709999999999694e-02,9.776996774472660467e-01
-5.575709999999999694e-02,9.679215993280829711e-01
-9.558360000000000467e-02,9.913499940124239629e-01
-7.965300000000000158e-02,9.897299746436499790e-01
-1.194795000000000024e-01,9.996641966876680385e-01
-5.575709999999999694e-02,1.005248826173219978e+00
-3.982650000000000079e-02,9.983524199789659548e-01
0.000000000000000000e+00,9.984413101417409786e-01
-3.982650000000000079e-02,1.006786604250460071e+00
-3.186119999999999924e-02,1.003679365287450054e+00
-3.186119999999999924e-02,9.977675143608180086e-01
0.000000000000000000e+00,1.000059525863159937e+00
2.389590000000000117e-02,9.939498389528590439e-01
-1.593059999999999962e-02,1.003177490571290020e+00
-1.593059999999999962e-02,9.883050206739629751e-01
-4.779180000000000234e-02,9.980623914938200336e-01
-7.965299999999999811e-03,1.001310845381440107e+00
7.965299999999999811e-03,9.963162637044939984e-01
-3.982650000000000079e-02,9.986139509423089811e-01
1.593059999999999962e-02,1.001241908808510050e+00
-3.186119999999999924e-02,9.978463153239780503e-01
-7.168769999999999309e-02,1.002956295494999983e+00
-7.965300000000000158e-02,1.005982832298270013e+00
-7.965300000000000158e-02,1.001080417951740076e+00
-4.779180000000000234e-02,9.980230814020679686e-01
-7.965300000000000158e-02,9.959112563621590475e-01
-1.194795000000000024e-01,1.002852375331579893e+00
-1.194795000000000024e-01,1.001640582000689950e+00
-7.965300000000000158e-02,1.002478034254379979e+00
-1.593059999999999962e-02,1.003167440414330036e+00
-7.168769999999999309e-02,9.959672809898489909e-01
-1.035488999999999993e-01,9.977044510407280242e-01
-1.832019000000000009e-01,1.003773226951929942e+00
-1.911672000000000093e-01,9.969356063632239806e-01
-1.911672000000000093e-01,9.960402943316819524e-01
-2.150631000000000070e-01,9.989762477106579608e-01
-2.309936999999999963e-01,1.001029707462349982e+00
-1.991324999999999901e-01,9.902572311377789704e-01
-2.309936999999999963e-01,9.971457617152159614e-01
-1.593060000000000032e-01,1.000728921131440075e+00
-2.309936999999999963e-01,1.001618586927109922e+00
-2.230283999999999878e-01,1.003735977137079960e+00
-2.787855000000000194e-01,1.000360408332100048e+00
-2.389590000000000047e-01,1.000618702102860080e+00
-2.548895999999999940e-01,9.993173823291739977e-01
-2.469243000000000132e-01,1.000291054203140018e+00
-3.425078999999999763e-01,9.981536903549540485e-01
-3.425078999999999763e-01,9.965905569041949574e-01
-3.345426000000000233e-01,1.000896945070899990e+00
-2.708202000000000109e-01,1.007637416698450084e+00
-3.106466999999999978e-01,9.983772831620519872e-01
-3.186120000000000063e-01,9.999760150830530048e-01
-4.141955999999999971e-01,1.002325501250840079e+00
-3.743691000000000102e-01,9.988620336083480211e-01
-4.301262000000000141e-01,9.919666549996060123e-01
-4.141955999999999971e-01,1.000135204438240111e+00
-3.823344000000000187e-01,1.003006153674049994e+00
-3.823344000000000187e-01,1.005826296277289922e+00
-4.062302999999999886e-01,9.994316749185759852e-01
-3.982649999999999801e-01,9.983098406481140108e-01
-3.504731999999999847e-01,1.001480514719889969e+00
-3.823344000000000187e-01,9.997267701994080324e-01
-3.743691000000000102e-01,9.916325692928760205e-01
-3.902997000000000272e-01,9.988609841346729468e-01
-3.664038000000000017e-01,1.001192587669700096e+00
-3.504731999999999847e-01,9.982647890732200269e-01
-2.947160999999999809e-01,1.002243990202940083e+00
-2.628549000000000024e-01,9.983588511820490341e-01
-2.150631000000000070e-01,9.987965956961579739e-01
-1.593060000000000032e-01,1.003094696498650018e+00
-1.672713000000000116e-01,9.988604960086749918e-01
-1.593060000000000032e-01,9.987767981281110430e-01
-1.593060000000000032e-01,1.001574516182500041e+00
-1.035488999999999993e-01,1.012776368549739958e+00
-5.575709999999999694e-02,9.997716231437689949e-01
-1.593059999999999962e-02,1.000252401991269968e+00
2.389590000000000117e-02,1.002169265694760059e+00
4.779180000000000234e-02,1.010312300073809899e+00
4.779180000000000234e-02,9.956886867121409468e-01
6.372239999999999849e-02,1.003384748461620068e+00
8.761829999999999619e-02,1.005888793144259941e+00
5.575709999999999694e-02,1.002151474532350095e+00
1.035488999999999993e-01,9.972835764926210045e-01
1.115141999999999939e-01,9.987637798714029680e-01
1.433753999999999862e-01,1.003642704270770070e+00
1.035488999999999993e-01,9.963940009725109626e-01
1.115141999999999939e-01,1.004844527328609960e+00
1.274447999999999970e-01,1.000866423870329980e+00
1.433753999999999862e-01,1.002988521451370074e+00
1.593060000000000032e-01,1.001719023577509970e+00
8.761829999999999619e-02,1.001766013977340108e+00
1.354101000000000055e-01,1.001284923392999904e+00
1.035488999999999993e-01,9.983770800441289506e-01
1.354101000000000055e-01,9.937025330393020051e-01
1.194795000000000024e-01,9.934489426858590377e-01
1.672713000000000116e-01,1.003175289761899958e+00
1.194795000000000024e-01,9.997503153249009955e-01
9.558360000000000467e-02,9.942755497021760203e-01
1.194795000000000024e-01,1.002278811942739933e+00
8.761829999999999619e-02,9.980033815003259701e-01
6.372239999999999849e-02,9.928261759277250409e-01
9.558360000000000467e-02,9.966181454754919899e-01
8.761829999999999619e-02,9.981282586632019838e-01
7.965300000000000158e-02,9.949963009559520399e-01
1.035488999999999993e-01,9.975845187700359551e-01
1.433753999999999862e-01,9.979935810289189968e-01
1.194795000000000024e-01,1.001401846223759939e+00
1.115141999999999939e-01,1.001398654939029909e+00
7.168769999999999309e-02,1.000547025050489980e+00
7.965300000000000158e-02,1.000273248531059922e+00
7.965300000000000158e-02,9.975184485196360029e-01
7.965300000000000158e-02,9.967554249430009561e-01
1.115141999999999939e-01,1.000331991669789922e+00
1.194795000000000024e-01,1.004103543579550006e+00
1.115141999999999939e-01,9.969856561915430015e-01
1.115141999999999939e-01,1.007380735414169948e+00
1.035488999999999993e-01,1.002855216070180022e+00
1.513406999999999947e-01,1.002147687751290039e+00
1.513406999999999947e-01,1.003373913960150077e+00
1.991324999999999901e-01,1.001922089591890108e+00
2.309936999999999963e-01,1.005409935297800095e+00
1.911672000000000093e-01,1.004272285536109921e+00
2.230283999999999878e-01,9.973546070934929952e-01
2.150631000000000070e-01,9.991112005037310340e-01
2.787855000000000194e-01,1.001913636130790097e+00
2.628549000000000024e-01,9.992106973161000161e-01
2.708202000000000109e-01,9.969573139498369985e-01
2.867507999999999724e-01,9.958513532697710335e-01
2.708202000000000109e-01,1.001628976306840002e+00
2.548895999999999940e-01,1.003377626381970034e+00
2.947160999999999809e-01,9.972379842511960302e-01
3.265773000000000148e-01,9.898769139781350423e-01
2.947160999999999809e-01,1.001969606528920087e+00
2.708202000000000109e-01,9.971376789243030503e-01
2.708202000000000109e-01,9.932686470375540200e-01
2.628549000000000024e-01,9.996971557525009544e-01
2.947160999999999809e-01,9.989309142639299921e-01
2.947160999999999809e-01,1.003781156711810008e+00
3.186120000000000063e-01,1.000028626046159941e+00
3.026813999999999893e-01,1.000091589819299909e+00
2.867507999999999724e-01,9.995123444544340430e-01
2.548895999999999940e-01,1.002607847224030069e+00
2.469243000000000132e-01,1.003767725762189977e+00
2.389590000000000047e-01,9.961333126381279879e-01
2.070977999999999986e-01,1.003249269610350103e+00
2.548895999999999940e-01,9.973802588745249720e-01
2.389590000000000047e-01,9.988935251145429906e-01
2.389590000000000047e-01,1.001962188482899974e+00
2.469243000000000132e-01,1.000405451527760059e+00
2.867507999999999724e-01,9.939099237958970434e-01
3.026813999999999893e-01,9.991279857747400461e-01
3.425078999999999763e-01,1.001437574118910101e+00
3.186120000000000063e-01,9.989001085032890304e-01
3.186120000000000063e-01,1.007745574245580089e+00
3.026813999999999893e-01,9.993896236210320083e-01
3.425078999999999763e-01,1.001507234312960071e+00
3.425078999999999763e-01,9.977529279049499600e-01
3.743691000000000102e-01,1.004549705177310015e+00
3.664038000000000017e-01,1.002104089983770097e+00
4.301262000000000141e-01,1.006232423097489947e+00
4.619873999999999925e-01,9.981289899896119699e-01
4.540220999999999840e-01,1.003370575780939911e+00
4.938486000000000264e-01,1.004387954213370016e+00
4.221609000000000056e-01,1.005053995601729921e+00
4.779180000000000095e-01,1.002814505542130030e+00
4.380915000000000226e-01,1.001965656634089985e+00
4.301262000000000141e-01,9.973732552181160393e-01
3.902997000000000272e-01,1.002828420929110065e+00
4.699527000000000010e-01,1.005750298888949956e+00
4.540220999999999840e-01,9.933634956922250403e-01
4.380915000000000226e-01,9.994304920455310270e-01
4.460567999999999755e-01,1.001782816212049898e+00
4.938486000000000264e-01,1.006748502986579918e+00
4.619873999999999925e-01,9.952390490648209687e-01
5.177445000000000519e-01,1.004550820993139970e+00
4.380915000000000226e-01,9.997040915569319619e-01
5.177445000000000519e-01,9.980893583525980439e-01
4.779180000000000095e-01,9.937785822921649803e-01
4.779180000000000095e-01,9.993845259013529603e-01
3.584384999999999932e-01,9.943468174330359899e-01
3.664038000000000017e-01,9.992662332074160325e-01
3.504731999999999847e-01,1.002110929886359969e+00
3.504731999999999847e-01,9.996030588454200005e-01
2.867507999999999724e-01,9.962169266949899571e-01
3.743691000000000102e-01,9.994879180994820089e-01
3.345426000000000233e-01,9.894606578741890202e-01
3.584384999999999932e-01,9.947390186165110393e-01
2.708202000000000109e-01,9.996327467343759654e-01
2.708202000000000109e-01,9.996908956580879968e-01
2.309936999999999963e-01,9.986981595207089502e-01
2.309936999999999963e-01,1.003432256619720020e+00
2.469243000000000132e-01,9.998063813423370139e-01
2.787855000000000194e-01,9.978875669903569667e-01
3.026813999999999893e-01,9.967387726827929839e-01
2.787855000000000194e-01,9.977335410917730352e-01
2.787855000000000194e-01,1.006237876373869966e+00
2.867507999999999724e-01,1.000237182867270036e+00
3.265773000000000148e-01,9.994173855335369838e-01
3.584384999999999932e-01,9.992829804401649474e-01
4.779180000000000095e-01,1.002206552312359999e+00
4.938486000000000264e-01,9.934539896864339470e-01
5.257098000000000049e-01,9.993288437595080342e-01
5.257098000000000049e-01,9.980811291735389723e-01
5.018139000000000349e-01,9.955640439009689757e-01
5.814669000000000088e-01,1.005028250174849980e+00
5.655362999999999918e-01,9.990704487458620386e-01
6.372240000000000126e-01,9.996524099508099503e-01
5.735015999999999448e-01,9.954186027882879761e-01
5.655362999999999918e-01,1.000379635256559929e+00
5.575710000000000388e-01,1.001050117452459975e+00
5.575710000000000388e-01,9.932257343257999693e-01
5.655362999999999918e-01,9.973943129774930361e-01
5.018139000000000349e-01,1.001823468966080100e+00
5.655362999999999918e-01,1.003301715733249999e+00
5.018139000000000349e-01,9.973215823938169633e-01
4.779180000000000095e-01,9.951564014795649671e-01
5.018139000000000349e-01,1.001157595578610060e+00
4.380915000000000226e-01,1.000951829994630060e+00
4.301262000000000141e-01,1.000892371912629919e+00
3.026813999999999893e-01,1.000111813593270060e+00
3.186120000000000063e-01,1.003380225544280080e+00
3.265773000000000148e-01,1.000063998653849984e+00
2.867507999999999724e-01,1.000792692515440008e+00
3.186120000000000063e-01,1.006256559769350023e+00
2.787855000000000194e-01,9.985692235236359737e-01
3.186120000000000063e-01,1.006083706443950065e+00
2.947160999999999809e-01,9.972323602496300232e-01
2.628549000000000024e-01,1.005112850057769958e+00
3.106466999999999978e-01,1.002008280779649985e+00
2.708202000000000109e-01,9.989372624256700473e-01
3.823344000000000187e-01,1.007101198618659987e+00
3.345426000000000233e-01,9.975891442621910299e-01
3.425078999999999763e-01,1.004760790556070038e+00
3.664038000000000017e-01,1.003929092976040049e+00
3.186120000000000063e-01,1.001014819502759945e+00
3.823344000000000187e-01,1.007334007151730049e+00
4.301262000000000141e-01,1.000409533409539975e+00
4.301262000000000141e-01,1.003119543351000065e+00
4.380915000000000226e-01,1.003239824321799922e+00
4.540220999999999840e-01,9.988768897538840008e-01
4.619873999999999925e-01,9.979766257358240189e-01
4.938486000000000264e-01,9.973341306266150230e-01
5.097791999999999879e-01,9.993482728677739457e-01
5.177445000000000519e-01,1.007240940052559930e+00
5.336750999999999578e-01,9.988851119296560110e-01
5.257098000000000049e-01,1.001802836291660004e+00
5.575710000000000388e-01,1.005338749854260083e+00
5.496056999999999748e-01,9.924859807736600148e-01
5.177445000000000519e-01,9.916808506304319870e-01
5.735015999999999448e-01,9.946002562101849964e-01
5.575710000000000388e-01,9.985557168935450534e-01
5.575710000000000388e-01,1.003388169691429965e+00
5.735015999999999448e-01,9.951348701140779740e-01
5.735015999999999448e-01,1.000633736572009935e+00
5.814669000000000088e-01,1.008092313613770052e+00
5.814669000000000088e-01,9.958878675147829762e-01
5.416404000000000218e-01,9.977177188307919664e-01
5.257098000000000049e-01,1.000867460967080014e+00
4.699527000000000010e-01,9.959529457033009514e-01
4.460567999999999755e-01,1.005652992417880087e+00
3.823344000000000187e-01,9.999500856059559961e-01
3.902997000000000272e-01,1.002631303395860041e+00
3.902997000000000272e-01,9.955060995193240059e-01
3.664038000000000017e-01,9.654777942887450282e-01
3.584384999999999932e-01,9.290282597168370016e-01
4.221609000000000056e-01,8.706357753503839447e-01
3.026813999999999893e-01,8.089888799003619457e-01
2.309936999999999963e-01,7.390122948116529811e-01
2.708202000000000109e-01,6.709762773781100531e-01
2.947160999999999809e-01,5.836422470920229477e-01
3.823344000000000187e-01,5.090222969905120465e-01
3.186120000000000063e-01,4.077412789885059841e-01
3.743691000000000102e-01,2.424384005854290092e-01
3.345426000000000233e-01,1.391651244332769988e-01
3.902997000000000272e-01,1.297159192521570026e-01
3.106466999999999978e-01,8.237413561723849753e-02
3.265773000000000148e-01,8.728430384157699271e-03
3.265773000000000148e-01,0.000000000000000000e+00
3.664038000000000017e-01,0.000000000000000000e+00
3.584384999999999932e-01,0.000000000000000000e+00
3.265773000000000148e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.186120000000000063e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
2.708202000000000109e-01,0.000000000000000000e+00
3.982649999999999801e-01,0.000000000000000000e+00
3.902997000000000272e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.265773000000000148e-01,0.000000000000000000e+00
3.664038000000000017e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.504731999999999847e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
3.345426000000000233e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.425078999999999763e-01,0.000000000000000000e+00
3.664038000000000017e-01,0.000000000000000000e+00
3.664038000000000017e-01,0.000000000000000000e+00
3.186120000000000063e-01,0.000000000000000000e+00
2.867507999999999724e-01,0.000000000000000000e+00
2.628549000000000024e-01,0.000000000000000000e+00
2.947160999999999809e-01,0.000000000000000000e+00
3.265773000000000148e-01,0.000000000000000000e+00
3.106466999999999978e-01,0.000000000000000000e+00
2.628549000000000024e-01,0.000000000000000000e+00
2.867507999999999724e-01,1.343463614502440027e-02
3.186120000000000063e-01,6.362629565877460369e-02
3.584384999999999932e-01,8.887317824863549820e-02
3.425078999999999763e-01,1.229011504082799938e-01
2.628549000000000024e-01,1.496626753604539950e-01
4.062302999999999886e-01,1.741408529318810017e-01
4.380915000000000226e-01,2.139063439546229906e-01
4.141955999999999971e-01,2.768288923903869936e-01
4.141955999999999971e-01,3.321188119128720140e-01
3.664038000000000017e-01,3.696143021097190173e-01
4.301262000000000141e-01,4.473682000963449812e-01
4.380915000000000226e-01,5.345680487675930070e-01
4.221609000000000056e-01,5.734819566977209515e-01
3.902997000000000272e-01,5.808420180385950315e-01
