x,y,z
-7.873632121699999686e+01,1.244847030092000040e+02,2.438735406420000018e+01
-7.873731959099990263e+01,1.244846460101999952e+02,2.438735404319999844e+01
-7.873632143899999392e+01,1.244847065371999975e+02,2.438835405820000091e+01
-7.873826096700000221e+01,1.244835906432000030e+02,2.438735755720000142e+01
-7.873925956300000450e+01,1.244835371722000019e+02,2.438835753020000041e+01
-7.873826118899999926e+01,1.244835941711999965e+02,2.438835755119999860e+01
-7.873826118899999926e+01,1.244835941711999965e+02,2.438835755119999860e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873731981299989968e+01,1.244846495382000029e+02,2.438835403719999917e+01
-7.873731959099990263e+01,1.244846460101999952e+02,2.438735404319999844e+01
-7.873731981299989968e+01,1.244846495382000029e+02,2.438835403719999917e+01
-7.873731981299989968e+01,1.244846495382000029e+02,2.438835403719999917e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873731959099990263e+01,1.244846460101999952e+02,2.438735404319999844e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873826118899999926e+01,1.244835941711999965e+02,2.438835755119999860e+01
-7.873826141099999631e+01,1.244835976992000042e+02,2.438935754519999932e+01
-7.873826141099999631e+01,1.244835976992000042e+02,2.438935754519999932e+01
-7.873826163299999337e+01,1.244836012271999977e+02,2.439035753920000005e+01
-7.873931656099999543e+01,1.244845355401999996e+02,2.438835399519999925e+01
-7.873831840900000145e+01,1.244845960672000018e+02,2.438935401020000171e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873826118899999926e+01,1.244835941711999965e+02,2.438835755119999860e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873931656099999543e+01,1.244845355401999996e+02,2.438835399519999925e+01
-7.873931678300000669e+01,1.244845390681999930e+02,2.438935398919999997e+01
-7.873831818700000440e+01,1.244845925391999941e+02,2.438835401620000098e+01
-7.873925978500000156e+01,1.244835407001999954e+02,2.438935752420000114e+01
-7.874025838100000385e+01,1.244834872291999943e+02,2.439035749720000013e+01
-7.873926000699999861e+01,1.244835442282000031e+02,2.439035751819999831e+01
-7.874025838100000385e+01,1.244834872291999943e+02,2.439035749720000013e+01
-7.873926000699999861e+01,1.244835442282000031e+02,2.439035751819999831e+01
-7.873925978500000156e+01,1.244835407001999954e+02,2.438935752420000114e+01
-7.873925956300000450e+01,1.244835371722000019e+02,2.438835753020000041e+01
-7.874025815900000680e+01,1.244834837012000008e+02,2.438935750319999940e+01
-7.873937378099999762e+01,1.244855374362000049e+02,2.438935045419999881e+01
-7.873937378099999762e+01,1.244855374362000049e+02,2.438935045419999881e+01
-7.873937400299999467e+01,1.244855409641999984e+02,2.439035044819999953e+01
-7.873831840900000145e+01,1.244845960672000018e+02,2.438935401020000171e+01
-7.874025838100000385e+01,1.244834872291999943e+02,2.439035749720000013e+01
-7.874125675499989541e+01,1.244834302301999998e+02,2.439035747619999839e+01
-7.874225512899990065e+01,1.244833732312000052e+02,2.439035745520000020e+01
-7.874020116100000166e+01,1.244824853332000032e+02,2.438936103820000056e+01
-7.874020138299999871e+01,1.244824888611999967e+02,2.439036103220000129e+01
-7.874025815900000680e+01,1.244834837012000008e+02,2.438935750319999940e+01
-7.874031537899999478e+01,1.244844855972000062e+02,2.439035396219999896e+01
-7.874031515699999773e+01,1.244844820691999985e+02,2.438935396819999823e+01
-7.874037215500000286e+01,1.244854804371999961e+02,2.438935043320000062e+01
-7.874031515699999773e+01,1.244844820691999985e+02,2.438935396819999823e+01
-7.874025838100000385e+01,1.244834872291999943e+02,2.439035749720000013e+01
-7.874025815900000680e+01,1.244834837012000008e+02,2.438935750319999940e+01
-7.874125653299989835e+01,1.244834267022000063e+02,2.438935748220000121e+01
-7.874131353099990349e+01,1.244844250702000039e+02,2.438935394720000005e+01
-7.874219790899989846e+01,1.244823713351999999e+02,2.438936099620000064e+01
-7.874114253699990229e+01,1.244814299661999968e+02,2.438936455219999999e+01
-7.874114275899989934e+01,1.244814334942000045e+02,2.439036454620000072e+01
-7.874125653299989835e+01,1.244834267022000063e+02,2.438935748220000121e+01
-7.874037215500000286e+01,1.244854804371999961e+02,2.438935043320000062e+01
-7.874037215500000286e+01,1.244854804371999961e+02,2.438935043320000062e+01
-7.874137075100000516e+01,1.244854269661999950e+02,2.439035040619999961e+01
-7.874031515699999773e+01,1.244844820691999985e+02,2.438935396819999823e+01
-7.874125653299989835e+01,1.244834267022000063e+02,2.438935748220000121e+01
-7.874225468499990654e+01,1.244833661752000040e+02,2.438835746719999875e+01
-7.874225490699990360e+01,1.244833697031999975e+02,2.438935746119999948e+01
-7.874413788100000033e+01,1.244812624972000066e+02,2.439036448319999906e+01
-7.874308295299999827e+01,1.244803281842000047e+02,2.439236802719999986e+01
-7.874308273100000122e+01,1.244803246561999970e+02,2.439136803319999913e+01
-7.874319672699999728e+01,1.244823213922000065e+02,2.439136096320000036e+01
-7.874137052899999389e+01,1.244854234382000016e+02,2.438935041219999889e+01
-7.873948733299999958e+01,1.244875271161999990e+02,2.438734339619999858e+01
-7.873943033499999444e+01,1.244865287482000014e+02,2.438734693119999974e+01
-7.874031493500000067e+01,1.244844785412000050e+02,2.438835397420000106e+01
-7.874219768699990141e+01,1.244823678072000064e+02,2.438836100219999992e+01
-7.874219790899989846e+01,1.244823713351999999e+02,2.438936099620000064e+01
-7.874119975699990448e+01,1.244824318622000021e+02,2.439036101119999955e+01
-7.874225535099989770e+01,1.244833767591999987e+02,2.439135744920000093e+01
-7.874225557299989475e+01,1.244833802872000064e+02,2.439235744320000165e+01
-7.874219835299990677e+01,1.244823783912000010e+02,2.439136098419999854e+01
-7.874319694899999433e+01,1.244823249202000000e+02,2.439236095720000108e+01
-7.874225535099989770e+01,1.244833767591999987e+02,2.439135744920000093e+01
-7.874131330899990644e+01,1.244844215421999962e+02,2.438835395319999932e+01
-7.873937333700000352e+01,1.244855303802000037e+02,2.438735046620000091e+01
-7.873931633899999838e+01,1.244845320122000061e+02,2.438735400119999852e+01
-7.874225468499990654e+01,1.244833661752000040e+02,2.438835746719999875e+01
-7.874319628300000318e+01,1.244823143362000053e+02,2.438936097519999890e+01
-7.874319672699999728e+01,1.244823213922000065e+02,2.439136096320000036e+01
