x,Weights,y,Weights,error_LT
-5.742963890999980059e+00,2.687576169999900122e-01,-7.113650348001669954e-01,2.687576169999900122e-01,-7.113650348001669954e-01
-5.205448656999999812e+00,2.620912880000090261e-01,-7.577172327999619483e-01,2.620912880000090261e-01,-7.577172327999619483e-01
-4.681266080999979984e+00,2.822245770000160192e-01,-8.337183278001699671e-01,2.822245770000160192e-01,-8.337183278001699671e-01
-4.116816926999949722e+00,2.942486010000019969e-01,-7.904183978002380373e-01,2.942486010000019969e-01,-7.904183978002380373e-01
-3.528319724999950058e+00,3.118696229999869951e-01,-7.297301888001469505e-01,3.118696229999869951e-01,-7.297301888001469505e-01
-2.904580478999970072e+00,3.294727539999859900e-01,-7.600214738000089509e-01,3.294727539999859900e-01,-7.600214738000089509e-01
-2.245634970999999869e+00,3.335280420000140134e-01,-7.753737387999419806e-01,3.335280420000140134e-01,-7.753737387999419806e-01
-1.578578886999969955e+00,3.282512719999879924e-01,-7.573333497998649966e-01,3.282512719999879924e-01,-7.573333497998649966e-01
-9.220763429999939698e-01,3.494881890000179903e-01,-7.649679007999450331e-01,3.494881890000179903e-01,-7.649679007999450331e-01
-2.230999649999579892e-01,3.934651969999939936e-01,-7.972461248000399792e-01,3.934651969999939936e-01,-7.972461248000399792e-01
5.638304290000299979e-01,4.112088249999880096e-01,-7.735617918002619664e-01,4.112088249999880096e-01,-7.735617918002619664e-01
1.386248079000010014e+00,4.088929959999890174e-01,-7.398667748001910294e-01,4.088929959999890174e-01,-7.398667748001910294e-01
2.204034070999980166e+00,4.106441620000230164e-01,-7.654115097998329675e-01,4.106441620000230164e-01,-7.654115097998329675e-01
3.025322395000030085e+00,4.220842999999990242e-01,-7.996788317999520279e-01,4.220842999999990242e-01,-7.996788317999520279e-01
3.869490995000029798e+00,4.290128120000040179e-01,-7.785593637999570493e-01,4.290128120000040179e-01,-7.785593637999570493e-01
4.727516619000030396e+00,4.336025669999880039e-01,-7.545463898001120162e-01,4.336025669999880039e-01,-7.545463898001120162e-01
5.594721753000009734e+00,4.712130299999899852e-01,-7.509725917998939515e-01,4.712130299999899852e-01,-7.509725917998939515e-01
6.537147812999990037e+00,4.923519870000039877e-01,-7.491281888000570488e-01,4.923519870000039877e-01,-7.491281888000570488e-01
7.521851787000000122e+00,5.084108920000149912e-01,-7.509470677999839916e-01,5.084108920000149912e-01,-7.509470677999839916e-01
8.538673571000030549e+00,5.095687959999759542e-01,-7.890045447999799455e-01,5.095687959999759542e-01,-7.890045447999799455e-01
9.557811162999980681e+00,5.272715730000350209e-01,-8.149846967998539693e-01,5.272715730000350209e-01,-8.149846967998539693e-01
