center_CAM,Weights,error_CAM
-9.478706999999999550e-01,3.938525606461680262e-01,-9.478706999999999550e-01
-9.876972000000000529e-01,3.752331289028489891e-01,-9.876972000000000529e-01
-7.089117000000000335e-01,3.566125512778269835e-01,-7.089117000000000335e-01
-4.221609000000000056e-01,3.379931195345050043e-01,-4.221609000000000056e-01
-7.168769999999999309e-02,3.193725419094839979e-01,-7.168769999999999309e-02
8.761829999999999619e-02,3.007531101661620188e-01,8.761829999999999619e-02
1.354101000000000055e-01,2.821325325411410123e-01,1.354101000000000055e-01
1.672713000000000116e-01,2.635131007978199769e-01,1.672713000000000116e-01
0.000000000000000000e+00,2.826941214381599732e-01,0.000000000000000000e+00
-1.194795000000000024e-01,3.112938186812629904e-01,-1.194795000000000024e-01
-1.115141999999999939e-01,3.425951757351510252e-01,-1.115141999999999939e-01
7.965299999999999811e-03,3.296242227761410071e-01,7.965299999999999811e-03
-1.593059999999999962e-02,3.644998159421670159e-01,-1.593059999999999962e-02
7.168769999999999309e-02,4.032928808387670205e-01,7.168769999999999309e-02
2.389590000000000117e-02,4.054869646014260254e-01,2.389590000000000117e-02
2.070977999999999986e-01,4.297579120901390271e-01,2.070977999999999986e-01
1.354101000000000055e-01,4.364018041919370261e-01,1.354101000000000055e-01
1.832019000000000009e-01,4.710480639645779899e-01,1.832019000000000009e-01
2.070977999999999986e-01,5.330093078651779726e-01,2.070977999999999986e-01
3.186120000000000063e-01,5.361238958150880141e-01,3.186120000000000063e-01
2.548895999999999940e-01,5.576128709446610543e-01,2.548895999999999940e-01
3.345426000000000233e-01,5.871815065857010074e-01,3.345426000000000233e-01
2.867507999999999724e-01,6.334596902003100105e-01,2.867507999999999724e-01
3.743691000000000102e-01,6.486191320117650205e-01,3.743691000000000102e-01
3.265773000000000148e-01,6.606534279017629574e-01,3.265773000000000148e-01
4.062302999999999886e-01,6.791382181750480473e-01,4.062302999999999886e-01
3.186120000000000063e-01,7.284214739399460514e-01,3.186120000000000063e-01
3.664038000000000017e-01,7.528639902875770007e-01,3.664038000000000017e-01
4.062302999999999886e-01,7.794390310973049463e-01,4.062302999999999886e-01
4.141955999999999971e-01,8.093645536586140388e-01,4.141955999999999971e-01
4.062302999999999886e-01,8.317672855223620099e-01,4.062302999999999886e-01
4.779180000000000095e-01,8.615946549712309999e-01,4.779180000000000095e-01
4.301262000000000141e-01,8.967235423893390456e-01,4.301262000000000141e-01
5.177445000000000519e-01,9.159951220681300521e-01,5.177445000000000519e-01
5.097791999999999879e-01,9.204974416868370035e-01,5.097791999999999879e-01
5.177445000000000519e-01,9.551467361340799656e-01,5.177445000000000519e-01
5.814669000000000088e-01,9.598253435314370030e-01,5.814669000000000088e-01
5.177445000000000519e-01,9.631877285809740119e-01,5.177445000000000519e-01
5.575710000000000388e-01,9.778926661474760529e-01,5.575710000000000388e-01
5.814669000000000088e-01,9.918449822732680055e-01,5.814669000000000088e-01
5.973975000000000257e-01,9.979262847545049553e-01,5.973975000000000257e-01
6.451892999999999656e-01,1.013599836846390101e+00,6.451892999999999656e-01
6.292586999999999486e-01,1.004841639509439943e+00,6.292586999999999486e-01
6.372240000000000126e-01,1.004295808211679963e+00,6.372240000000000126e-01
6.212933999999999957e-01,9.877519346410670309e-01,6.212933999999999957e-01
6.531546000000000296e-01,9.909855905601639980e-01,6.531546000000000296e-01
6.850157999999999525e-01,9.977150955735180071e-01,6.850157999999999525e-01
7.089117000000000335e-01,9.965204292804690223e-01,7.089117000000000335e-01
7.009463999999999695e-01,1.002263242679990007e+00,7.009463999999999695e-01
7.487382000000000204e-01,1.010342386374109891e+00,7.487382000000000204e-01
7.248423000000000505e-01,1.006576972063659925e+00,7.248423000000000505e-01
7.726340999999999903e-01,1.008145003830609898e+00,7.726340999999999903e-01
7.646688000000000374e-01,9.983709452735309853e-01,7.646688000000000374e-01
7.646688000000000374e-01,9.890776007375240431e-01,7.646688000000000374e-01
7.646688000000000374e-01,9.983497765430779936e-01,7.646688000000000374e-01
8.283911999999999942e-01,9.935701084267209993e-01,8.283911999999999942e-01
8.124605999999999772e-01,1.002525205694489996e+00,8.124605999999999772e-01
8.044953000000000243e-01,1.002769193375760093e+00,8.044953000000000243e-01
7.885647000000000073e-01,9.970375630583390159e-01,7.885647000000000073e-01
7.726340999999999903e-01,1.006785534855539899e+00,7.726340999999999903e-01
8.044953000000000243e-01,1.005207459309940043e+00,8.044953000000000243e-01
7.168769999999999865e-01,1.000706268696329948e+00,7.168769999999999865e-01
7.726340999999999903e-01,9.959054296190249511e-01,7.726340999999999903e-01
7.487382000000000204e-01,9.986770084442879725e-01,7.487382000000000204e-01
8.204259000000000412e-01,9.952880858519600471e-01,8.204259000000000412e-01
7.805994000000000543e-01,1.009471723807690013e+00,7.805994000000000543e-01
8.044953000000000243e-01,9.936253337625710058e-01,8.044953000000000243e-01
7.248423000000000505e-01,9.964953429300640320e-01,7.248423000000000505e-01
7.089117000000000335e-01,1.003133418581189984e+00,7.089117000000000335e-01
6.929811000000000165e-01,1.004899357443530095e+00,6.929811000000000165e-01
7.089117000000000335e-01,9.880735686950490315e-01,7.089117000000000335e-01
6.690852000000000466e-01,9.962525492112429548e-01,6.690852000000000466e-01
7.567034999999999734e-01,1.007999389362510101e+00,7.567034999999999734e-01
7.089117000000000335e-01,9.980158634010609653e-01,7.089117000000000335e-01
7.487382000000000204e-01,1.001082851364959891e+00,7.487382000000000204e-01
6.850157999999999525e-01,9.980045202288400086e-01,6.850157999999999525e-01
6.451892999999999656e-01,9.964540011492180049e-01,6.451892999999999656e-01
6.850157999999999525e-01,1.001410306827209995e+00,6.850157999999999525e-01
7.487382000000000204e-01,1.004824263343740087e+00,7.487382000000000204e-01
6.531546000000000296e-01,9.961918683567629884e-01,6.531546000000000296e-01
6.531546000000000296e-01,9.956903806971290072e-01,6.531546000000000296e-01
6.053627999999999787e-01,9.983091406140509605e-01,6.053627999999999787e-01
6.850157999999999525e-01,1.006735523649529895e+00,6.850157999999999525e-01
6.292586999999999486e-01,9.992399904168559610e-01,6.292586999999999486e-01
6.372240000000000126e-01,1.003856434216719995e+00,6.372240000000000126e-01
5.655362999999999918e-01,1.006920872933970035e+00,5.655362999999999918e-01
5.655362999999999918e-01,9.980158569126510448e-01,5.655362999999999918e-01
5.018139000000000349e-01,9.954849286243450113e-01,5.018139000000000349e-01
5.177445000000000519e-01,1.008145004145299950e+00,5.177445000000000519e-01
5.177445000000000519e-01,1.003462199314999914e+00,5.177445000000000519e-01
