center_CAM,Weights,error_CAM
-7.328076000000000034e-01,3.890047890563569921e-01,-7.328076000000000034e-01
-5.177445000000000519e-01,3.562738466421699890e-01,-5.177445000000000519e-01
-4.460567999999999755e-01,3.235408898921839915e-01,-4.460567999999999755e-01
-3.106466999999999978e-01,2.908099474779989868e-01,-3.106466999999999978e-01
-2.309936999999999963e-01,2.580769907280119901e-01,-2.309936999999999963e-01
-2.150631000000000070e-01,2.742641881152699801e-01,-2.150631000000000070e-01
-1.911672000000000093e-01,3.081471624746869864e-01,-1.911672000000000093e-01
-3.186120000000000063e-01,3.256186152093720199e-01,-3.186120000000000063e-01
-3.504731999999999847e-01,3.263646084721900098e-01,-3.504731999999999847e-01
-3.106466999999999978e-01,3.874044370927259839e-01,-3.106466999999999978e-01
-2.867507999999999724e-01,4.034525204048640123e-01,-2.867507999999999724e-01
-2.548895999999999940e-01,4.153231375202189879e-01,-2.548895999999999940e-01
-1.672713000000000116e-01,4.365123172630959725e-01,-1.672713000000000116e-01
-2.469243000000000132e-01,4.278306092033419827e-01,-2.469243000000000132e-01
-1.593060000000000032e-01,4.913731418008919771e-01,-1.593060000000000032e-01
-1.194795000000000024e-01,5.191561719410989761e-01,-1.194795000000000024e-01
-7.965300000000000158e-02,5.355164375283869571e-01,-7.965300000000000158e-02
-1.115141999999999939e-01,5.588778158932680151e-01,-1.115141999999999939e-01
-5.575709999999999694e-02,5.907300984356459450e-01,-5.575709999999999694e-02
-5.575709999999999694e-02,6.221911301042299947e-01,-5.575709999999999694e-02
-9.558360000000000467e-02,6.552210544196630515e-01,-9.558360000000000467e-02
-2.389590000000000117e-02,6.578968107897780193e-01,-2.389590000000000117e-02
2.389590000000000117e-02,6.804846459762370348e-01,2.389590000000000117e-02
7.168769999999999309e-02,7.269162930517270027e-01,7.168769999999999309e-02
1.274447999999999970e-01,7.556731413755080062e-01,1.274447999999999970e-01
1.035488999999999993e-01,7.804537835559439696e-01,1.035488999999999993e-01
1.832019000000000009e-01,8.162380149815340324e-01,1.832019000000000009e-01
8.761829999999999619e-02,8.335482714423619877e-01,8.761829999999999619e-02
1.513406999999999947e-01,8.660992971103780302e-01,1.513406999999999947e-01
1.354101000000000055e-01,9.021114088923399832e-01,1.354101000000000055e-01
2.230283999999999878e-01,9.118938968379940446e-01,2.230283999999999878e-01
1.513406999999999947e-01,9.227170818685419551e-01,1.513406999999999947e-01
2.070977999999999986e-01,9.465350295439080019e-01,2.070977999999999986e-01
2.469243000000000132e-01,9.662263860800469617e-01,2.469243000000000132e-01
2.787855000000000194e-01,9.846767352674240525e-01,2.787855000000000194e-01
1.911672000000000093e-01,9.979911323696130099e-01,1.911672000000000093e-01
2.150631000000000070e-01,1.004528677043899920e+00,2.150631000000000070e-01
1.991324999999999901e-01,9.975202532902980312e-01,1.991324999999999901e-01
2.628549000000000024e-01,1.003373342986910055e+00,2.628549000000000024e-01
3.584384999999999932e-01,1.000646824229360021e+00,3.584384999999999932e-01
3.425078999999999763e-01,9.962335576846019780e-01,3.425078999999999763e-01
3.584384999999999932e-01,9.962465311367300069e-01,3.584384999999999932e-01
3.664038000000000017e-01,1.002452340591879931e+00,3.664038000000000017e-01
4.460567999999999755e-01,1.007961653168470084e+00,4.460567999999999755e-01
4.221609000000000056e-01,1.010007260046309918e+00,4.221609000000000056e-01
3.743691000000000102e-01,1.001843612124390104e+00,3.743691000000000102e-01
3.186120000000000063e-01,1.002448340621099998e+00,3.186120000000000063e-01
3.345426000000000233e-01,1.002908490412419917e+00,3.345426000000000233e-01
2.309936999999999963e-01,1.001858154898739972e+00,2.309936999999999963e-01
2.628549000000000024e-01,9.945597821811239525e-01,2.628549000000000024e-01
3.026813999999999893e-01,9.960568496015049789e-01,3.026813999999999893e-01
2.867507999999999724e-01,9.975435180197119722e-01,2.867507999999999724e-01
2.309936999999999963e-01,9.983900098725250194e-01,2.309936999999999963e-01
1.911672000000000093e-01,1.009036503295150045e+00,1.911672000000000093e-01
1.911672000000000093e-01,1.005319976073169919e+00,1.911672000000000093e-01
2.548895999999999940e-01,1.001516269202509912e+00,2.548895999999999940e-01
2.708202000000000109e-01,9.964261998367780482e-01,2.708202000000000109e-01
2.787855000000000194e-01,1.005072265690009958e+00,2.787855000000000194e-01
3.504731999999999847e-01,9.989643283954190434e-01,3.504731999999999847e-01
3.743691000000000102e-01,9.988576840416060199e-01,3.743691000000000102e-01
3.504731999999999847e-01,9.939085235694999909e-01,3.504731999999999847e-01
3.345426000000000233e-01,1.006201520770569902e+00,3.345426000000000233e-01
3.186120000000000063e-01,9.988344590444609983e-01,3.186120000000000063e-01
2.628549000000000024e-01,9.997765574723860293e-01,2.628549000000000024e-01
