Case,Tows used,Gap mean (%),Gap std (%),Overlap mean (%),Overlap std (%)
RW trained on first 15 tows,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",2.4044858392710506,0.17396497096673785,1.1021806455173178,0.16329741010605323
Experimental last 15 tows,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",3.1095243258403427,0.0,1.7901230296559476,0.0
