time,width_CAM,center_CAM,error_CAM,width_LLS_A,center_LLS_A,width error_LLS_A,x,y,z,error_LT,z error,width_LLS_B,center_LLS_B,width error_LLS_B
8.226999999998952,6.1810728,-0.015930599999999906,12.5310728,5.97002762137927,-2.1719999999999997,-0.37997237862072986,142.36559150999997,186.5355709582,0.0144830931999885,-0.9644290418000026,4.014483093199988,6.28818320343802,-0.21300000000000008,-0.06181679656197936
8.242999999994936,6.1492116,0.031861200000000034,12.499211599999999,5.90570571142365,-2.204,-0.44429428857634967,148.34244614199997,186.5331379272,-0.0141789147999848,-0.9668620728000121,3.985821085200015,6.39915127184848,-0.14250000000000007,0.04915127184848078
8.258999999998196,6.1173504,0.0,12.4673504,5.84342758118291,-2.1975,-0.5065724188170897,150.33682231999998,186.5307840242,-0.0217269957999662,-0.9692159758000116,3.978273004200034,6.41632924653965,-0.15000000000000013,0.06632924653965055
8.275000000001455,6.1173504,0.031861200000000034,12.4673504,6.00418608995679,-2.1929999999999996,-0.3458139100432094,154.33975053799998,186.5409365792,-0.028872380800005,-0.9590634207999926,3.971127619199995,6.36559455196449,-0.08650000000000002,0.015594551964490222
8.29200000000128,6.1492116,-0.015930599999999906,12.499211599999999,6.05437252129684,-2.179,-0.2956274787031594,156.34470784599998,186.5462299932,-0.0274450297999703,-0.9537700067999992,3.97255497020003,6.3392934937578,-0.0734999999999999,-0.010706506242200042
8.307999999997264,6.1492116,-0.06372240000000007,12.499211599999999,5.96806738456142,-2.223,-0.38193261543858004,160.34238102199998,186.5431534982,-0.00854474179999898,-0.956846501799987,3.991455258200001,6.30127621994148,-0.0674999999999999,-0.04872378005851985
8.324000000000524,6.1970034,-0.07168770000000002,12.5470034,6.07471061584642,-2.1865,-0.27528938415357995,162.33667039199997,186.5598608662,-0.00616002679998873,-0.9401391337999883,3.993839973200011,6.31328511949207,-0.09850000000000003,-0.03671488050792959
8.339999999996508,6.1810728,-0.031861200000000034,12.5310728,6.08077519478187,-2.166,-0.26922480521812986,166.337053922,186.5619436802,0.0117226552000059,-0.9380563198000118,4.011722655200006,6.27219140332946,-0.06699999999999995,-0.07780859667053974
8.356999999996333,6.1173504,-0.04779179999999994,12.4673504,6.02007430474731,-2.1599999999999997,-0.32992569525268944,170.34328877399997,186.5843505112,0.0175348562000019,-0.9156494887999997,4.017534856200002,6.27320731364746,-0.05449999999999999,-0.07679268635253944
8.372999999999593,6.1014198,-0.03982649999999999,12.4514198,6.05322109641999,-2.155,-0.2967789035800097,174.33129593799998,186.5926885212,0.0213926251999881,-0.9073114788000112,4.021392625199988,6.29811463852477,-0.06599999999999984,-0.05188536147522971
8.388999999995576,6.0217668,-0.07965299999999997,12.3717668,6.14449613978014,-2.1085000000000003,-0.20550386021986,176.34275624999998,186.5893421452,0.0238519111999974,-0.9106578548000073,4.023851911199998,6.29916796092944,-0.0665,-0.05083203907055989
8.404999999998836,6.0695586,-0.05575709999999989,12.419558599999998,6.12915258309478,-2.1295,-0.2208474169052197,180.33218858599997,186.5727174272,0.0267980612000075,-0.92728257280001,4.026798061200007,6.23510978251386,-0.03550000000000009,-0.11489021748613926
8.421999999998661,6.1173504,-0.04779179999999994,12.4673504,6.06452578071813,-2.1475,-0.2854742192818698,182.32970240199998,186.5855811522,0.0231970151999887,-0.9144188477999933,4.0231970151999885,6.22128933582099,-0.0024999999999999467,-0.12871066417900945
8.437999999994645,6.0695586,-0.007965299999999953,12.419558599999998,6.0682235533191,-2.1100000000000003,-0.2817764466809001,186.32994386,186.5726102792,0.0351327372000128,-0.9273897207999937,4.035132737200013,6.23417717104671,0.016000000000000014,-0.11582282895328966
8.453999999997905,6.0854892,-0.015930600000000128,12.4354892,6.09385047710702,-2.0719999999999996,-0.2561495228929793,190.32587901999997,186.5824344012,0.0479870852000127,-0.917565598799996,4.047987085200012,6.28021528293418,0.016000000000000014,-0.06978471706581946
8.470000000001164,6.1970034,-0.03982649999999999,12.5470034,6.05784676308886,-2.0615,-0.2921532369111395,192.31115006399997,186.5816559712,0.0664315892000418,-0.9183440287999929,4.066431589200042,6.26703518419994,0.0605,-0.08296481580005999
8.48700000000099,6.1492116,-0.06372240000000007,12.499211599999999,6.09971475427629,-2.099,-0.2502852457237097,196.32343348999999,186.6033852602,0.0662474872000083,-0.8966147397999862,4.066247487200008,6.26720751212213,0.07250000000000001,-0.08279248787787008
8.502999999996973,6.133281,-0.007965299999999953,12.483281,6.01652945574296,-2.149,-0.3334705442570396,198.336404714,186.5911176272,0.0707385972000272,-0.9088823728000079,4.070738597200028,6.28325854951075,0.12949999999999995,-0.06674145048924984
8.519000000000233,6.1014198,0.007965300000000175,12.4514198,5.94853710039344,-2.1734999999999998,-0.40146289960655945,204.31630436199998,186.5879701212,0.0740799952000369,-0.9120298788000127,4.074079995200037,6.29725797470614,0.08549999999999991,-0.05274202529385974
8.534999999996217,6.1492116,0.04779180000000016,12.499211599999999,5.9976117173953,-2.135,-0.3523882826047,204.31630436199998,186.5879701212,0.0740799952000369,-0.9120298788000127,4.074079995200037,6.29542325820909,0.09750000000000014,-0.054576741790909544
