x,y_LE,y_RE
2.207911683532658501e-02,4.967200000000000273e+02,5.000000000000000000e+02
2.256615617728232118e-02,4.967189999999999941e+02,5.000000000000000000e+02
2.305319551923805388e-02,4.967320000000000277e+02,5.000000000000000000e+02
2.348611937875426034e-02,4.967570000000000050e+02,5.000000000000000000e+02
2.397315872070999651e-02,4.966940000000000168e+02,5.000000000000000000e+02
2.446019806266572921e-02,4.966159999999999854e+02,5.000000000000000000e+02
2.494723740462146538e-02,4.966809999999999832e+02,5.000000000000000000e+02
2.543427674657719462e-02,4.966800000000000068e+02,5.000000000000000000e+02
2.586720060609340455e-02,4.966549999999999727e+02,5.000000000000000000e+02
2.635423994804913725e-02,4.967060000000000173e+02,5.000000000000000000e+02
2.678716380756534371e-02,4.967309999999999945e+02,5.000000000000000000e+02
2.727420314952107988e-02,4.967049999999999841e+02,5.000000000000000000e+02
2.776124249147681258e-02,4.967450000000000045e+02,5.000000000000000000e+02
2.819416635099302251e-02,4.967579999999999814e+02,5.000000000000000000e+02
2.873532117538828146e-02,4.966800000000000068e+02,5.000000000000000000e+02
2.916824503490448792e-02,4.967189999999999941e+02,5.000000000000000000e+02
2.960116889442069785e-02,4.968079999999999927e+02,5.000000000000000000e+02
3.014232371881595679e-02,4.967959999999999923e+02,5.000000000000000000e+02
3.057524757833215978e-02,4.967699999999999818e+02,5.000000000000000000e+02
3.106228692028789248e-02,4.968090000000000259e+02,5.000000000000000000e+02
3.149521077980409894e-02,4.967570000000000050e+02,5.000000000000000000e+02
3.203636560419936136e-02,4.966940000000000168e+02,5.000000000000000000e+02
3.246928946371557129e-02,4.967450000000000045e+02,5.000000000000000000e+02
3.295632880567130052e-02,4.967320000000000277e+02,5.000000000000000000e+02
3.344336814762703669e-02,4.966809999999999832e+02,5.000000000000000000e+02
3.387629200714324662e-02,4.967450000000000045e+02,5.000000000000000000e+02
3.430921586665944961e-02,4.967830000000000155e+02,5.000000000000000000e+02
3.485037069105471202e-02,4.967450000000000045e+02,5.000000000000000000e+02
3.528329455057092195e-02,4.967579999999999814e+02,5.000000000000000000e+02
3.577033389252665119e-02,4.967839999999999918e+02,5.000000000000000000e+02
3.625737323448238736e-02,4.967450000000000045e+02,5.000000000000000000e+02
3.669029709399859729e-02,4.967710000000000150e+02,5.000000000000000000e+02
3.717733643595433346e-02,4.968870000000000005e+02,5.000000000000000000e+02
3.766437577791005575e-02,4.968589999999999804e+02,5.000000000000000000e+02
3.809729963742626568e-02,4.968589999999999804e+02,5.000000000000000000e+02
3.858433897938200186e-02,4.969239999999999782e+02,5.000000000000000000e+02
3.907137832133773109e-02,4.969250000000000114e+02,5.000000000000000000e+02
3.955841766329346726e-02,4.968600000000000136e+02,5.000000000000000000e+02
3.999134152280967719e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.047838086476541336e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.096542020672114259e-02,4.968220000000000027e+02,5.000000000000000000e+02
4.139834406623735252e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.188538340819308869e-02,4.969250000000000114e+02,5.000000000000000000e+02
4.237242275014881793e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.285946209210455410e-02,4.968600000000000136e+02,5.000000000000000000e+02
4.329238595162076403e-02,4.969119999999999777e+02,5.000000000000000000e+02
4.377942529357649326e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.421234915309269625e-02,4.968090000000000259e+02,5.000000000000000000e+02
4.469938849504843242e-02,4.968740000000000236e+02,5.000000000000000000e+02
4.513231235456464235e-02,4.968860000000000241e+02,5.000000000000000000e+02
4.561935169652037159e-02,4.968609999999999900e+02,5.000000000000000000e+02
4.610639103847610776e-02,4.969510000000000218e+02,5.000000000000000000e+02
4.659343038043184393e-02,4.969759999999999991e+02,5.000000000000000000e+02
4.702635423994804692e-02,4.969379999999999882e+02,5.000000000000000000e+02
4.751339358190378309e-02,4.969630000000000223e+02,5.000000000000000000e+02
4.800043292385951926e-02,4.969759999999999991e+02,5.000000000000000000e+02
4.843335678337572919e-02,4.968990000000000009e+02,5.000000000000000000e+02
4.892039612533145843e-02,4.968990000000000009e+02,5.000000000000000000e+02
4.940743546728719460e-02,4.969510000000000218e+02,5.000000000000000000e+02
4.989447480924293077e-02,4.969379999999999882e+02,5.000000000000000000e+02
5.032739866875913376e-02,4.969379999999999882e+02,5.000000000000000000e+02
5.081443801071486299e-02,4.969889999999999759e+02,5.000000000000000000e+02
5.130147735267059916e-02,4.969639999999999986e+02,5.000000000000000000e+02
5.178851669462633533e-02,4.969250000000000114e+02,5.000000000000000000e+02
5.222144055414253833e-02,4.969759999999999991e+02,5.000000000000000000e+02
5.270847989609827450e-02,4.970129999999999768e+02,5.000000000000000000e+02
5.319551923805401067e-02,4.969759999999999991e+02,5.000000000000000000e+02
5.362844309757021366e-02,4.969889999999999759e+02,5.000000000000000000e+02
5.411548243952594983e-02,4.970129999999999768e+02,5.000000000000000000e+02
5.460252178148167906e-02,4.969759999999999991e+02,5.000000000000000000e+02
5.508956112343741524e-02,4.969630000000000223e+02,5.000000000000000000e+02
5.552248498295362517e-02,4.969630000000000223e+02,5.000000000000000000e+02
5.600952432490935440e-02,4.969510000000000218e+02,5.000000000000000000e+02
5.649656366686509057e-02,4.969499999999999886e+02,5.000000000000000000e+02
5.692948752638130050e-02,4.970269999999999868e+02,5.000000000000000000e+02
5.741652686833702973e-02,4.970140000000000100e+02,5.000000000000000000e+02
5.790356621029277284e-02,4.969769999999999754e+02,5.000000000000000000e+02
5.839060555224849514e-02,4.969879999999999995e+02,5.000000000000000000e+02
5.882352941176470507e-02,4.970149999999999864e+02,5.000000000000000000e+02
5.931056875372044818e-02,4.969769999999999754e+02,5.000000000000000000e+02
5.979760809567617047e-02,4.970029999999999859e+02,5.000000000000000000e+02
6.023053195519238040e-02,4.970400000000000205e+02,5.000000000000000000e+02
6.066345581470859033e-02,4.970140000000000100e+02,5.000000000000000000e+02
6.115049515666431956e-02,4.970269999999999868e+02,5.000000000000000000e+02
6.163753449862005573e-02,4.970649999999999977e+02,5.000000000000000000e+02
6.212457384057578497e-02,4.970400000000000205e+02,5.000000000000000000e+02
6.255749770009198796e-02,4.969879999999999995e+02,5.000000000000000000e+02
6.304453704204773801e-02,4.970149999999999864e+02,5.000000000000000000e+02
6.353157638400346030e-02,4.969759999999999991e+02,5.000000000000000000e+02
6.396450024351967023e-02,4.969250000000000114e+02,5.000000000000000000e+02
6.445153958547540640e-02,4.969259999999999877e+02,5.000000000000000000e+02
6.493857892743114257e-02,4.969630000000000223e+02,5.000000000000000000e+02
6.542561826938687874e-02,4.969379999999999882e+02,5.000000000000000000e+02
6.585854212890308867e-02,4.969630000000000223e+02,5.000000000000000000e+02
6.634558147085881097e-02,4.969889999999999759e+02,5.000000000000000000e+02
6.683262081281454714e-02,4.969900000000000091e+02,5.000000000000000000e+02
6.731966015477028331e-02,4.969639999999999986e+02,5.000000000000000000e+02
6.775258401428649324e-02,4.969769999999999754e+02,5.000000000000000000e+02
6.823962335624221553e-02,4.969879999999999995e+02,5.000000000000000000e+02
6.872666269819795171e-02,4.969889999999999759e+02,5.000000000000000000e+02
6.915958655771416164e-02,4.969889999999999759e+02,5.000000000000000000e+02
6.964662589966989781e-02,4.970400000000000205e+02,5.000000000000000000e+02
7.013366524162563398e-02,4.970140000000000100e+02,5.000000000000000000e+02
7.062070458358135627e-02,4.969759999999999991e+02,5.000000000000000000e+02
7.105362844309756620e-02,4.969889999999999759e+02,5.000000000000000000e+02
7.154066778505330237e-02,4.969639999999999986e+02,5.000000000000000000e+02
7.202770712700903855e-02,4.968999999999999773e+02,5.000000000000000000e+02
7.246063098652524848e-02,4.968999999999999773e+02,5.000000000000000000e+02
7.294767032848098465e-02,4.969630000000000223e+02,5.000000000000000000e+02
7.343470967043670694e-02,4.969130000000000109e+02,5.000000000000000000e+02
7.392174901239245699e-02,4.968999999999999773e+02,5.000000000000000000e+02
7.435467287190866692e-02,4.969639999999999986e+02,5.000000000000000000e+02
7.484171221386438921e-02,4.969759999999999991e+02,5.000000000000000000e+02
7.532875155582011151e-02,4.969510000000000218e+02,5.000000000000000000e+02
7.581579089777586156e-02,4.969510000000000218e+02,5.000000000000000000e+02
7.624871475729207149e-02,4.969259999999999877e+02,5.000000000000000000e+02
7.668163861680826754e-02,4.969259999999999877e+02,5.000000000000000000e+02
7.716867795876400371e-02,4.969510000000000218e+02,5.000000000000000000e+02
7.760160181828021364e-02,4.969649999999999750e+02,5.000000000000000000e+02
7.808864116023594981e-02,4.969259999999999877e+02,5.000000000000000000e+02
7.857568050219167211e-02,4.969130000000000109e+02,5.000000000000000000e+02
7.906271984414742215e-02,4.969270000000000209e+02,5.000000000000000000e+02
7.949564370366361821e-02,4.968629999999999995e+02,5.000000000000000000e+02
7.998268304561935438e-02,4.967989999999999782e+02,5.000000000000000000e+02
8.046972238757509055e-02,4.967869999999999777e+02,5.000000000000000000e+02
8.090264624709130048e-02,4.968249999999999886e+02,5.000000000000000000e+02
8.138968558904702277e-02,4.968369999999999891e+02,5.000000000000000000e+02
8.187672493100275894e-02,4.968609999999999900e+02,5.000000000000000000e+02
8.236376427295849512e-02,4.969010000000000105e+02,5.000000000000000000e+02
8.279668813247470505e-02,4.968759999999999764e+02,5.000000000000000000e+02
8.328372747443042734e-02,4.968759999999999764e+02,5.000000000000000000e+02
8.377076681638617739e-02,4.969139999999999873e+02,5.000000000000000000e+02
8.425780615834189968e-02,4.969270000000000209e+02,5.000000000000000000e+02
8.469073001785810961e-02,4.969139999999999873e+02,5.000000000000000000e+02
8.517776935981384578e-02,4.969639999999999986e+02,5.000000000000000000e+02
8.566480870176958196e-02,4.969909999999999854e+02,5.000000000000000000e+02
8.609773256128577801e-02,4.969639999999999986e+02,5.000000000000000000e+02
8.658477190324152806e-02,4.969399999999999977e+02,5.000000000000000000e+02
8.707181124519725035e-02,4.969150000000000205e+02,5.000000000000000000e+02
8.755885058715298652e-02,4.968770000000000095e+02,5.000000000000000000e+02
8.799177444666918257e-02,4.968629999999999995e+02,5.000000000000000000e+02
