TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
1.280000000000000027e-01,8.180000000000000000e+02,-4.858942709999600207e-01,2.491068931752000140e+02,-4.107122880000949744e-02,-8.931068247999860432e-01,7.945998379999869599e+01,3.972999189999940062e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300000000000000044e-01,nan,-2.951882338325220179e-01,nan,nan,nan,nan,4.023497916534780061e-01,3.536593199999999992e+00,-2.676340800000000186e+00,6.212933999999999735e+00,4.301262000000000141e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.380000000000000115e-01,8.190000000000000000e+02,3.087055670000279917e-01,2.490839603752000073e+02,-9.381389880000599868e-02,-9.160396248001919650e-01,8.366816519999899526e+01,4.183408259999950030e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.459999999999999909e-01,nan,1.032437381974429913e+00,nan,nan,nan,nan,4.051615441226619763e-01,3.584385000000000154e+00,-2.660410199999999836e+00,6.244795200000000435e+00,4.619873999999999925e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.479999999999999927e-01,8.200000000000000000e+02,1.145387219000020051e+00,2.491134333141999946e+02,-1.687322417999939927e-01,-8.865666858002330120e-01,8.062094159999999476e+01,4.031047079999999783e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.580000000000000016e-01,8.210000000000000000e+02,1.951596635000020008e+00,2.491152235012000062e+02,-2.155595147999639916e-01,-8.847764988000790254e-01,8.172291299999980652e+01,4.086145649999989860e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.620000000000000051e-01,nan,2.351959320957960120e+00,nan,nan,nan,nan,4.158532704741830233e-01,3.616246199999999966e+00,-2.644479599999999930e+00,6.260725800000000341e+00,4.858833000000000180e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.680000000000000104e-01,8.220000000000000000e+02,2.768825765000010097e+00,2.490467790412000113e+02,-1.911360817999629980e-01,-9.532209587998750067e-01,8.467807400000140206e+01,4.233903700000070103e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.779999999999999916e-01,8.230000000000000000e+02,3.615606505000029891e+00,2.490221288131999984e+02,-1.558605127999939943e-01,-9.778711868001720431e-01,8.695140600000090103e+01,4.347570300000039856e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.789999999999999925e-01,nan,3.715515942269509875e+00,nan,nan,nan,nan,4.371069271170769932e-01,3.584385000000000154e+00,-2.692271400000000092e+00,6.276656400000000247e+00,4.460567999999999755e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.880000000000000004e-01,8.240000000000000000e+02,4.485120565000039861e+00,2.490378893042000072e+02,-1.067223677999599996e-01,-9.621106957998220022e-01,9.104164739999480105e+01,4.552082369999739808e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.950000000000000067e-01,nan,5.158649051106210415e+00,nan,nan,nan,nan,4.892483877012049898e-01,3.536593199999999992e+00,-2.708201999999999998e+00,6.244795200000000435e+00,4.141955999999999971e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.980000000000000093e-01,8.250000000000000000e+02,5.395537038999989932e+00,2.490740672972000027e+02,-4.264706079999559807e-02,-9.259327027999120219e-01,1.002441428000060029e+02,5.012207140000279892e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.079999999999999905e-01,8.260000000000000000e+02,6.397978467000039693e+00,2.491124376461999930e+02,5.440879200006999705e-03,-8.875623538001210511e-01,1.087079401999999959e+02,5.435397009999980433e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.109999999999999931e-01,nan,6.794547873057179999e+00,nan,nan,nan,nan,5.407614558671619553e-01,3.504732000000000181e+00,-2.708201999999999998e+00,6.212933999999999735e+00,3.982649999999999801e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.179999999999999993e-01,8.270000000000000000e+02,7.485057869000040220e+00,2.491244942481999942e+02,2.664030920002100067e-02,-8.755057517998640071e-01,1.071847903999990024e+02,5.359239519999929868e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.270000000000000073e-01,nan,8.545868540001080760e+00,nan,nan,nan,nan,5.384122534015229888e-01,3.536593199999999992e+00,-2.660410199999999836e+00,6.197003399999999829e+00,4.380915000000000226e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.280000000000000082e-01,8.280000000000000000e+02,8.556905773000019977e+00,2.490875502842000060e+02,3.300913119999279721e-02,-9.124497157998230357e-01,1.076876286000020002e+02,5.384381430000080293e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.379999999999999893e-01,8.290000000000000000e+02,9.633782059000040476e+00,2.490678076741999973e+02,7.318176200039600357e-03,-9.321923257999740198e-01,1.135245107999959941e+02,5.676225539999819603e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.439999999999999947e-01,nan,1.033162019293749978e+01,nan,nan,nan,nan,5.813508064164429889e-01,3.456940200000000019e+00,-2.740063199999999810e+00,6.197003399999999829e+00,3.584384999999999932e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
