time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.750000000000000000e+00,9.744999999999999218e+00,5.995000000000000107e+00,0.000000000000000000e+00,2.366144201012000110e+02,-1.990561648000080119e-01
9.999999999999786837e-03,3.750000000000000000e+00,9.744999999999999218e+00,5.995000000000000107e+00,5.018962020000117263e-01,2.366130114482000124e+02,-2.029395697999709924e-01
2.000000000000046185e-02,3.756027052893505580e+00,9.755332090674581735e+00,5.999305037781075711e+00,9.954627580000021680e-01,2.366171475952000094e+02,-2.038443708000050036e-01
3.000000000000024869e-02,3.765616880818274836e+00,9.770616880818275618e+00,6.004999999999999893e+00,1.483809008000008589e+00,2.366249992751999969e+02,-2.027634287999700025e-01
4.000000000000003553e-02,3.774095139254904030e+00,9.779095139254904367e+00,6.004999999999999893e+00,1.976487634000008597e+00,2.366271381351999992e+02,-1.876612767999840115e-01
4.999999999999982236e-02,3.783128858155732299e+00,9.775516262957129499e+00,5.992387404801396755e+00,2.466940854000000627e+00,2.366331670531999976e+02,-1.695733248000119986e-01
6.000000000000049738e-02,3.789270161882519083e+00,9.767758057409773542e+00,5.978487895527253571e+00,2.968093418000009365e+00,2.366447795201999895e+02,-1.615027567999740010e-01
7.000000000000028422e-02,3.789976604228271650e+00,9.759280749260740961e+00,5.969304145032468867e+00,3.460716822000009074e+00,2.366478885241999990e+02,-1.544040917999690010e-01
8.000000000000007105e-02,3.781087666334821407e+00,9.750087666334820824e+00,5.969000000000000306e+00,3.951798796000005609e+00,2.366429071702000044e+02,-1.442772067999789909e-01
8.999999999999985789e-02,3.761788871777117738e+00,9.735311099086624509e+00,5.973522227309506327e+00,4.456232582000012599e+00,2.366496811542000103e+02,-1.411888707999910120e-01
1.000000000000005329e-01,3.738149719996603171e+00,9.718017557139217999e+00,5.979867837142615272e+00,4.959043235999999411e+00,2.366673449072000039e+02,-1.481393807999960011e-01
1.100000000000003197e-01,3.728188452531828290e+00,9.707344770569816816e+00,5.979156318037987639e+00,5.455206816000000458e+00,2.366786265151999942e+02,-1.530688397999920014e-01
