time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.314999999999999947e+00,9.483000000000000540e+00,6.168000000000000149e+00,1.343491750000040119e-01,1.366260733592000065e+02,-2.130958267999699951e-01
8.999999999999999320e-03,3.314999999999999947e+00,9.471999999999999531e+00,6.157000000000000028e+00,5.905734706000120848e-01,1.366088340311000024e+02,-2.174335432999655038e-01
1.000000000000000021e-02,3.316625000000000156e+00,9.474999999999999645e+00,6.158375000000000377e+00,6.412650590000129602e-01,1.366069185501999925e+02,-2.179155117999649893e-01
1.700000000000000122e-02,3.327999999999999847e+00,9.496000000000000441e+00,6.168000000000000149e+00,1.001497113000038963e+00,1.365973310750999872e+02,-2.192015587999713022e-01
2.000000000000000042e-02,3.336666666666666448e+00,9.500000000000000000e+00,6.163333333333333108e+00,1.155882279000050028e+00,1.365932221571999889e+02,-2.197527217999739879e-01
2.599999999999999881e-02,3.354000000000000092e+00,9.507999999999999119e+00,6.153999999999999915e+00,1.457223461400038111e+00,1.365888103589999787e+02,-2.142700855999649934e-01
2.999999999999999889e-02,3.358888888888889035e+00,9.508888888888888502e+00,6.149999999999999467e+00,1.658117583000030093e+00,1.365858691601999908e+02,-2.106149947999589878e-01
3.500000000000000333e-02,3.365000000000000213e+00,9.509999999999999787e+00,6.144999999999999574e+00,1.900151021000045182e+00,1.365921839782000120e+02,-2.080834152999614939e-01
4.000000000000000083e-02,3.372777777777777874e+00,9.511666666666666714e+00,6.138888888888889284e+00,2.142184459000060048e+00,1.365984987962000048e+02,-2.055518357999640000e-01
4.399999999999999745e-02,3.379000000000000004e+00,9.512999999999999901e+00,6.134000000000000341e+00,2.343102373400031802e+00,1.366091767677999940e+02,-2.031447969999752023e-01
5.000000000000000278e-02,3.369250000000000078e+00,9.505499999999999616e+00,6.136249999999999538e+00,2.644479244999990097e+00,1.366251937252000062e+02,-1.995342387999919920e-01
