x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,1.839290000000000020e+02,0.000000000000000000e+00,1.900850000000000080e+02
4.908644668666484580e-04,1.839149999999999920e+02,4.914004914004913883e-04,1.900970000000000084e+02
9.817289337332969160e-04,1.839399999999999977e+02,9.828009828009827767e-04,1.900980000000000132e+02
1.418052904281428975e-03,1.839410000000000025e+02,1.419601419601419518e-03,1.901210000000000093e+02
1.908917371148077542e-03,1.839420000000000073e+02,1.911001911001911123e-03,1.901090000000000089e+02
2.399781838014725891e-03,1.839159999999999968e+02,2.402402402402402295e-03,1.900730000000000075e+02
2.836105808562857950e-03,1.838650000000000091e+02,2.839202839202839036e-03,1.900850000000000080e+02
3.326970275429506300e-03,1.838660000000000139e+02,3.330603330603330425e-03,1.901119999999999948e+02
3.817834742296155083e-03,1.838779999999999859e+02,3.822003822003822247e-03,1.901260000000000048e+02
4.308699209162803433e-03,1.838789999999999907e+02,4.258804258804258988e-03,1.901260000000000048e+02
4.745023179710935492e-03,1.839039999999999964e+02,4.750204750204749943e-03,1.901009999999999991e+02
5.235887646577583841e-03,1.839039999999999964e+02,5.241605241605241765e-03,1.901119999999999948e+02
5.726752113444232191e-03,1.839050000000000011e+02,5.733005733005732719e-03,1.901109999999999900e+02
6.163076083992364250e-03,1.839170000000000016e+02,6.169806169806169895e-03,1.900999999999999943e+02
6.653940550859012600e-03,1.838909999999999911e+02,6.661206661206660849e-03,1.900869999999999891e+02
7.144805017725661817e-03,1.838650000000000091e+02,7.152607152607152671e-03,1.900589999999999975e+02
7.635669484592310166e-03,1.838520000000000039e+02,7.589407589407589846e-03,1.900500000000000114e+02
8.071993455140442225e-03,1.838650000000000091e+02,8.080808080808080801e-03,1.900850000000000080e+02
8.508317425688574284e-03,1.839029999999999916e+02,8.517608517608517976e-03,1.900879999999999939e+02
9.053722388873738924e-03,1.839029999999999916e+02,9.063609063609064445e-03,1.901009999999999991e+02
9.490046359421870983e-03,1.839029999999999916e+02,9.500409500409499886e-03,1.901239999999999952e+02
9.980910826288519333e-03,1.839029999999999916e+02,9.991809991809990840e-03,1.901390000000000100e+02
1.047177529315516768e-02,1.839149999999999920e+02,1.048321048321048353e-02,1.901630000000000109e+02
1.090809926370329974e-02,1.839170000000000016e+02,1.092001092001092070e-02,1.901639999999999873e+02
1.139896373056994809e-02,1.838789999999999907e+02,1.141141141141140992e-02,1.901519999999999868e+02
1.188982819743659644e-02,1.838410000000000082e+02,1.184821184821184710e-02,1.901260000000000048e+02
1.238069266430324479e-02,1.838290000000000077e+02,1.233961233961233979e-02,1.900999999999999943e+02
1.281701663485137685e-02,1.838400000000000034e+02,1.283101283101283074e-02,1.901020000000000039e+02
1.330788110171802520e-02,1.838530000000000086e+02,1.332241332241332170e-02,1.901020000000000039e+02
1.379874556858467355e-02,1.838530000000000086e+02,1.375921375921375887e-02,1.901229999999999905e+02
1.423506953913280734e-02,1.838400000000000034e+02,1.425061425061424983e-02,1.901349999999999909e+02
1.472593400599945569e-02,1.838779999999999859e+02,1.468741468741468700e-02,1.901469999999999914e+02
1.521679847286610404e-02,1.838899999999999864e+02,1.517881517881517969e-02,1.901610000000000014e+02
