time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.476999999999999869e+00,1.079599999999999937e+01,7.318999999999999950e+00,5.288579100004209971e-02,3.992530790231999731e+02,-1.986764297999960016e-01
8.999999999999999320e-03,3.464999999999999858e+00,1.076099999999999923e+01,7.296000000000000263e+00,5.035968719999961429e-01,3.992850446850000026e+02,-2.202890828999969075e-01
1.000000000000000021e-02,3.466333333333333044e+00,1.076211111111111052e+01,7.295777777777778361e+00,5.536758809999909881e-01,3.992885964252000122e+02,-2.226904887999970051e-01
1.799999999999999864e-02,3.476999999999999869e+00,1.077100000000000080e+01,7.293999999999999595e+00,9.653735978000380635e-01,3.993056452996000303e+02,-2.354591359999657907e-01
2.000000000000000042e-02,3.489999999999999769e+00,1.077200000000000024e+01,7.282000000000000028e+00,1.068298027000049943e+00,3.993099075182000206e+02,-2.386512977999580010e-01
2.599999999999999881e-02,3.528999999999999915e+00,1.077500000000000036e+01,7.246000000000000441e+00,1.362759505000038063e+00,3.992996814392000147e+02,-2.367497021999663831e-01
2.999999999999999889e-02,3.534777777777777796e+00,1.077988888888888930e+01,7.245111111111111057e+00,1.559067157000030068e+00,3.992928640531999918e+02,-2.354819717999719897e-01
3.500000000000000333e-02,3.541999999999999815e+00,1.078599999999999959e+01,7.243999999999999773e+00,1.810312822000030186e+00,3.992781734792000066e+02,-2.318742277999699952e-01
4.000000000000000083e-02,3.525749999999999940e+00,1.075537499999999902e+01,7.229624999999999524e+00,2.061558487000029860e+00,3.992634829052000214e+02,-2.282664837999680008e-01
4.299999999999999656e-02,3.516000000000000014e+00,1.073700000000000010e+01,7.221000000000000085e+00,2.210398405600032756e+00,3.992617639031000181e+02,-2.282273082999677072e-01
5.000000000000000278e-02,3.525100000000000122e+00,1.072649999999999970e+01,7.201399999999999579e+00,2.557691549000039810e+00,3.992577528982000103e+02,-2.281358987999670129e-01
5.299999999999999850e-02,3.528999999999999915e+00,1.072199999999999953e+01,7.192999999999999616e+00,2.706745216400033627e+00,3.992575527814000225e+02,-2.269020266999784152e-01
5.999999999999999778e-02,3.517625000000000224e+00,1.070187499999999936e+01,7.184249999999999581e+00,3.054537107000019791e+00,3.992570858422000128e+02,-2.240229918000050113e-01
6.099999999999999867e-02,3.516000000000000014e+00,1.069899999999999984e+01,7.182999999999999829e+00,3.103477069400020660e+00,3.992577800485000239e+02,-2.230145474000003181e-01
7.000000000000000666e-02,3.476999999999999869e+00,1.064899999999999913e+01,7.171999999999999709e+00,3.543936731000029816e+00,3.992640279052000096e+02,-2.139385477999579954e-01
7.799999999999999989e-02,3.476999999999999869e+00,1.063499999999999979e+01,7.158000000000000362e+00,3.938286972600022029e+00,3.992761450404000243e+02,-2.082935349999996133e-01
8.000000000000000167e-02,3.485666666666666469e+00,1.063788888888888806e+01,7.152222222222222037e+00,4.036874533000020193e+00,3.992791743242000280e+02,-2.068822818000100039e-01
8.699999999999999400e-02,3.516000000000000014e+00,1.064799999999999969e+01,7.131999999999999673e+00,4.382989098999998667e+00,3.992835245288000010e+02,-2.026206061999903940e-01
8.999999999999999667e-02,3.528333333333333321e+00,1.065600000000000058e+01,7.127666666666666373e+00,4.531323912999989822e+00,3.992853889021999976e+02,-2.007941737999819898e-01
9.600000000000000200e-02,3.552999999999999936e+00,1.067200000000000060e+01,7.118999999999999773e+00,4.821557089000020113e+00,3.992755372657999828e+02,-1.946948125999867774e-01
1.000000000000000056e-01,3.558333333333333126e+00,1.067600000000000016e+01,7.117666666666666586e+00,5.015045873000040011e+00,3.992689695081999730e+02,-1.906285717999899876e-01
1.049999999999999961e-01,3.564999999999999947e+00,1.068099999999999916e+01,7.115999999999999659e+00,5.266007547000034705e+00,3.992592548982000267e+02,-1.915384757999950005e-01
1.100000000000000006e-01,3.573125000000000107e+00,1.067412500000000009e+01,7.100999999999999979e+00,5.516969221000030288e+00,3.992495402882000235e+02,-1.924483798000000134e-01
1.130000000000000032e-01,3.577999999999999847e+00,1.066999999999999993e+01,7.091999999999999638e+00,5.671381241200033507e+00,3.992502258188000042e+02,-1.972164792999889227e-01
1.199999999999999956e-01,3.568666666666666654e+00,1.063188888888888961e+01,7.063222222222221625e+00,6.031675955000039835e+00,3.992518253901999969e+02,-2.083420447999629888e-01
1.219999999999999973e-01,3.565999999999999837e+00,1.062100000000000044e+01,7.054999999999999716e+00,6.133795892200037514e+00,3.992526347474000090e+02,-2.119222061999685991e-01
1.300000000000000044e-01,3.530444444444444052e+00,1.056499999999999950e+01,7.034555555555555451e+00,6.542275641000030006e+00,3.992558721762000005e+02,-2.262428517999910127e-01
1.310000000000000053e-01,3.525999999999999801e+00,1.055799999999999983e+01,7.032000000000000028e+00,6.593204066000027730e+00,3.992550716470000225e+02,-2.268287018999882998e-01
