x,Weights,y,Weights,error_LT
-5.827809954999990438e+00,2.736765640000060062e-01,-7.522390188000830369e-01,2.736765640000060062e-01,-7.522390188000830369e-01
-5.280456826999969877e+00,2.716588960000039799e-01,-8.130149378001759741e-01,2.716588960000039799e-01,-8.130149378001759741e-01
-4.737139034999960252e+00,2.788858019999960192e-01,-8.908505398001129727e-01,2.788858019999960192e-01,-8.908505398001129727e-01
-4.179367430999969990e+00,3.053868039999940165e-01,-8.358592678000039689e-01,3.053868039999940165e-01,-8.358592678000039689e-01
-3.568593822999980070e+00,3.086334909999919884e-01,-7.618443858002590385e-01,3.086334909999919884e-01,-7.618443858002590385e-01
-2.951326841000000201e+00,3.301275650000199957e-01,-7.664877938002520041e-01,3.301275650000199957e-01,-7.664877938002520041e-01
-2.291071710999959876e+00,3.254424029999770096e-01,-8.047813548001839790e-01,3.254424029999770096e-01,-8.047813548001839790e-01
-1.640186904999999973e+00,3.347424790000069761e-01,-8.017364927998760216e-01,3.347424790000069761e-01,-8.017364927998760216e-01
-9.707019469999910166e-01,3.467095950000109728e-01,-8.086865047999369782e-01,3.467095950000109728e-01,-8.086865047999369782e-01
-2.772827569999690156e-01,3.869894499999910198e-01,-8.313401317998340145e-01,3.869894499999910198e-01,-8.313401317998340145e-01
4.966961430000130240e-01,3.992977979999989824e-01,-8.264208808000720330e-01,3.992977979999989824e-01,-8.264208808000720330e-01
1.295291739000010045e+00,4.010764429999890135e-01,-8.140758627999390429e-01,4.010764429999890135e-01,-8.140758627999390429e-01
2.097444624999989848e+00,4.189150339999980210e-01,-8.465051497998959951e-01,4.189150339999980210e-01,-8.465051497998959951e-01
2.935274692999989998e+00,4.242786540000100248e-01,-8.898088877998590052e-01,4.242786540000100248e-01,-8.898088877998590052e-01
3.783832000999999945e+00,4.413204940000239884e-01,-8.753900237998659684e-01,4.413204940000239884e-01,-8.753900237998659684e-01
4.666472989000049587e+00,4.355836329999849821e-01,-8.439301148001160380e-01,4.355836329999849821e-01,-8.439301148001160380e-01
5.537640255000019884e+00,4.545538490000030074e-01,-8.220407217999650129e-01,4.545538490000030074e-01,-8.220407217999650129e-01
6.446747953000030229e+00,4.910963449999989905e-01,-7.980206468002389864e-01,4.910963449999989905e-01,-7.980206468002389864e-01
7.428940643000029986e+00,5.185512759999919563e-01,-7.909435158001659749e-01,5.185512759999919563e-01,-7.909435158001659749e-01
8.466043195000009902e+00,5.110081379999980022e-01,-8.158059577999670076e-01,5.110081379999980022e-01,-8.158059577999670076e-01
9.488059471000010348e+00,5.348886330000159894e-01,-8.395795687998770518e-01,5.348886330000159894e-01,-8.395795687998770518e-01
1.055783673700000058e+01,5.506049949999870519e-01,-8.226957818002349487e-01,5.506049949999870519e-01,-8.226957818002349487e-01
1.165904672699999978e+01,5.548094480000039797e-01,-8.300525367999399551e-01,5.548094480000039797e-01,-8.300525367999399551e-01
1.276866562300000041e+01,5.856758970000019993e-01,-8.618954108001729564e-01,5.856758970000019993e-01,-8.618954108001729564e-01
1.394001741699999997e+01,6.039894149999880391e-01,-8.521982287999779748e-01,6.039894149999880391e-01,-8.521982287999779748e-01
1.514799624700000003e+01,6.062085840000109860e-01,-8.173690928000499900e-01,6.062085840000109860e-01,-8.173690928000499900e-01
1.636041341500000001e+01,6.153921110000140082e-01,-8.252076067998359576e-01,6.153921110000140082e-01,-8.252076067998359576e-01
1.759119763700009997e+01,6.335927429999750338e-01,-8.389663788001370248e-01,6.335927429999750338e-01,-8.389663788001370248e-01
1.885838312299999942e+01,6.412220439999990473e-01,-8.236350047999390078e-01,6.412220439999990473e-01,-8.236350047999390078e-01
2.014082721100000128e+01,6.552409080000000108e-01,-8.124087337997709657e-01,6.552409080000000108e-01,-8.124087337997709657e-01
2.145130902700000064e+01,6.882333390000030526e-01,-8.185913137999140110e-01,6.882333390000030526e-01,-8.185913137999140110e-01
2.282777570500000053e+01,6.968926209999940502e-01,-8.050728008000189728e-01,6.968926209999940502e-01,-8.050728008000189728e-01
2.422156094700000040e+01,7.080727640000239465e-01,-7.966425447999649911e-01,7.080727640000239465e-01,-7.966425447999649911e-01
2.563770647500000166e+01,7.352734449999900335e-01,-8.289861248002240446e-01,7.352734449999900335e-01,-8.289861248002240446e-01
2.710825336499999949e+01,7.428611180000039838e-01,-8.492694237999669493e-01,7.428611180000039838e-01,-8.492694237999669493e-01
2.859397560100000035e+01,7.645684109999869582e-01,-8.546530028001479984e-01,7.645684109999869582e-01,-8.546530028001479984e-01
3.012311242299999847e+01,7.841212020000229987e-01,-8.485292017998059544e-01,7.841212020000229987e-01,-8.485292017998059544e-01
3.169135482700000139e+01,8.001785739999790481e-01,-8.431457918001680207e-01,8.001785739999790481e-01,-8.431457918001680207e-01
3.329171197499999835e+01,8.154531010000060087e-01,-8.388664858000539626e-01,8.154531010000060087e-01,-8.388664858000539626e-01
3.492261817699999682e+01,8.299300790000040395e-01,-8.258069387999850131e-01,8.299300790000040395e-01,-8.258069387999850131e-01
3.658247833499999757e+01,8.496530869999999735e-01,-8.111120607999849907e-01,8.496530869999999735e-01,-8.111120607999849907e-01
3.828178450899999774e+01,8.629898620000030496e-01,-8.031230857998820083e-01,8.629898620000030496e-01,-8.031230857998820083e-01
4.000776423300000317e+01,8.845418429999970522e-01,-7.886421058001930051e-01,8.845418429999970522e-01,-7.886421058001930051e-01
4.177684791899999794e+01,8.920161650000010267e-01,-7.747511368002050203e-01,8.920161650000010267e-01,-7.747511368002050203e-01
4.356088024900000022e+01,9.071924889999819497e-01,-7.770732457999539600e-01,9.071924889999819497e-01,-7.770732457999539600e-01
4.537526522699999987e+01,9.259202310000169689e-01,-7.847127687998639578e-01,9.259202310000169689e-01,-7.847127687998639578e-01
4.722710568899999828e+01,9.366603150000150091e-01,-7.992709768001869941e-01,9.366603150000150091e-01,-7.992709768001869941e-01
