x,Weights,y,Weights
1.081084603569999985e+02,1.000798502999999950e+00,-8.334805717999530517e-01,1.000798502999999950e+00
1.101100573629999957e+02,1.013463099000009970e+00,-8.394959857998860464e-01,1.013463099000009970e+00
1.121369835609999939e+02,9.991719299999890502e-01,-8.330226818002299805e-01,9.991719299999890502e-01
1.141353274209999995e+02,1.010750746999979910e+00,-8.171491898001479459e-01,1.010750746999979910e+00
1.161568289150000055e+02,1.003562636000010055e+00,-8.209309997998840425e-01,1.003562636000010055e+00
1.181639541870000016e+02,9.954600939999950215e-01,-8.185222197999449945e-01,9.954600939999950215e-01
1.201548743750000057e+02,1.000851858999999955e+00,-8.129825598001619857e-01,1.000851858999999955e+00
1.221565780929999931e+02,1.007284736000020109e+00,-7.857931838000810076e-01,1.007284736000020109e+00
1.241711475649999983e+02,1.000678734999989938e+00,-7.558801968000919969e-01,1.000678734999989938e+00
1.261725050350000004e+02,9.864747279999900309e-01,-7.577186828001459817e-01,9.864747279999900309e-01
1.281454544910000095e+02,1.001866026000000076e+00,-7.532050047998379849e-01,1.001866026000000076e+00
1.301491865430000132e+02,9.870180960000000114e-01,-7.439927577999010389e-01,9.870180960000000114e-01
1.321232227350000130e+02,1.004203075999980044e+00,-7.585080477998640269e-01,1.004203075999980044e+00
1.341316288870000051e+02,1.005618602000029949e+00,-7.960804027999299759e-01,1.005618602000029949e+00
1.361428660910000019e+02,1.000683063999999955e+00,-7.955109227999059840e-01,1.000683063999999955e+00
1.381442322190000027e+02,9.852370989999880146e-01,-7.974870007998899890e-01,9.852370989999880146e-01
1.401147064170000078e+02,9.931223360000129841e-01,-8.022389998000679645e-01,9.931223360000129841e-01
1.421009510890000058e+02,9.986013739999749506e-01,-8.200637737999160182e-01,9.986013739999749506e-01
1.440981538370000123e+02,1.000968164999999965e+00,-8.192903838002509875e-01,1.000968164999999965e+00
1.461000901669999905e+02,1.010751857000020015e+00,-8.312536697999920454e-01,1.010751857000020015e+00
1.481215938809999955e+02,9.999262760000110495e-01,-8.350707598001460008e-01,9.999262760000110495e-01
1.501214464329999885e+02,9.898575939999719742e-01,-8.280832448000979840e-01,9.898575939999719742e-01
1.521011616209999886e+02,9.996957100000120056e-01,-8.192582457999150192e-01,9.996957100000120056e-01
1.541005530410000119e+02,9.914239499999839555e-01,-8.392877447998899898e-01,9.914239499999839555e-01
1.560834009410000078e+02,1.001066368000040008e+00,-8.502526038001859687e-01,1.001066368000040008e+00
1.580855336770000008e+02,1.009694486999960006e+00,-8.481182348002680449e-01,1.009694486999960006e+00
1.601049226510000096e+02,9.988829230000110249e-01,-8.499890827999929677e-01,9.988829230000110249e-01
1.621026884970000026e+02,9.934773630000109934e-01,-8.590900048000660316e-01,9.934773630000109934e-01
1.640896432229999959e+02,9.969310429999890255e-01,-8.718130198002429498e-01,9.969310429999890255e-01
1.660835053090000031e+02,9.995820470000039704e-01,-8.651639708001539475e-01,9.995820470000039704e-01
1.680826694030000112e+02,9.973575289999989657e-01,-8.812105817998490132e-01,9.973575289999989657e-01
1.700773844610000083e+02,1.005916742000009911e+00,-8.895053008001809758e-01,1.005916742000009911e+00
1.720892179450000015e+02,9.983432180000020306e-01,-8.818408538000990227e-01,9.983432180000020306e-01
1.740859043810000060e+02,9.943463709999920130e-01,-8.720292317999569498e-01,9.943463709999920130e-01
1.760745971229999896e+02,1.001180364000020084e+00,-8.976528638000329519e-01,1.001180364000020084e+00
1.780769578510000031e+02,1.001065257999979918e+00,-8.995119668000479685e-01,1.001065257999979918e+00
1.800790883669999971e+02,9.906833089999760311e-01,-8.973423178001099787e-01,9.906833089999760311e-01
1.820604549850000069e+02,1.006471373000040082e+00,-8.823601928000930350e-01,1.006471373000040082e+00
1.840733977310000000e+02,1.005615493999979959e+00,-8.765860908000040475e-01,1.005615493999979959e+00
1.860846287189999941e+02,9.981122080000089936e-01,-8.759178268000480383e-01,9.981122080000089936e-01
1.880808531350000123e+02,9.937778339999989718e-01,-8.931091067999550326e-01,9.937778339999989718e-01
1.900684088030000112e+02,1.001525591999979925e+00,-8.988112428000359921e-01,1.001525591999979925e+00
1.920714599869999972e+02,1.002207570000019921e+00,-8.776679717998949748e-01,1.002207570000019921e+00
1.940758751269999891e+02,1.006871024999979936e+00,-8.804220288000690342e-01,1.006871024999979936e+00
1.960896171770000080e+02,1.003863551000010013e+00,-8.886462468001350423e-01,1.003863551000010013e+00
1.980973442789999979e+02,9.981282439999999978e-01,-8.792306998001889751e-01,9.981282439999999978e-01
2.000936007669999981e+02,9.888419629999849469e-01,-8.794350608002330372e-01,9.888419629999849469e-01
2.020712846929999955e+02,1.002192887000010080e+00,-8.876721707998169730e-01,1.002192887000010080e+00
2.040756704670000090e+02,9.986409140000059859e-01,-8.723703807999639848e-01,9.986409140000059859e-01
2.060729522949999932e+02,1.000950263000009999e+00,-8.554496798002449998e-01,1.000950263000009999e+00
2.080748528210000075e+02,9.970152079999929917e-01,-8.492548067999340367e-01,9.970152079999929917e-01
2.100688832369999943e+02,1.001152086999969937e+00,-8.455585258000160032e-01,1.001152086999969937e+00
2.120711874110000110e+02,1.000910390000040007e+00,-8.464263167998640203e-01,1.000910390000040007e+00
2.140730081910000138e+02,1.007599313999989921e+00,-8.563681708000669968e-01,1.007599313999989921e+00
2.160882068189999927e+02,1.002322565000010046e+00,-8.725576137999839776e-01,1.002322565000010046e+00
2.180928519489999928e+02,9.969889289999970261e-01,-8.793368948000189755e-01,9.969889289999970261e-01
2.200868298069999867e+02,9.901585089999970224e-01,-8.747128057999590256e-01,9.901585089999970224e-01
2.220671468250000089e+02,1.006786082999989951e+00,-8.588810398001099911e-01,1.006786082999989951e+00
