time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.597999999999999865e+00,9.288999999999999702e+00,5.690999999999999837e+00,0.000000000000000000e+00,1.991079363322000120e+02,-1.997127717999900021e-01
9.999999999999786837e-03,3.560164673463514617e+00,9.271195140453418304e+00,5.711030466989903687e+00,5.173275739999922962e-01,1.990993992482000010e+02,-2.025675877999759955e-01
1.999999999999957367e-02,3.553604687082335456e+00,9.276794084075598690e+00,5.723189396993263678e+00,1.032203525999989324e+00,1.990987174702000004e+02,-2.104506958000129935e-01
2.999999999999936051e-02,3.563340341599256611e+00,9.292160315322389508e+00,5.728819973723133785e+00,1.534952477999993903e+00,1.990823685771999862e+02,-2.042811357999859967e-01
4.000000000000003553e-02,3.572497065592474375e+00,9.300612675931514417e+00,5.728115610339040487e+00,2.034933412000000885e+00,1.990618693271999859e+02,-1.940975227999950092e-01
4.999999999999982236e-02,3.543433462574744119e+00,9.271433462574744766e+00,5.727999999999999758e+00,2.526900651999994807e+00,1.990589275961999931e+02,-1.879776627999650007e-01
5.999999999999960920e-02,3.518611896488842650e+00,9.243506134936948726e+00,5.724894238448105632e+00,3.009855157999993480e+00,1.990734969691999936e+02,-1.829215947999699998e-01
6.999999999999939604e-02,3.510178988276458689e+00,9.227343060863212543e+00,5.717164072586753853e+00,3.496518835999992802e+00,1.990932755942000085e+02,-1.808830997999610057e-01
8.000000000000007105e-02,3.518403644959588128e+00,9.226299696253368765e+00,5.707896051293778861e+00,3.995191035999994256e+00,1.990957035282000049e+02,-1.807807317999599872e-01
8.999999999999985789e-02,3.538124747114283597e+00,9.241711292060070804e+00,5.703586544945787651e+00,4.492492799999993736e+00,1.990870460001999902e+02,-1.776395387999749886e-01
9.999999999999964473e-02,3.567890784595264098e+00,9.269203245510709621e+00,5.701312460915445968e+00,4.998896145999992768e+00,1.990768694472000107e+02,-1.844910267999810005e-01
1.099999999999994316e-01,3.604644240762832297e+00,9.296955855269894542e+00,5.692311614507061357e+00,5.518335573999991084e+00,1.990664319852000119e+02,-1.923387007999599885e-01
1.200000000000001066e-01,3.594661940468546479e+00,9.299772955237482819e+00,5.705111014768937672e+00,6.021856461999988142e+00,1.990541088672000001e+02,-1.931832177999940059e-01
1.299999999999998934e-01,3.576488368700645903e+00,9.286743250928928717e+00,5.710254882228284146e+00,6.528775495999994405e+00,1.990699897682000028e+02,-2.041265497999620038e-01
1.399999999999996803e-01,3.559155593152906860e+00,9.262999999999999901e+00,5.703844406847093040e+00,7.033671079999990638e+00,1.991037701822000088e+02,-2.191335088000040121e-01
1.499999999999994671e-01,3.549845906964506970e+00,9.262999999999999901e+00,5.713154093035493375e+00,7.529605779999997139e+00,1.991190593741999919e+02,-2.200771317999810073e-01
1.600000000000001421e-01,3.541001508889038973e+00,9.267998742592467920e+00,5.726997233703429835e+00,8.029786893999997233e+00,1.991125978032000035e+02,-2.089429938000139930e-01
1.699999999999999289e-01,3.537727112005967456e+00,9.273681778001492404e+00,5.735954665995524948e+00,8.537014290000001893e+00,1.991055262732000131e+02,-2.008051557999749881e-01
1.799999999999997158e-01,3.546492063272391526e+00,9.275873015818097755e+00,5.729380952545706229e+00,9.046352873999992994e+00,1.990965649492000011e+02,-1.946601938000039889e-01
1.899999999999995026e-01,3.530221284871944754e+00,9.258550136266823216e+00,5.728328851394877574e+00,9.543881519999999341e+00,1.990839315892000059e+02,-1.865048907999649896e-01
2.000000000000001776e-01,3.521999999999999797e+00,9.255203580782096040e+00,5.733203580782094910e+00,1.005732848399999568e+01,1.990731874132000030e+02,-1.843527508000120108e-01
