width_LLS_A,Weights
6.184999999999999609e+00,1.000808896850039931e+00
6.171000000000000263e+00,9.968119812875599894e-01
6.009000000000000341e+00,1.002591209862059962e+00
6.113000000000000433e+00,9.960370528886780539e-01
6.137999999999999901e+00,1.006457346978540057e+00
6.150000000000000355e+00,9.965069725862809591e-01
6.144000000000000128e+00,9.962239839059160440e-01
6.237000000000000099e+00,9.996278886245290041e-01
6.166000000000000369e+00,9.995380270486690089e-01
6.139000000000000234e+00,9.926358676180010443e-01
6.088000000000000078e+00,1.005840012598020028e+00
6.152000000000000135e+00,1.006732170324559972e+00
6.201999999999999957e+00,9.994884986119390025e-01
6.112000000000000099e+00,9.994932300469380193e-01
6.227999999999999758e+00,1.002629900146660091e+00
6.152000000000000135e+00,1.002826512361320033e+00
6.165000000000000036e+00,1.001251708813670094e+00
6.200999999999999623e+00,9.974147665473339641e-01
6.177999999999999936e+00,9.958069202112089791e-01
6.211999999999999744e+00,1.000409525414500012e+00
6.165000000000000036e+00,9.993147140117090155e-01
6.216000000000000192e+00,1.000418107395010026e+00
6.216999999999999638e+00,9.991336278872889887e-01
6.238999999999999879e+00,9.947286088867459686e-01
6.107999999999999652e+00,9.960296277274760524e-01
6.190999999999999837e+00,1.001986337174479935e+00
6.113000000000000433e+00,1.006652919363439924e+00
6.214000000000000412e+00,1.001827133882269960e+00
6.152999999999999581e+00,9.982686110151739456e-01
6.025000000000000355e+00,9.998086260069269926e-01
6.016000000000000014e+00,9.995816690376789770e-01
6.041000000000000369e+00,9.971204913458610042e-01
6.064000000000000057e+00,1.001429885849739909e+00
6.065000000000000391e+00,1.001573329939819956e+00
6.065999999999999837e+00,1.000743674164680019e+00
6.201999999999999957e+00,9.931401457818680445e-01
6.214999999999999858e+00,9.981432066030040406e-01
6.192999999999999616e+00,1.004556236473689967e+00
6.179999999999999716e+00,1.003807294557629959e+00
6.088000000000000078e+00,9.951969673454890142e-01
6.097999999999999865e+00,9.987878172303059632e-01
6.206000000000000405e+00,1.005341003672000078e+00
6.152999999999999581e+00,1.002552655560080108e+00
6.177999999999999936e+00,9.983619556489089497e-01
6.136999999999999567e+00,1.002476452108959970e+00
6.016000000000000014e+00,9.994656073170049559e-01
6.163000000000000256e+00,9.989953744613400133e-01
6.153999999999999915e+00,1.000047389208639892e+00
6.152000000000000135e+00,1.001978880679869954e+00
6.131000000000000227e+00,1.001206226454939952e+00
6.126999999999999780e+00,1.003256085986730106e+00
6.113999999999999879e+00,9.992833299772589939e-01
6.179999999999999716e+00,9.961739423569420104e-01
6.166000000000000369e+00,9.934959839966409634e-01
6.152000000000000135e+00,1.000708474350459953e+00
6.201999999999999957e+00,1.000413697007630054e+00
6.216000000000000192e+00,9.949654343602060136e-01
6.123999999999999666e+00,9.972072515436259943e-01
6.190999999999999837e+00,9.972714997611979992e-01
6.115999999999999659e+00,1.001477122332000036e+00
6.152000000000000135e+00,9.951455919710839870e-01
6.012999999999999901e+00,9.932673426191930277e-01
6.105000000000000426e+00,9.997747018373950301e-01
6.094999999999999751e+00,1.002460648541650068e+00
6.150999999999999801e+00,9.990637402164950220e-01
6.113999999999999879e+00,9.969669608696649643e-01
6.052999999999999936e+00,9.968208869336909750e-01
6.064000000000000057e+00,9.950816908666160199e-01
6.089000000000000412e+00,9.979818348142579509e-01
6.113999999999999879e+00,1.006434608026669952e+00
6.126999999999999780e+00,1.009236599918490018e+00
6.088000000000000078e+00,1.003399027489610074e+00
6.177999999999999936e+00,9.985301519621470057e-01
6.230999999999999872e+00,1.001148471931730066e+00
6.192999999999999616e+00,1.005699566758200048e+00
6.201999999999999957e+00,1.002529460357459934e+00
6.126000000000000334e+00,1.000759790512409930e+00
6.089999999999999858e+00,9.943935417399809573e-01
6.179000000000000270e+00,9.966274250639890475e-01
6.141000000000000014e+00,9.998821782216480436e-01
6.152000000000000135e+00,1.001435748452190078e+00
6.089000000000000412e+00,1.003081112475660008e+00
6.070999999999999730e+00,9.982391660150180535e-01
6.174000000000000377e+00,1.000076289270509955e+00
6.126999999999999780e+00,1.003071408000149933e+00
6.115999999999999659e+00,1.000195390559180053e+00
6.102999999999999758e+00,9.908411997902990542e-01
6.139999999999999680e+00,1.000547484014729926e+00
6.116999999999999993e+00,1.007817995190430027e+00
6.141000000000000014e+00,9.963291063927870450e-01
6.038999999999999702e+00,9.888998856686429528e-01
6.040000000000000036e+00,9.942478600737669758e-01
6.078999999999999737e+00,1.013570042073749899e+00
6.099999999999999645e+00,1.003166570598500007e+00
