x_LE,y_LE,x_RE,y_RE
1.539142952054036069e-02,4.089979999999999905e+02,1.527428008321471929e-02,4.153260000000000218e+02
1.588971321005425499e-02,4.089839999999999804e+02,1.576699879557648051e-02,4.153770000000000095e+02
1.638799689956815103e-02,4.089979999999999905e+02,1.620497098434249550e-02,4.153770000000000095e+02
1.688628058908204707e-02,4.090240000000000009e+02,1.669768969670426192e-02,4.153290000000000077e+02
1.732919942420551446e-02,4.090360000000000014e+02,1.719040840906602488e-02,4.153020000000000209e+02
1.782748311371941050e-02,4.090360000000000014e+02,1.762838059783203987e-02,4.152900000000000205e+02
1.827040194884287441e-02,4.090110000000000241e+02,1.812109931019380629e-02,4.153260000000000218e+02
1.876868563835677045e-02,4.089730000000000132e+02,1.861381802255557272e-02,4.153029999999999973e+02
1.926696932787066302e-02,4.089990000000000236e+02,1.905179021132158076e-02,4.153260000000000218e+02
1.970988816299412694e-02,4.090240000000000009e+02,1.954450892368334719e-02,4.153890000000000100e+02
2.026353670689845857e-02,4.090240000000000009e+02,2.003722763604511362e-02,4.154289999999999736e+02
2.070645554202192248e-02,4.089990000000000236e+02,2.047519982481112513e-02,4.154300000000000068e+02
2.120473923153581852e-02,4.090099999999999909e+02,2.096791853717289156e-02,4.154039999999999964e+02
2.164765806665928244e-02,4.090369999999999777e+02,2.140589072593890654e-02,4.154049999999999727e+02
2.214594175617318195e-02,4.089979999999999905e+02,2.189860943830067297e-02,4.154049999999999727e+02
2.264422544568707452e-02,4.089839999999999804e+02,2.239132815066243246e-02,4.154429999999999836e+02
2.308714428081053843e-02,4.089979999999999905e+02,2.282930033942844744e-02,4.154689999999999941e+02
2.358542797032443447e-02,4.090230000000000246e+02,2.332201905179021387e-02,4.154180000000000064e+02
2.408371165983833051e-02,4.090740000000000123e+02,2.381473776415198029e-02,4.154309999999999832e+02
2.452663049496179790e-02,4.090860000000000127e+02,2.430745647651374325e-02,4.154549999999999841e+02
2.502491418447569393e-02,4.090989999999999895e+02,2.474542866527975823e-02,4.154189999999999827e+02
2.552319787398958997e-02,4.091120000000000232e+02,2.523814737764152466e-02,4.154039999999999964e+02
2.602148156350348254e-02,4.090989999999999895e+02,2.573086609000328762e-02,4.153809999999999718e+02
2.651976525301738205e-02,4.091129999999999995e+02,2.616883827876929913e-02,4.154159999999999968e+02
2.696268408814084597e-02,4.090989999999999895e+02,2.666155699113106556e-02,4.154279999999999973e+02
2.746096777765474201e-02,4.090989999999999895e+02,2.715427570349283198e-02,4.154440000000000168e+02
2.795925146716863804e-02,4.091250000000000000e+02,2.764699441585459494e-02,4.154710000000000036e+02
2.840217030229210196e-02,4.091250000000000000e+02,2.808496660462060993e-02,4.154710000000000036e+02
2.890045399180600147e-02,4.091240000000000236e+02,2.857768531698237635e-02,4.155070000000000050e+02
2.934337282692946539e-02,4.091250000000000000e+02,2.907040402934414278e-02,4.155210000000000150e+02
2.989702137083379355e-02,4.090980000000000132e+02,2.956312274170590573e-02,4.154950000000000045e+02
3.033994020595725746e-02,4.090480000000000018e+02,3.000109493047192072e-02,4.154599999999999795e+02
3.083822389547115350e-02,4.090740000000000123e+02,3.049381364283368714e-02,4.154700000000000273e+02
3.133650758498504607e-02,4.091240000000000236e+02,3.098653235519544663e-02,4.154819999999999709e+02
3.177942642010850999e-02,4.091619999999999777e+02,3.142450454396145815e-02,4.154549999999999841e+02
3.222234525523197390e-02,4.091630000000000109e+02,3.191722325632322804e-02,4.154420000000000073e+02
3.277599379913630206e-02,4.091759999999999877e+02,3.240994196868499100e-02,4.154549999999999841e+02
3.321891263425976598e-02,4.091879999999999882e+02,3.284791415745100251e-02,4.154409999999999741e+02
3.371719632377366549e-02,4.091750000000000114e+02,3.334063286981277241e-02,4.154309999999999832e+02
3.421548001328755806e-02,4.091510000000000105e+02,3.383335158217453537e-02,4.154309999999999832e+02
3.465839884841102891e-02,4.091759999999999877e+02,3.432607029453629832e-02,4.154300000000000068e+02
3.515668253792492148e-02,4.091619999999999777e+02,3.476404248330231678e-02,4.154440000000000168e+02
3.565496622743882099e-02,4.091619999999999777e+02,3.520201467206832829e-02,4.154700000000000273e+02
3.609788506256228491e-02,4.092019999999999982e+02,3.569473338443009125e-02,4.154950000000000045e+02
3.659616875207617748e-02,4.091750000000000114e+02,3.618745209679186114e-02,4.154940000000000282e+02
3.709445244159007699e-02,4.091619999999999777e+02,3.662542428555787266e-02,4.155190000000000055e+02
3.759273613110397649e-02,4.091499999999999773e+02,3.717288952151538706e-02,4.155450000000000159e+02
3.803565496622744041e-02,4.091370000000000005e+02,3.761086171028140551e-02,4.155169999999999959e+02
3.847857380135089739e-02,4.091379999999999768e+02,3.810358042264316153e-02,4.154800000000000182e+02
3.903222234525522555e-02,4.091510000000000105e+02,3.859629913500493142e-02,4.154540000000000077e+02
3.947514118037868946e-02,4.091890000000000214e+02,3.908901784736669438e-02,4.154660000000000082e+02
3.997342486989258897e-02,4.092269999999999754e+02,3.952699003613270590e-02,4.154789999999999850e+02
4.047170855940648154e-02,4.092019999999999982e+02,4.001970874849447579e-02,4.154920000000000186e+02
4.091462739452994546e-02,4.092400000000000091e+02,4.045768093726048731e-02,4.154909999999999854e+02
4.141291108404384497e-02,4.092400000000000091e+02,4.095039964962225026e-02,4.155049999999999955e+02
4.185582991916730888e-02,4.091890000000000214e+02,4.144311836198402016e-02,4.154809999999999945e+02
4.235411360868120839e-02,4.091899999999999977e+02,4.188109055075003168e-02,4.154929999999999950e+02
4.285239729819510096e-02,4.091639999999999873e+02,4.237380926311179463e-02,4.155059999999999718e+02
4.329531613331856488e-02,4.091639999999999873e+02,4.286652797547356453e-02,4.155049999999999955e+02
4.379359982283246439e-02,4.091510000000000105e+02,4.335924668783532748e-02,4.155430000000000064e+02
4.434724836673679255e-02,4.091770000000000209e+02,4.379721887660134594e-02,4.155590000000000259e+02
4.479016720186025646e-02,4.092139999999999986e+02,4.428993758896310889e-02,4.155840000000000032e+02
4.528845089137414903e-02,4.091519999999999868e+02,4.478265630132486491e-02,4.155939999999999941e+02
4.573136972649761295e-02,4.091639999999999873e+02,4.527537501368663481e-02,4.155810000000000173e+02
4.622965341601151246e-02,4.092160000000000082e+02,4.598707982043140352e-02,4.155550000000000068e+02
4.667257225113497637e-02,4.091779999999999973e+02,4.642505200919742198e-02,4.155049999999999955e+02
4.717085594064886894e-02,4.092029999999999745e+02,4.691777072155918493e-02,4.155419999999999732e+02
4.766913963016276845e-02,4.092160000000000082e+02,4.741048943392094789e-02,4.155310000000000059e+02
4.816742331967666102e-02,4.092280000000000086e+02,4.784846162268696634e-02,4.155430000000000064e+02
4.866570700919056053e-02,4.092649999999999864e+02,4.834118033504872930e-02,4.155439999999999827e+02
4.910862584431402444e-02,4.093039999999999736e+02,4.883389904741049226e-02,4.155690000000000168e+02
4.955154467943748836e-02,4.093299999999999841e+02,4.927187123617651071e-02,4.155679999999999836e+02
5.010519322334181652e-02,4.092540000000000191e+02,4.976458994853827367e-02,4.155199999999999818e+02
5.054811205846528044e-02,4.092019999999999982e+02,5.020256213730428518e-02,4.155570000000000164e+02
5.104639574797917995e-02,4.092280000000000086e+02,5.069528084966605508e-02,4.155830000000000268e+02
5.148931458310264386e-02,4.092149999999999750e+02,5.118799956202781803e-02,4.155950000000000273e+02
5.198759827261653643e-02,4.092019999999999982e+02,5.168071827438958099e-02,4.156440000000000055e+02
5.248588196213042900e-02,4.092149999999999750e+02,5.217343698675134395e-02,4.156329999999999814e+02
5.298416565164432851e-02,4.092149999999999750e+02,5.266615569911310690e-02,4.156329999999999814e+02
5.348244934115822802e-02,4.092400000000000091e+02,5.310412788787912536e-02,4.156190000000000282e+02
5.392536817628169193e-02,4.092540000000000191e+02,5.354210007664513687e-02,4.155830000000000268e+02
5.436828701140515585e-02,4.092540000000000191e+02,5.403481878900689983e-02,4.155439999999999827e+02
5.486657070091904842e-02,4.092289999999999850e+02,5.447279097777291829e-02,4.155079999999999814e+02
5.536485439043294793e-02,4.091770000000000209e+02,5.496550969013468124e-02,4.155339999999999918e+02
5.586313807994684050e-02,4.092400000000000091e+02,5.545822840249644420e-02,4.155720000000000027e+02
5.636142176946074001e-02,4.092649999999999864e+02,5.595094711485821409e-02,4.155350000000000250e+02
5.680434060458420392e-02,4.092400000000000091e+02,5.638891930362422561e-02,4.155609999999999786e+02
5.724725943970766784e-02,4.092400000000000091e+02,5.688163801598598857e-02,4.155860000000000127e+02
5.780090798361200294e-02,4.092669999999999959e+02,5.737435672834775846e-02,4.155849999999999795e+02
5.829919167312588857e-02,4.092780000000000200e+02,5.781232891711376998e-02,4.155729999999999791e+02
5.874211050824935249e-02,4.092660000000000196e+02,5.830504762947553293e-02,4.155749999999999886e+02
5.918502934337281640e-02,4.092289999999999850e+02,5.879776634183730283e-02,4.156000000000000227e+02
5.968331303288672285e-02,4.092029999999999745e+02,5.929048505419906578e-02,4.156240000000000236e+02
6.018159672240061542e-02,4.091899999999999977e+02,5.972845724296507730e-02,4.156499999999999773e+02
6.067988041191451493e-02,4.092420000000000186e+02,6.022117595532684720e-02,4.157010000000000218e+02
6.112279924703797884e-02,4.092930000000000064e+02,6.071389466768861015e-02,4.156750000000000114e+02
6.184254235411359990e-02,4.092799999999999727e+02,6.120661338005038005e-02,4.156240000000000236e+02
6.234082604362749247e-02,4.093050000000000068e+02,6.164458556881637769e-02,4.156399999999999864e+02
6.283910973314139892e-02,4.093159999999999741e+02,6.213730428117815452e-02,4.156139999999999759e+02
