TapeWidth1,Weights
6.091999999999999638e+00,9.988815901552100529e-01
6.201999999999999957e+00,9.988482686496630292e-01
6.201999999999999957e+00,1.002099705390159912e+00
6.141000000000000014e+00,9.943539806670229630e-01
6.163000000000000256e+00,9.861568438086989463e-01
6.099999999999999645e+00,9.935090738881839911e-01
6.051999999999999602e+00,9.995398186445270117e-01
6.051000000000000156e+00,1.002410370909089909e+00
6.113000000000000433e+00,9.946895138368360145e-01
6.113000000000000433e+00,9.925454370760089517e-01
6.166000000000000369e+00,1.001319688793169904e+00
6.115999999999999659e+00,1.005642080331720090e+00
6.078000000000000291e+00,9.973000549613230126e-01
6.076999999999999957e+00,9.951123971988400374e-01
6.036999999999999922e+00,9.940697799377480326e-01
6.251999999999999780e+00,9.952807378819870099e-01
6.205000000000000071e+00,9.973313602767359676e-01
6.243999999999999773e+00,9.989582884960770404e-01
6.291000000000000369e+00,1.004263031569089915e+00
6.136999999999999567e+00,9.973159406521869830e-01
6.227000000000000313e+00,9.999991124039739887e-01
6.128999999999999559e+00,1.004632620670929954e+00
6.168000000000000149e+00,9.978526992939279472e-01
6.104000000000000092e+00,9.967284686865109933e-01
6.193999999999999950e+00,1.002294268618360018e+00
6.155999999999999694e+00,9.978398855786499988e-01
6.214999999999999858e+00,9.977626023046349824e-01
6.192000000000000171e+00,9.980444964365580152e-01
6.179000000000000270e+00,1.007601008252009933e+00
6.168000000000000149e+00,1.011425097527570038e+00
6.203999999999999737e+00,1.003013282708449916e+00
6.176000000000000156e+00,9.913361383785940228e-01
6.264999999999999680e+00,9.990076146664560452e-01
6.189000000000000057e+00,1.000412313690369981e+00
6.176000000000000156e+00,9.987909807435310094e-01
6.025999999999999801e+00,1.002453552666870085e+00
6.126999999999999780e+00,1.000111662759360032e+00
6.068999999999999950e+00,9.944688941146410111e-01
6.229000000000000092e+00,1.000832347156249913e+00
6.205000000000000071e+00,1.002100542698560082e+00
6.179999999999999716e+00,1.004534621858260035e+00
6.203000000000000291e+00,1.000564063211119903e+00
6.182000000000000384e+00,9.951161547404380192e-01
6.168999999999999595e+00,9.962711701660900143e-01
6.104000000000000092e+00,1.006265521759110104e+00
6.166000000000000369e+00,9.914354190017999890e-01
6.227999999999999758e+00,9.986355942400290120e-01
6.208999999999999631e+00,1.001860532831980066e+00
6.166999999999999815e+00,9.957014690619530040e-01
6.166000000000000369e+00,1.000913371519869921e+00
6.192000000000000171e+00,1.005068056442899982e+00
6.187999999999999723e+00,9.991614115524769524e-01
6.217999999999999972e+00,9.964134210933830449e-01
6.116999999999999993e+00,9.984359878313490144e-01
6.166000000000000369e+00,1.000710605608349901e+00
6.166999999999999815e+00,9.981917822784029948e-01
6.139000000000000234e+00,1.000225094839509943e+00
6.288000000000000256e+00,9.986041956623999960e-01
6.168000000000000149e+00,1.002446052929810039e+00
6.181000000000000050e+00,1.005264555179760100e+00
6.193999999999999950e+00,9.997422691881020507e-01
6.139999999999999680e+00,1.002395309613359986e+00
6.137999999999999901e+00,1.002586601806920052e+00
6.230000000000000426e+00,9.914067488610910361e-01
6.203999999999999737e+00,1.000502600315730017e+00
6.115999999999999659e+00,1.004476404305050030e+00
6.128000000000000114e+00,1.007632825371679974e+00
6.112000000000000099e+00,9.975719262687410271e-01
6.113000000000000433e+00,9.963715102916209654e-01
6.217999999999999972e+00,1.004741062597970025e+00
6.165000000000000036e+00,1.004888084454909958e+00
6.099000000000000199e+00,1.005756421268539924e+00
6.102000000000000313e+00,9.965558228087220138e-01
6.081999999999999851e+00,9.954020976892660189e-01
6.217999999999999972e+00,1.008547685984110043e+00
6.131000000000000227e+00,1.012111693843990023e+00
6.168999999999999595e+00,9.936595043473579469e-01
6.166999999999999815e+00,9.969867694061109731e-01
6.105000000000000426e+00,9.995744753335989996e-01
6.128999999999999559e+00,9.959683715143420324e-01
6.116999999999999993e+00,1.003420791719249916e+00
6.123999999999999666e+00,9.978137475618289454e-01
6.176999999999999602e+00,9.937599662069620532e-01
6.168000000000000149e+00,9.973960161019580495e-01
6.155000000000000249e+00,1.003283351284540048e+00
6.168000000000000149e+00,1.002261365086499989e+00
6.214999999999999858e+00,9.977636428853560169e-01
6.253000000000000114e+00,1.001385567358670015e+00
6.203000000000000291e+00,1.000383556199579971e+00
6.155000000000000249e+00,9.930549064768120493e-01
6.152999999999999581e+00,9.944903704925419641e-01
6.139000000000000234e+00,9.935223381680660104e-01
6.187999999999999723e+00,9.994437866266090431e-01
6.206999999999999851e+00,9.991039073740649590e-01
6.144000000000000128e+00,1.002338232594619960e+00
6.116999999999999993e+00,9.975930243411009757e-01
6.142999999999999794e+00,1.005824786535499893e+00
6.040000000000000036e+00,1.000597021676290055e+00
6.205000000000000071e+00,9.977186431128219901e-01
6.181000000000000050e+00,9.946459192206940081e-01
6.165000000000000036e+00,9.994333952911910179e-01
6.166999999999999815e+00,9.771776005723260550e-01
6.203999999999999737e+00,9.399619027519819925e-01
6.160999999999999588e+00,9.161081236364130298e-01
6.190000000000000391e+00,8.689738430178850503e-01
6.230000000000000426e+00,8.051371261187509898e-01
6.192000000000000171e+00,7.350202795531519673e-01
6.133000000000000007e+00,6.827293868279229461e-01
6.129999999999999893e+00,6.228319113662820206e-01
6.166000000000000369e+00,5.596422673715090168e-01
6.067999999999999616e+00,4.753309850424879968e-01
6.067000000000000171e+00,3.790634282450430215e-01
6.118000000000000327e+00,2.484269499594340125e-01
6.078000000000000291e+00,1.455594274518640097e-01
6.017000000000000348e+00,1.150958819184269982e-01
6.057999999999999829e+00,1.108517218430840057e-01
6.076999999999999957e+00,4.316003806179839752e-02
6.099999999999999645e+00,0.000000000000000000e+00
6.001000000000000334e+00,0.000000000000000000e+00
6.001000000000000334e+00,0.000000000000000000e+00
5.980000000000000426e+00,0.000000000000000000e+00
5.963000000000000078e+00,0.000000000000000000e+00
5.990999999999999659e+00,0.000000000000000000e+00
6.067999999999999616e+00,0.000000000000000000e+00
6.065999999999999837e+00,0.000000000000000000e+00
5.991999999999999993e+00,0.000000000000000000e+00
6.051999999999999602e+00,0.000000000000000000e+00
6.067999999999999616e+00,0.000000000000000000e+00
6.078999999999999737e+00,0.000000000000000000e+00
6.054999999999999716e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.004999999999999893e+00,0.000000000000000000e+00
6.030000000000000249e+00,0.000000000000000000e+00
5.993000000000000327e+00,0.000000000000000000e+00
5.980000000000000426e+00,0.000000000000000000e+00
5.979000000000000092e+00,0.000000000000000000e+00
5.980000000000000426e+00,0.000000000000000000e+00
5.963000000000000078e+00,0.000000000000000000e+00
5.964000000000000412e+00,0.000000000000000000e+00
5.966000000000000192e+00,0.000000000000000000e+00
5.964000000000000412e+00,0.000000000000000000e+00
6.038999999999999702e+00,0.000000000000000000e+00
5.980999999999999872e+00,0.000000000000000000e+00
6.041000000000000369e+00,0.000000000000000000e+00
5.967999999999999972e+00,0.000000000000000000e+00
6.004999999999999893e+00,0.000000000000000000e+00
6.054999999999999716e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.041000000000000369e+00,0.000000000000000000e+00
6.054999999999999716e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
5.966999999999999638e+00,0.000000000000000000e+00
6.068999999999999950e+00,0.000000000000000000e+00
6.057000000000000384e+00,0.000000000000000000e+00
6.056000000000000050e+00,0.000000000000000000e+00
6.051999999999999602e+00,0.000000000000000000e+00
6.030999999999999694e+00,0.000000000000000000e+00
5.956000000000000405e+00,0.000000000000000000e+00
5.953999999999999737e+00,0.000000000000000000e+00
6.041000000000000369e+00,0.000000000000000000e+00
6.041000000000000369e+00,0.000000000000000000e+00
6.054999999999999716e+00,0.000000000000000000e+00
6.051999999999999602e+00,0.000000000000000000e+00
5.966999999999999638e+00,6.243526751902649802e-02
5.980000000000000426e+00,7.584395755347160539e-02
6.054999999999999716e+00,9.627048392116950570e-02
6.054999999999999716e+00,1.239132988673860014e-01
6.054999999999999716e+00,1.601358060920899939e-01
6.017999999999999794e+00,1.817042778495319977e-01
6.056000000000000050e+00,2.144770679288670046e-01
6.017000000000000348e+00,2.580576595670380224e-01
6.054999999999999716e+00,3.028903297225919999e-01
6.054999999999999716e+00,3.424953532362740027e-01
6.003999999999999559e+00,3.978204653750380126e-01
6.043000000000000149e+00,4.572158602182139764e-01
5.990999999999999659e+00,5.308971762007199668e-01
6.017000000000000348e+00,5.717841232437339549e-01
5.996999999999999886e+00,5.916609711399279936e-01
6.065999999999999837e+00,6.400479557130399622e-01
6.054999999999999716e+00,7.004389160178190465e-01
6.043999999999999595e+00,7.417076057588359861e-01
