Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
nan,2.016000000000000014e+00,1.005300000000000082e+01,8.037000000000000810e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,1.991000000000000103e+00,1.002800000000000047e+01,8.037000000000000810e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.028000000000000025e+00,1.005199999999999960e+01,8.023999999999999133e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.040000000000000036e+00,1.005100000000000016e+01,8.010999999999999233e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.040999999999999925e+00,1.001399999999999935e+01,7.972999999999999865e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.067000000000000171e+00,1.000200000000000067e+01,7.934999999999999609e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.141999999999999904e+00,1.003999999999999915e+01,7.897999999999999687e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.180000000000000160e+00,1.003999999999999915e+01,7.860000000000000320e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.205999999999999961e+00,1.004100000000000037e+01,7.834999999999999964e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.257000000000000117e+00,1.005499999999999972e+01,7.798000000000000043e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.244000000000000217e+00,1.000300000000000011e+01,7.759000000000000341e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.257000000000000117e+00,9.978999999999999204e+00,7.722000000000000419e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.319999999999999840e+00,1.002800000000000047e+01,7.708000000000000185e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.370000000000000107e+00,1.003899999999999970e+01,7.668999999999999595e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.422000000000000153e+00,1.003999999999999915e+01,7.618000000000000327e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.484999999999999876e+00,1.006400000000000006e+01,7.578999999999999737e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.524000000000000021e+00,1.005499999999999972e+01,7.530999999999999694e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.498000000000000220e+00,1.002800000000000047e+01,7.530000000000000249e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.509999999999999787e+00,9.990999999999999659e+00,7.480999999999999872e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.548999999999999932e+00,1.000300000000000011e+01,7.453999999999999737e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,2.536000000000000032e+00,9.938000000000000611e+00,7.402000000000000135e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
