,Gaps % area,Overlaps % area,Gaps std % area,Overlaps std % area
"Experimental layup, tows 2-30",2.7289524183874785,1.2778183868609432,,
"MCMC simulation, trained on tows 2-31, mean of 120 runs",2.6080698722379814,1.4044555606602942,0.1336936033672197,0.1243932540322515
