TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
0.000000000000000000e+00,nan,-6.811185597752439591e+00,nan,nan,nan,nan,2.919524944696930135e-01,3.616246199999999966e+00,-2.612618400000000118e+00,6.228864599999999641e+00,5.018139000000000349e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.999999999999999320e-03,9.410000000000000000e+02,-6.345805538999919726e+00,1.616902259921999985e+02,-4.096397979996890121e-02,-8.097740078000299491e-01,5.555471819999050354e+01,2.777735909999520247e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600000000000000033e-02,nan,-5.908421427002590320e+00,nan,nan,nan,nan,2.644476502197820045e-01,3.711829799999999846e+00,-2.532965400000000145e+00,6.244795200000000435e+00,5.894321999999999617e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.899999999999999953e-02,9.420000000000000000e+02,-5.790258357000020339e+00,1.616438343762000045e+02,-3.567668779997350270e-02,-8.561656238000240338e-01,5.216950660000149753e+01,2.608475330000070147e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.900000000000000147e-02,9.430000000000000000e+02,-5.268563291000000426e+00,1.615236765422000076e+02,4.986384620000650081e-02,-9.763234578001059871e-01,5.358028940000679796e+01,2.679014470000339876e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.300000000000000155e-02,nan,-5.047703587011530324e+00,nan,nan,nan,nan,2.738481353706200272e-01,3.552523799999999898e+00,-2.676340800000000186e+00,6.228864599999999641e+00,4.380915000000000226e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.899999999999999994e-02,9.440000000000000000e+02,-4.732760396999940333e+00,1.615423992942000098e+02,9.291726420001329700e-02,-9.576007058002740102e-01,5.646560780000120161e+01,2.823280390000060258e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.900000000000000189e-02,9.450000000000000000e+02,-4.168104318999920288e+00,1.616698012672000004e+02,9.559341219999839545e-02,-8.301987328000279831e-01,6.247140679999959900e+01,3.123570339999979795e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.900000000000000189e-02,nan,-4.144862914014109556e+00,nan,nan,nan,nan,3.135942994799810202e-01,3.441009600000000113e+00,-2.771924400000000066e+00,6.212933999999999735e+00,3.345426000000000233e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.899999999999999689e-02,9.460000000000000000e+02,-3.543390250999930213e+00,1.616926162022000142e+02,1.436522041999999943e-01,-8.073837977999569482e-01,6.912278739999000265e+01,3.456139369999500222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
