Tow Spacing (mm),Average Gap (%),Average Overlap (%),Intersection Spacing (mm),Intersection Gap/Overlap (%)
6.27,2.005938390407054,2.0705360697031754,6.2709920961634085,2.058339834298132
6.271111111111111,2.064626074820217,2.0568767358884914,6.2709920961634085,2.058339834298132
6.272222222222222,2.145516559544486,2.1254011788891938,6.2709920961634085,2.058339834298132
6.273333333333333,2.1227329094645864,2.097459496544199,6.2709920961634085,2.058339834298132
6.274444444444445,2.014216008589157,2.0178335755802492,6.2709920961634085,2.058339834298132
6.275555555555555,2.0195212317960896,1.9957446886089407,6.2709920961634085,2.058339834298132
6.276666666666666,2.099809077731306,2.0214389633720256,6.2709920961634085,2.058339834298132
6.277777777777778,2.143504327379219,2.02192056278719,6.2709920961634085,2.058339834298132
6.278888888888889,2.1582604618277514,2.0219521803596296,6.2709920961634085,2.058339834298132
6.28,2.0262410187707345,1.9550410861502172,6.2709920961634085,2.058339834298132
