Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
0.000000000000000000e+00,3.790000000000000036e+00,9.830999999999999517e+00,6.041000000000000369e+00,0.000000000000000000e+00,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
8.999999999999999320e-03,3.789000000000000146e+00,9.832000000000000739e+00,6.043000000000000149e+00,4.942339373970345163e-04,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.799999999999999864e-02,3.775999999999999801e+00,9.807000000000000384e+00,6.030999999999999694e+00,9.884678747940690326e-04,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
2.699999999999999969e-02,3.790000000000000036e+00,9.804000000000000270e+00,6.014000000000000234e+00,1.482701812191103549e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
3.500000000000000333e-02,3.762999999999999901e+00,9.778999999999999915e+00,6.016000000000000014e+00,1.922020867655134567e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
4.399999999999999745e-02,3.750000000000000000e+00,9.766999999999999460e+00,6.017000000000000348e+00,2.416254805052168650e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
5.199999999999999761e-02,3.762999999999999901e+00,9.768000000000000682e+00,6.004999999999999893e+00,2.855573860516199668e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
6.099999999999999867e-02,3.762999999999999901e+00,9.778999999999999915e+00,6.016000000000000014e+00,3.349807797913233968e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
7.000000000000000666e-02,3.802000000000000046e+00,9.804999999999999716e+00,6.003000000000000114e+00,3.844041735310269135e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
7.900000000000000078e-02,3.801000000000000156e+00,9.816000000000000725e+00,6.014999999999999680e+00,4.338275672707303000e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
8.699999999999999400e-02,3.775999999999999801e+00,9.789999999999999147e+00,6.014000000000000234e+00,4.777594728171333585e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
9.600000000000000200e-02,3.775999999999999801e+00,9.789999999999999147e+00,6.014000000000000234e+00,5.271828665568368752e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.049999999999999961e-01,3.775999999999999801e+00,9.778999999999999915e+00,6.003000000000000114e+00,5.766062602965403051e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.130000000000000032e-01,3.750999999999999890e+00,9.753000000000000114e+00,6.001999999999999780e+00,6.205381658429433636e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.219999999999999973e-01,3.738999999999999879e+00,9.742000000000000881e+00,6.003000000000000114e+00,6.699615595826467936e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.300000000000000044e-01,3.725000000000000089e+00,9.730000000000000426e+00,6.004999999999999893e+00,7.138934651290499388e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.400000000000000133e-01,3.777000000000000135e+00,9.782000000000000028e+00,6.004999999999999893e+00,7.688083470620538269e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.479999999999999927e-01,3.814999999999999947e+00,9.794000000000000483e+00,5.979000000000000092e+00,8.127402526084567119e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.570000000000000007e-01,3.827999999999999847e+00,9.807999999999999829e+00,5.980000000000000426e+00,8.621636463481602286e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.660000000000000087e-01,3.827999999999999847e+00,9.807000000000000384e+00,5.979000000000000092e+00,9.115870400878637453e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
1.739999999999999880e-01,3.827999999999999847e+00,9.782000000000000028e+00,5.953999999999999737e+00,9.555189456342667170e-03,3.270000000000000018e+00,4.992465373951999936e+02,-2.974219607999760151e-01
