x,y,z
-7.863301637099999652e+01,3.370146973601999889e+02,2.361355446520000001e+01
-7.863501334100000406e+01,3.370145868902000075e+02,2.361455441720000081e+01
-7.863395796899999368e+01,3.370136455211999760e+02,2.361455797320000016e+01
-7.863495634299999892e+01,3.370135885221999956e+02,2.361455795219999843e+01
-7.863395774699999663e+01,3.370136419931999967e+02,2.361355797919999944e+01
-7.863301659299999358e+01,3.370147008882000250e+02,2.361455445920000074e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863301637099999652e+01,3.370146973601999889e+02,2.361355446520000001e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863395774699999663e+01,3.370136419931999967e+02,2.361355797919999944e+01
-7.863301659299999358e+01,3.370147008882000250e+02,2.361455445920000074e+01
-7.863401452299990524e+01,3.370146368331999724e+02,2.361255445020000110e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863395796899999368e+01,3.370136455211999760e+02,2.361455797320000016e+01
-7.863401452299990524e+01,3.370146368331999724e+02,2.361255445020000110e+01
-7.863395774699999663e+01,3.370136419931999967e+02,2.361355797919999944e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863295937300000560e+01,3.370136989921999771e+02,2.361355800020000117e+01
-7.863395796899999368e+01,3.370136455211999760e+02,2.361455797320000016e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863401452299990524e+01,3.370146368331999724e+02,2.361255445020000110e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863295915099999434e+01,3.370136954641999978e+02,2.361255800620000045e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863495589900000482e+01,3.370135814661999802e+02,2.361255796420000053e+01
-7.863395796899999368e+01,3.370136455211999760e+02,2.361455797320000016e+01
-7.863395774699999663e+01,3.370136419931999967e+02,2.361355797919999944e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863295870700000023e+01,3.370136884081999824e+02,2.361055801819999900e+01
-7.863395730299990305e+01,3.370136349371999813e+02,2.361155799120000154e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863401452299990524e+01,3.370146368331999724e+02,2.361255445020000110e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863301592700000242e+01,3.370146903041999735e+02,2.361155447719999856e+01
-7.863395774699999663e+01,3.370136419931999967e+02,2.361355797919999944e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863401474499990229e+01,3.370146403612000086e+02,2.361355444419999827e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863395708099990600e+01,3.370136314092000021e+02,2.361055799720000081e+01
-7.863295915099999434e+01,3.370136954641999978e+02,2.361255800620000045e+01
-7.863301637099999652e+01,3.370146973601999889e+02,2.361355446520000001e+01
-7.863301614899999947e+01,3.370146938322000096e+02,2.361255447119999928e+01
-7.863301637099999652e+01,3.370146973601999889e+02,2.361355446520000001e+01
-7.863301637099999652e+01,3.370146973601999889e+02,2.361355446520000001e+01
-7.863295915099999434e+01,3.370136954641999978e+02,2.361255800620000045e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
-7.863395752499990010e+01,3.370136384652000174e+02,2.361255798519999871e+01
