center_CAM,Weights,error_CAM
-7.168769999999999865e-01,2.638906638939970128e-01,-7.168769999999999865e-01
-5.496056999999999748e-01,2.657640257280279861e-01,-5.496056999999999748e-01
-3.026813999999999893e-01,2.676375028529580091e-01,-3.026813999999999893e-01
-7.168769999999999309e-02,2.695108646869889824e-01,-7.168769999999999309e-02
1.593060000000000032e-01,2.713843418119190054e-01,1.593060000000000032e-01
5.814669000000000088e-01,2.732577036459499786e-01,5.814669000000000088e-01
-3.186119999999999924e-02,2.751311807708810009e-01,-3.186119999999999924e-02
-3.982650000000000079e-02,2.774188409928000087e-01,-3.982650000000000079e-02
-1.513406999999999947e-01,3.013286096069009989e-01,-1.513406999999999947e-01
-1.513406999999999947e-01,3.295551008824619821e-01,-1.513406999999999947e-01
-2.389590000000000117e-02,3.335269912608410103e-01,-2.389590000000000117e-02
-7.965300000000000158e-02,3.489709793104319724e-01,-7.965300000000000158e-02
-7.965299999999999811e-03,3.975489796867999748e-01,-7.965299999999999811e-03
-1.593059999999999962e-02,3.943238389609359795e-01,-1.593059999999999962e-02
0.000000000000000000e+00,4.211560336323399989e-01,0.000000000000000000e+00
5.575709999999999694e-02,4.404591718064870265e-01,5.575709999999999694e-02
9.558360000000000467e-02,4.519370423282890181e-01,9.558360000000000467e-02
8.761829999999999619e-02,4.986317785868000230e-01,8.761829999999999619e-02
9.558360000000000467e-02,5.257422808188429997e-01,9.558360000000000467e-02
1.115141999999999939e-01,5.351465925188459982e-01,1.115141999999999939e-01
8.761829999999999619e-02,5.652705189393799623e-01,8.761829999999999619e-02
1.354101000000000055e-01,6.071060178695589782e-01,1.354101000000000055e-01
2.389590000000000047e-01,6.229652550549650281e-01,2.389590000000000047e-01
2.548895999999999940e-01,6.328393246790310345e-01,2.548895999999999940e-01
2.309936999999999963e-01,6.548976588091289797e-01,2.309936999999999963e-01
2.628549000000000024e-01,7.001161976167710188e-01,2.628549000000000024e-01
3.265773000000000148e-01,7.241006294788390196e-01,3.265773000000000148e-01
3.186120000000000063e-01,7.464142722381960082e-01,3.186120000000000063e-01
3.106466999999999978e-01,7.744625493463309640e-01,3.106466999999999978e-01
3.823344000000000187e-01,7.982222305695529929e-01,3.823344000000000187e-01
4.221609000000000056e-01,8.208871651028319949e-01,4.221609000000000056e-01
5.416404000000000218e-01,8.550967043354229524e-01,5.416404000000000218e-01
5.018139000000000349e-01,8.772537784979690390e-01,5.018139000000000349e-01
5.416404000000000218e-01,8.968572848472849968e-01,5.416404000000000218e-01
4.858833000000000180e-01,9.283274497325859631e-01,4.858833000000000180e-01
4.938486000000000264e-01,9.467191639286129945e-01,4.938486000000000264e-01
5.018139000000000349e-01,9.588787974583350415e-01,5.018139000000000349e-01
5.257098000000000049e-01,9.627658013714659457e-01,5.257098000000000049e-01
5.416404000000000218e-01,9.851911625876710321e-01,5.416404000000000218e-01
5.257098000000000049e-01,9.859842342821160122e-01,5.257098000000000049e-01
5.416404000000000218e-01,9.853721031855210422e-01,5.416404000000000218e-01
5.655362999999999918e-01,1.005130720873500083e+00,5.655362999999999918e-01
5.735015999999999448e-01,1.007960462783479949e+00,5.735015999999999448e-01
6.053627999999999787e-01,9.986670775973619518e-01,6.053627999999999787e-01
5.655362999999999918e-01,9.928571750696499887e-01,5.655362999999999918e-01
5.496056999999999748e-01,9.999175022691839665e-01,5.496056999999999748e-01
5.735015999999999448e-01,1.001287850774220001e+00,5.735015999999999448e-01
5.973975000000000257e-01,9.934848608384350133e-01,5.973975000000000257e-01
6.212933999999999957e-01,1.006577294611719964e+00,6.212933999999999957e-01
6.053627999999999787e-01,1.003468165416379954e+00,6.053627999999999787e-01
6.212933999999999957e-01,1.005893199741719979e+00,6.212933999999999957e-01
6.372240000000000126e-01,9.990264919702990243e-01,6.372240000000000126e-01
6.212933999999999957e-01,9.964260411542259499e-01,6.212933999999999957e-01
6.770504999999999995e-01,9.903025748156080166e-01,6.770504999999999995e-01
7.009463999999999695e-01,9.871649433540580221e-01,7.009463999999999695e-01
7.407728999999999564e-01,1.005830164625650003e+00,7.407728999999999564e-01
7.487382000000000204e-01,1.001724343312270005e+00,7.487382000000000204e-01
7.328076000000000034e-01,1.002771008942580089e+00,7.328076000000000034e-01
7.646688000000000374e-01,1.002094191839620008e+00,7.646688000000000374e-01
7.567034999999999734e-01,1.002244189029940058e+00,7.567034999999999734e-01
7.726340999999999903e-01,9.965383322329760540e-01,7.726340999999999903e-01
7.487382000000000204e-01,9.908117462791039554e-01,7.487382000000000204e-01
7.567034999999999734e-01,9.953059607389389551e-01,7.567034999999999734e-01
7.726340999999999903e-01,9.950582014954479915e-01,7.726340999999999903e-01
8.044953000000000243e-01,1.004259360557240077e+00,8.044953000000000243e-01
8.363564999999999472e-01,1.006458269969320085e+00,8.363564999999999472e-01
7.885647000000000073e-01,1.003321188712569922e+00,7.885647000000000073e-01
8.124605999999999772e-01,9.922722607114820015e-01,8.124605999999999772e-01
7.805994000000000543e-01,9.992786918903889815e-01,7.805994000000000543e-01
