center_CAM,Weights
3.584384999999999932e-01,2.701313358086260275e-01
4.858833000000000180e-01,2.928445506535540255e-01
4.540220999999999840e-01,3.059103042720650034e-01
4.460567999999999755e-01,3.437393221098259954e-01
4.221609000000000056e-01,3.517430567238200023e-01
4.619873999999999925e-01,3.908616142832689877e-01
5.018139000000000349e-01,4.163681155530239986e-01
5.018139000000000349e-01,4.265260589323959795e-01
5.655362999999999918e-01,4.331314686211240050e-01
5.575710000000000388e-01,4.950889422573769849e-01
5.575710000000000388e-01,5.393202849210849692e-01
4.540220999999999840e-01,5.406669577629470425e-01
4.779180000000000095e-01,5.641212341459530544e-01
4.779180000000000095e-01,6.026135737566530315e-01
4.141955999999999971e-01,6.336001798299889520e-01
4.301262000000000141e-01,6.584550095681239723e-01
4.619873999999999925e-01,6.812926034223110161e-01
4.619873999999999925e-01,7.103064784636750062e-01
3.902997000000000272e-01,7.495775557047950066e-01
3.902997000000000272e-01,7.762438934630969678e-01
3.345426000000000233e-01,8.163563815962550096e-01
3.743691000000000102e-01,8.361831955281110451e-01
3.584384999999999932e-01,8.563904554879340214e-01
3.743691000000000102e-01,8.822806850565949599e-01
3.345426000000000233e-01,9.150590870427760537e-01
2.947160999999999809e-01,9.296951603694909583e-01
2.867507999999999724e-01,9.455336135270530074e-01
2.469243000000000132e-01,9.684668552638679984e-01
2.628549000000000024e-01,9.785330404872100152e-01
2.548895999999999940e-01,9.860400928315260494e-01
2.787855000000000194e-01,9.920662763379070048e-01
2.867507999999999724e-01,1.000898656749930060e+00
2.548895999999999940e-01,1.000439435299149915e+00
2.150631000000000070e-01,1.002584320339970025e+00
1.911672000000000093e-01,1.001368547385570018e+00
1.752365999999999924e-01,9.989715848564180156e-01
1.832019000000000009e-01,9.978815064996480189e-01
2.150631000000000070e-01,1.005578705378880056e+00
1.832019000000000009e-01,1.003162881957859964e+00
1.593060000000000032e-01,9.989280397112250132e-01
1.593060000000000032e-01,9.992698515588279706e-01
1.593060000000000032e-01,9.942034203859579922e-01
1.752365999999999924e-01,1.004631987688390016e+00
2.230283999999999878e-01,1.009340993666639985e+00
2.708202000000000109e-01,9.989799476732359462e-01
2.548895999999999940e-01,9.959017246548560465e-01
2.070977999999999986e-01,1.004741805399089971e+00
1.991324999999999901e-01,1.003098944885179922e+00
1.832019000000000009e-01,1.002076061170120047e+00
2.150631000000000070e-01,9.953658057960510508e-01
1.911672000000000093e-01,9.993577804104140094e-01
2.230283999999999878e-01,1.000460340985620089e+00
2.389590000000000047e-01,1.005395872973390059e+00
2.309936999999999963e-01,9.997414180476930090e-01
1.593060000000000032e-01,1.000052084475109959e+00
1.513406999999999947e-01,1.000076562499889965e+00
2.389590000000000047e-01,9.990058590744269607e-01
2.469243000000000132e-01,9.947362679868849700e-01
2.628549000000000024e-01,9.974236959304230155e-01
2.469243000000000132e-01,9.999198372075399632e-01
2.628549000000000024e-01,1.001686826496390070e+00
3.026813999999999893e-01,9.991525132688969801e-01
2.708202000000000109e-01,1.000065030819909939e+00
2.548895999999999940e-01,9.990058533810649566e-01
3.026813999999999893e-01,9.989759242374359749e-01
2.708202000000000109e-01,9.968468724821240023e-01
2.947160999999999809e-01,1.005330571096159975e+00
2.469243000000000132e-01,9.979933180683040472e-01
2.070977999999999986e-01,9.993369961050849737e-01
3.026813999999999893e-01,9.994761256450770404e-01
3.186120000000000063e-01,9.989408732452620399e-01
2.469243000000000132e-01,9.940680135498359826e-01
2.389590000000000047e-01,1.004038105466140030e+00
2.070977999999999986e-01,1.002575909091449891e+00
2.708202000000000109e-01,9.995294766952760313e-01
2.867507999999999724e-01,9.983587448197840386e-01
3.026813999999999893e-01,1.005071412340950099e+00
2.389590000000000047e-01,1.004536512979159912e+00
2.628549000000000024e-01,1.008247163699139914e+00
2.787855000000000194e-01,9.982452517910910261e-01
2.628549000000000024e-01,9.928828449098160425e-01
2.309936999999999963e-01,1.004090987393110090e+00
2.548895999999999940e-01,1.011782839002959955e+00
2.787855000000000194e-01,9.929467935695910352e-01
3.106466999999999978e-01,9.980836516149820259e-01
2.947160999999999809e-01,1.001090028269469911e+00
2.867507999999999724e-01,1.001721024577790109e+00
2.867507999999999724e-01,9.990802262940680079e-01
3.345426000000000233e-01,9.926484619486910521e-01
4.062302999999999886e-01,9.942569184646079528e-01
4.619873999999999925e-01,9.979262629141539831e-01
4.619873999999999925e-01,9.990939854668690057e-01
4.062302999999999886e-01,9.963488556720370148e-01
3.982649999999999801e-01,9.952950845662780210e-01
3.902997000000000272e-01,9.924294309585429685e-01
4.141955999999999971e-01,9.959512483010539707e-01
3.902997000000000272e-01,1.002739902294180085e+00
3.823344000000000187e-01,1.004639032464009984e+00
3.902997000000000272e-01,1.002419202446789948e+00
4.380915000000000226e-01,1.000217596839920065e+00
