x_LE,y_LE,x_RE,y_RE
4.692303543498193424e-02,3.218550000000000182e+02,4.894909962647042007e-02,3.281379999999999768e+02
4.740844614637829829e-02,3.218799999999999955e+02,4.945085577298321405e-02,3.281379999999999768e+02
4.783992233428617513e-02,3.218929999999999723e+02,4.989686123655014821e-02,3.281390000000000100e+02
4.832533304568254612e-02,3.218929999999999723e+02,5.039861738306294220e-02,3.281650000000000205e+02
4.881074375707891017e-02,3.218679999999999950e+02,5.084462284662986942e-02,3.281800000000000068e+02
4.924221994498678701e-02,3.218679999999999950e+02,5.134637899314266341e-02,3.281909999999999741e+02
4.972763065638315105e-02,3.218809999999999718e+02,5.184813513965545739e-02,3.281920000000000073e+02
5.021304136777952204e-02,3.219060000000000059e+02,5.234989128616825138e-02,3.281909999999999741e+02
5.069845207917587915e-02,3.219180000000000064e+02,5.285164743268104537e-02,3.281399999999999864e+02
5.112992826708375599e-02,3.218919999999999959e+02,5.329765289624797259e-02,3.281390000000000100e+02
5.161533897848012697e-02,3.219060000000000059e+02,5.379940904276076657e-02,3.281490000000000009e+02
5.204681516638800381e-02,3.219049999999999727e+02,5.424541450632769379e-02,3.281619999999999777e+02
5.258616040127285507e-02,3.218799999999999955e+02,5.474717065284049472e-02,3.281490000000000009e+02
5.323337468313467380e-02,3.218799999999999955e+02,5.524892679935328871e-02,3.281370000000000005e+02
5.371878539453103785e-02,3.218679999999999950e+02,5.575068294586608270e-02,3.281499999999999773e+02
5.420419610592740189e-02,3.219309999999999832e+02,5.619668840943300991e-02,3.281390000000000100e+02
5.468960681732377288e-02,3.219569999999999936e+02,5.669844455594580390e-02,3.281000000000000227e+02
5.512108300523164972e-02,3.219429999999999836e+02,5.720020070245860483e-02,3.281030000000000086e+02
5.560649371662800683e-02,3.219700000000000273e+02,5.764620616602553205e-02,3.280919999999999845e+02
5.609190442802437782e-02,3.219950000000000045e+02,5.820371299548419280e-02,3.281039999999999850e+02
5.652338061593226159e-02,3.219830000000000041e+02,5.864971845905112002e-02,3.281410000000000196e+02
5.700879132732861870e-02,3.219959999999999809e+02,5.909572392261804724e-02,3.281530000000000200e+02
5.744026751523650248e-02,3.219700000000000273e+02,5.959748006913084123e-02,3.281920000000000073e+02
