TapeWidthAfterCompaction,Weights
6.270999999999999908e+00,1.000990361419809904e+00
6.246000000000000441e+00,9.972598197821670452e-01
6.232000000000000206e+00,1.001323270254790065e+00
6.259999999999999787e+00,9.973637175866629789e-01
6.245000000000000107e+00,9.979450512956500319e-01
6.258000000000000007e+00,1.000344893293680038e+00
6.333999999999999631e+00,9.963055629466700536e-01
6.331999999999999851e+00,9.954159521170780067e-01
6.267000000000000348e+00,9.994119334448660075e-01
6.291000000000000369e+00,9.951171119790640507e-01
6.266000000000000014e+00,9.953358830810620228e-01
6.251999999999999780e+00,1.000690615128490002e+00
6.278999999999999915e+00,1.003106419835839924e+00
6.304000000000000270e+00,9.988183357752169478e-01
6.344000000000000306e+00,1.001877683963469989e+00
6.317999999999999616e+00,1.005387555525310006e+00
6.254999999999999893e+00,1.002441657581609968e+00
6.256000000000000227e+00,9.989674238731910405e-01
6.230999999999999872e+00,9.921689381929440499e-01
6.243000000000000327e+00,9.936287908504120026e-01
6.243999999999999773e+00,9.994567907913359806e-01
6.267999999999999794e+00,1.000550366523980106e+00
6.280999999999999694e+00,9.942308707781729593e-01
6.256000000000000227e+00,9.963679074112850031e-01
6.254999999999999893e+00,1.001295588245860069e+00
6.214999999999999858e+00,1.001620139996729941e+00
6.240000000000000213e+00,1.002411686925829937e+00
6.266000000000000014e+00,1.001261258543469923e+00
6.326999999999999957e+00,9.989916202369939491e-01
6.363999999999999879e+00,9.989125362730060242e-01
6.325000000000000178e+00,9.980577834758199707e-01
6.285999999999999588e+00,9.995298121208689990e-01
6.221000000000000085e+00,9.931679335589199686e-01
6.198000000000000398e+00,1.009142993604549954e+00
6.149000000000000021e+00,9.983252217101710180e-01
6.200000000000000178e+00,1.002941461003320045e+00
6.211999999999999744e+00,9.954357791504969688e-01
6.198000000000000398e+00,1.002037104700530090e+00
6.208999999999999631e+00,9.942797411529470386e-01
6.246000000000000441e+00,1.001768884730809939e+00
6.219000000000000306e+00,9.975919326123640074e-01
6.206000000000000405e+00,9.966556257325599466e-01
6.219999999999999751e+00,1.003485914282070013e+00
6.256999999999999673e+00,1.015483960417590037e+00
6.282000000000000028e+00,9.973240322281849979e-01
6.230999999999999872e+00,9.972972997021299912e-01
6.217999999999999972e+00,9.968644430720090543e-01
6.205000000000000071e+00,9.986238173659910400e-01
6.214999999999999858e+00,1.003185566710429910e+00
6.203999999999999737e+00,1.001225344362649983e+00
6.176000000000000156e+00,1.005159627503370068e+00
6.227999999999999758e+00,1.000292317630010031e+00
6.189000000000000057e+00,9.937461824056860182e-01
6.190000000000000391e+00,1.006703092445969894e+00
6.165000000000000036e+00,1.006295911929339981e+00
6.201999999999999957e+00,1.005810646461489988e+00
6.227000000000000313e+00,9.981016035464309599e-01
6.238999999999999879e+00,1.001312317079950054e+00
6.251999999999999780e+00,1.002831376295399979e+00
6.275999999999999801e+00,1.004706267728890046e+00
6.272999999999999687e+00,1.000508241876000071e+00
6.248000000000000220e+00,9.985072781842529999e-01
6.158999999999999808e+00,1.000976775801470042e+00
6.157000000000000028e+00,9.960001273369869512e-01
6.158000000000000362e+00,1.009845975112870109e+00
6.184999999999999609e+00,1.002748898286669910e+00
6.182999999999999829e+00,1.004662263599970018e+00
