x_LE,y_LE,x_RE,y_RE
0.000000000000000000e+00,4.222590000000000146e+02,0.000000000000000000e+00,4.285120000000000005e+02
4.927187123617650160e-04,4.222590000000000146e+02,5.021480778887463465e-04,4.285000000000000000e+02
9.854374247235300321e-04,4.222459999999999809e+02,9.485019249009654175e-04,4.285360000000000014e+02
1.478156137085295157e-03,4.222080000000000268e+02,1.450650002789711547e-03,4.285500000000000114e+02
1.916128325851308841e-03,4.222339999999999804e+02,1.897003849801930835e-03,4.285129999999999768e+02
2.408847038213073749e-03,4.222719999999999914e+02,2.399151927690676856e-03,4.284870000000000232e+02
2.901565750574838874e-03,4.222590000000000146e+02,2.901300005579423094e-03,4.284900000000000091e+02
3.394284462936603998e-03,4.222590000000000146e+02,3.403448083468169766e-03,4.285000000000000000e+02
3.777510128106865810e-03,4.223229999999999791e+02,3.849801930480388837e-03,4.285280000000000200e+02
4.324975364064382807e-03,4.223469999999999800e+02,4.351950008369134641e-03,4.285649999999999977e+02
4.762947552830395191e-03,4.223090000000000259e+02,4.854098086257881313e-03,4.285779999999999745e+02
5.255666265192160749e-03,4.223090000000000259e+02,5.356246164146627985e-03,4.285400000000000205e+02
5.748384977553925440e-03,4.223100000000000023e+02,5.802600011158846188e-03,4.285289999999999964e+02
6.186357166319939559e-03,4.222959999999999923e+02,6.304748089047592860e-03,4.285160000000000196e+02
6.679075878681704249e-03,4.223090000000000259e+02,6.806896166936339532e-03,4.285040000000000191e+02
7.171794591043469808e-03,4.223090000000000259e+02,7.253250013948558603e-03,4.285299999999999727e+02
7.609766779809483926e-03,4.222839999999999918e+02,7.755398091837305274e-03,4.285679999999999836e+02
8.102485492171247750e-03,4.222839999999999918e+02,8.257546169726050211e-03,4.285919999999999845e+02
8.595204204533012440e-03,4.223100000000000023e+02,8.759694247614796883e-03,4.286159999999999854e+02
9.087922916894778866e-03,4.222970000000000255e+02,9.206048094627015954e-03,4.286299999999999955e+02
9.525895105660790382e-03,4.222440000000000282e+02,9.708196172515762626e-03,4.286039999999999850e+02
1.001861381802255681e-02,4.222330000000000041e+02,1.021034425040450930e-02,4.285550000000000068e+02
1.045658600678857006e-02,4.222590000000000146e+02,1.065669809741672837e-02,4.285810000000000173e+02
1.094930471915033648e-02,4.222699999999999818e+02,1.115884617530547504e-02,4.285939999999999941e+02
1.138727690791634800e-02,4.223090000000000259e+02,1.166099425319421998e-02,4.285679999999999836e+02
1.193474214387386587e-02,4.223349999999999795e+02,1.216314233108296665e-02,4.285930000000000177e+02
1.242746085623563056e-02,4.222839999999999918e+02,1.260949617809518572e-02,4.285810000000000173e+02
1.286543304500164381e-02,4.222710000000000150e+02,1.311164425598393239e-02,4.285539999999999736e+02
1.335815175736340850e-02,4.223090000000000259e+02,1.361379233387267906e-02,4.285670000000000073e+02
1.385087046972517319e-02,4.222970000000000255e+02,1.411594041176142574e-02,4.285670000000000073e+02
1.428884265849118818e-02,4.222459999999999809e+02,1.456229425877364481e-02,4.285520000000000209e+02
1.472681484725720143e-02,4.222590000000000146e+02,1.506444233666239148e-02,4.285409999999999968e+02
1.527428008321471929e-02,4.222719999999999914e+02,1.556659041455113815e-02,4.285659999999999741e+02
1.576699879557648051e-02,4.222970000000000255e+02,1.601294426156335549e-02,4.286150000000000091e+02
1.620497098434249550e-02,4.222710000000000150e+02,1.651509233945210042e-02,4.286159999999999854e+02
1.669768969670426192e-02,4.222330000000000041e+02,1.701724041734084883e-02,4.286159999999999854e+02
1.719040840906602488e-02,4.221820000000000164e+02,1.746359426435306617e-02,4.286030000000000086e+02
