Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
nan,3.551000000000000156e+00,9.461000000000000298e+00,5.910000000000000142e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.563000000000000167e+00,9.483000000000000540e+00,5.919999999999999929e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.575000000000000178e+00,9.496999999999999886e+00,5.921999999999999709e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.575000000000000178e+00,9.484999999999999432e+00,5.910000000000000142e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.576000000000000068e+00,9.483999999999999986e+00,5.908000000000000362e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.600999999999999979e+00,9.507999999999999119e+00,5.907000000000000028e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.576000000000000068e+00,9.474999999999999645e+00,5.899000000000000021e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.551000000000000156e+00,9.451000000000000512e+00,5.900000000000000355e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.539000000000000146e+00,9.439000000000000057e+00,5.900000000000000355e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.513999999999999790e+00,9.413999999999999702e+00,5.900000000000000355e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.540000000000000036e+00,9.451999999999999957e+00,5.911999999999999922e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.564999999999999947e+00,9.464999999999999858e+00,5.900000000000000355e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.403000000000000469e+00,5.876000000000000334e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.391000000000000014e+00,5.863999999999999879e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.403999999999999915e+00,5.876999999999999780e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.513999999999999790e+00,9.401999999999999247e+00,5.887999999999999901e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.500999999999999890e+00,9.375999999999999446e+00,5.875000000000000000e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.475000000000000089e+00,9.362000000000000099e+00,5.886999999999999567e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.500000000000000000e+00,9.387000000000000455e+00,5.886999999999999567e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.512999999999999901e+00,9.387000000000000455e+00,5.873999999999999666e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.525999999999999801e+00,9.387000000000000455e+00,5.860999999999999766e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.540000000000000036e+00,9.401999999999999247e+00,5.862000000000000099e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.552000000000000046e+00,9.390000000000000568e+00,5.838000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.552000000000000046e+00,9.377000000000000668e+00,5.825000000000000178e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.540000000000000036e+00,9.378000000000000114e+00,5.838000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.515000000000000124e+00,9.365000000000000213e+00,5.849999999999999645e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.377000000000000668e+00,5.849999999999999645e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.365000000000000213e+00,5.838000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.513999999999999790e+00,9.364000000000000767e+00,5.849999999999999645e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.487999999999999989e+00,9.339999999999999858e+00,5.852000000000000313e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.463000000000000078e+00,9.300000000000000711e+00,5.836999999999999744e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.475000000000000089e+00,9.310999999999999943e+00,5.836000000000000298e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.462000000000000188e+00,9.298000000000000043e+00,5.836000000000000298e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.423999999999999932e+00,9.272000000000000242e+00,5.847999999999999865e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.423999999999999932e+00,9.272999999999999687e+00,5.849000000000000199e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.450000000000000178e+00,9.273999999999999133e+00,5.823999999999999844e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.475000000000000089e+00,9.301000000000000156e+00,5.825999999999999623e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.515000000000000124e+00,9.313000000000000611e+00,5.798000000000000043e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.527000000000000135e+00,9.327999999999999403e+00,5.801000000000000156e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.513999999999999790e+00,9.352000000000000313e+00,5.838000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.513999999999999790e+00,9.289999999999999147e+00,5.775999999999999801e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.463000000000000078e+00,9.265000000000000568e+00,5.801999999999999602e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.451000000000000068e+00,9.250999999999999446e+00,5.799999999999999822e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.386000000000000121e+00,9.210000000000000853e+00,5.823999999999999844e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.386000000000000121e+00,9.198999999999999844e+00,5.812999999999999723e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.399000000000000021e+00,9.224999999999999645e+00,5.825999999999999623e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.423999999999999932e+00,9.257999999999999119e+00,5.833999999999999631e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.448999999999999844e+00,9.272000000000000242e+00,5.823000000000000398e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.436999999999999833e+00,9.247999999999999332e+00,5.810999999999999943e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.399000000000000021e+00,9.236000000000000654e+00,5.836999999999999744e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.411000000000000032e+00,9.249000000000000554e+00,5.838000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.399000000000000021e+00,9.260999999999999233e+00,5.862000000000000099e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.387000000000000011e+00,9.275999999999999801e+00,5.889000000000000234e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.412999999999999812e+00,9.291000000000000369e+00,5.878000000000000114e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.424999999999999822e+00,9.316000000000000725e+00,5.891000000000000014e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.463999999999999968e+00,9.353999999999999204e+00,5.889999999999999680e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.451000000000000068e+00,9.342000000000000526e+00,5.891000000000000014e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.412999999999999812e+00,9.339999999999999858e+00,5.926999999999999602e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.399999999999999911e+00,9.303000000000000824e+00,5.902999999999999581e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.362000000000000099e+00,9.288000000000000256e+00,5.926000000000000156e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.362000000000000099e+00,9.288999999999999702e+00,5.926999999999999602e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
