center_CAM,Weights
-1.513406999999999947e-01,2.209842645495420088e-01
-7.168769999999999309e-02,2.284305491745949879e-01
-3.186119999999999924e-02,2.358763755667470097e-01
9.558360000000000467e-02,2.433226601917989895e-01
1.354101000000000055e-01,2.507684865839510113e-01
2.309936999999999963e-01,2.582147712090039904e-01
2.389590000000000047e-01,2.746901278800609747e-01
1.911672000000000093e-01,2.999759212409690012e-01
1.035488999999999993e-01,3.238922309914900044e-01
1.832019000000000009e-01,3.376020663969839797e-01
1.752365999999999924e-01,3.666557894367259984e-01
1.513406999999999947e-01,4.062368071778170164e-01
9.558360000000000467e-02,4.123514913241340119e-01
7.965300000000000158e-02,4.369565632915869968e-01
9.558360000000000467e-02,4.416282194064800048e-01
1.115141999999999939e-01,4.753240144923279731e-01
1.274447999999999970e-01,5.215752225057590508e-01
1.593060000000000032e-01,5.407286129974120392e-01
1.274447999999999970e-01,5.679136645080370416e-01
1.672713000000000116e-01,5.995755844551019509e-01
7.965300000000000158e-02,6.523700375289359643e-01
8.761829999999999619e-02,6.581572445429709761e-01
8.761829999999999619e-02,6.679169399584939937e-01
1.115141999999999939e-01,6.843093739665939701e-01
1.194795000000000024e-01,7.348125934348239685e-01
1.115141999999999939e-01,7.548955767591060129e-01
7.168769999999999309e-02,7.882930711899730492e-01
6.372239999999999849e-02,8.224926132896329678e-01
3.186119999999999924e-02,8.498720561561440290e-01
3.186119999999999924e-02,8.816445463715579800e-01
-1.593059999999999962e-02,9.071371600053990125e-01
1.593059999999999962e-02,9.210141797655729823e-01
-2.389590000000000117e-02,9.284415431723650469e-01
-3.186119999999999924e-02,9.564462555290039747e-01
-7.168769999999999309e-02,9.627850646425359926e-01
-6.372239999999999849e-02,9.764729784341289465e-01
-7.168769999999999309e-02,9.842644040683480311e-01
-3.186119999999999924e-02,1.004882293828909923e+00
-4.779180000000000234e-02,1.007305686709750070e+00
7.965299999999999811e-03,1.002283389038040040e+00
-3.982650000000000079e-02,1.003852199650189903e+00
-7.965299999999999811e-03,1.004020982807360074e+00
6.372239999999999849e-02,9.921083640923400448e-01
0.000000000000000000e+00,9.911430185996999986e-01
4.779180000000000234e-02,1.004505757997079973e+00
-3.982650000000000079e-02,1.002468347553939987e+00
4.779180000000000234e-02,1.005261556736390061e+00
1.593059999999999962e-02,9.987084713902110167e-01
3.186119999999999924e-02,1.005286380491140052e+00
-7.965299999999999811e-03,9.942633916005010342e-01
1.593059999999999962e-02,9.975153200522830499e-01
-3.186119999999999924e-02,9.930404292609370520e-01
6.372239999999999849e-02,9.792215503575669722e-01
3.982650000000000079e-02,9.963243642892920526e-01
1.115141999999999939e-01,1.010785097214339956e+00
1.194795000000000024e-01,1.006688520351570082e+00
2.070977999999999986e-01,9.992870517395849861e-01
1.752365999999999924e-01,1.004010071407789972e+00
1.752365999999999924e-01,9.957763885874989507e-01
1.593060000000000032e-01,9.975498454767920409e-01
1.832019000000000009e-01,9.896424725111250265e-01
2.230283999999999878e-01,9.966108473712700366e-01
2.389590000000000047e-01,1.005001734935089930e+00
2.628549000000000024e-01,1.008173512351010048e+00
2.708202000000000109e-01,1.000941745816859907e+00
2.389590000000000047e-01,1.012695387153879967e+00
2.548895999999999940e-01,9.995391153679400453e-01
2.548895999999999940e-01,9.965743633468580054e-01
2.787855000000000194e-01,1.005905169814429900e+00
3.664038000000000017e-01,9.970947775670200297e-01
3.664038000000000017e-01,9.956945193972569497e-01
4.301262000000000141e-01,1.005374211703579990e+00
3.504731999999999847e-01,1.005606802187380078e+00
3.823344000000000187e-01,1.007816611005210028e+00
3.823344000000000187e-01,1.001444291193799963e+00
3.902997000000000272e-01,9.950853534163569547e-01
4.062302999999999886e-01,9.979838509803029556e-01
3.823344000000000187e-01,9.975457228443870283e-01
3.743691000000000102e-01,9.924188498714799911e-01
3.982649999999999801e-01,1.001979094248480084e+00
3.743691000000000102e-01,1.005227762059470065e+00
4.062302999999999886e-01,1.000471459014470099e+00
3.902997000000000272e-01,9.947054714943059928e-01
4.221609000000000056e-01,1.000808035828889997e+00
4.062302999999999886e-01,9.968739157673609519e-01
4.301262000000000141e-01,9.974303103888420008e-01
4.301262000000000141e-01,9.949816948824590224e-01
4.221609000000000056e-01,1.001877806415689909e+00
3.743691000000000102e-01,9.991602893696429621e-01
3.425078999999999763e-01,9.996482931096319913e-01
3.664038000000000017e-01,9.985079434242960517e-01
3.345426000000000233e-01,9.996229504904790009e-01
3.265773000000000148e-01,1.002268314260529980e+00
2.469243000000000132e-01,1.002547220878510004e+00
2.708202000000000109e-01,9.993042316571230099e-01
2.548895999999999940e-01,9.972306586336320278e-01
2.947160999999999809e-01,1.000886793151309906e+00
3.265773000000000148e-01,1.001888282169739908e+00
3.026813999999999893e-01,1.002439179977419936e+00
2.867507999999999724e-01,1.002940667857000090e+00
2.628549000000000024e-01,1.001559308114470026e+00
2.787855000000000194e-01,1.000944476719429987e+00
2.947160999999999809e-01,1.000690651657480057e+00
2.628549000000000024e-01,9.976263279175899834e-01
2.628549000000000024e-01,9.961670688062650436e-01
2.947160999999999809e-01,9.977140629448130182e-01
3.265773000000000148e-01,1.007480586736900108e+00
3.345426000000000233e-01,9.990953884765370052e-01
3.345426000000000233e-01,9.984426055977789760e-01
3.902997000000000272e-01,1.005583489930869989e+00
3.982649999999999801e-01,9.967971496789970187e-01
4.062302999999999886e-01,9.948647799679599668e-01
3.345426000000000233e-01,1.002344617341009991e+00
3.664038000000000017e-01,1.001634184860120014e+00
4.221609000000000056e-01,9.913004287283420091e-01
4.699527000000000010e-01,1.003565446680239948e+00
4.699527000000000010e-01,1.007298726589590077e+00
5.097791999999999879e-01,1.008681561306290053e+00
5.177445000000000519e-01,9.979895306767060381e-01
