time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
2.429999999999999938e-01,3.271999999999999797e+00,9.625999999999999446e+00,6.354000000000000092e+00,1.354741595584545849e-02,3.342280000000000086e+02,2.439999999999999947e-01,2.854000000000000092e+00,9.273999999999999133e+00,6.419999999999999929e+00,1.347024401015788769e-02,3.407259999999999991e+02
2.520000000000000018e-01,3.310000000000000053e+00,9.628999999999999559e+00,6.318999999999999950e+00,1.404917210235825248e-02,3.341899999999999977e+02,2.510000000000000009e-01,2.854000000000000092e+00,9.272000000000000242e+00,6.418000000000000149e+00,1.385668543667881170e-02,3.407280000000000086e+02
2.610000000000000098e-01,3.297000000000000153e+00,9.602000000000000313e+00,6.304999999999999716e+00,1.455092824887104820e-02,3.342029999999999745e+02,2.600000000000000089e-01,2.891000000000000014e+00,9.311999999999999389e+00,6.421000000000000263e+00,1.435353869934856939e-02,3.406879999999999882e+02
2.700000000000000178e-01,3.298000000000000043e+00,9.589000000000000412e+00,6.291000000000000369e+00,1.505268439538384392e-02,3.342019999999999982e+02,2.690000000000000169e-01,2.928999999999999826e+00,9.324999999999999289e+00,6.395999999999999908e+00,1.485039196201832883e-02,3.406750000000000114e+02
2.780000000000000249e-01,3.310999999999999943e+00,9.576000000000000512e+00,6.264999999999999680e+00,1.549868985895077288e-02,3.341890000000000214e+02,2.780000000000000249e-01,2.955999999999999961e+00,9.336999999999999744e+00,6.381000000000000227e+00,1.534724522468808826e-02,3.406630000000000109e+02
2.869999999999999774e-01,3.309000000000000163e+00,9.561999999999999389e+00,6.253000000000000114e+00,1.600044600546356513e-02,3.341909999999999741e+02,2.859999999999999765e-01,3.005999999999999783e+00,9.375000000000000000e+00,6.368999999999999773e+00,1.578889256928342477e-02,3.406250000000000000e+02
2.959999999999999853e-01,3.309000000000000163e+00,9.548999999999999488e+00,6.240000000000000213e+00,1.650220215197635912e-02,3.341909999999999741e+02,2.949999999999999845e-01,2.991999999999999993e+00,9.371999999999999886e+00,6.379999999999999893e+00,1.628574583195318420e-02,3.406279999999999859e+02
3.049999999999999933e-01,3.322000000000000064e+00,9.561999999999999389e+00,6.240000000000000213e+00,1.700395829848915658e-02,3.341779999999999973e+02,3.039999999999999925e-01,3.004999999999999893e+00,9.372999999999999332e+00,6.368000000000000327e+00,1.678259909462294364e-02,3.406270000000000095e+02
3.130000000000000004e-01,3.334000000000000075e+00,9.561999999999999389e+00,6.227999999999999758e+00,1.744996376205608379e-02,3.341659999999999968e+02,3.130000000000000004e-01,2.979999999999999982e+00,9.356999999999999318e+00,6.376999999999999780e+00,1.727945235729269960e-02,3.406430000000000291e+02
3.300000000000000155e-01,3.334999999999999964e+00,9.561999999999999389e+00,6.227000000000000313e+00,1.839772537213580847e-02,3.341650000000000205e+02,3.210000000000000075e-01,2.940999999999999837e+00,9.307000000000000384e+00,6.365999999999999659e+00,1.772109970188804132e-02,3.406929999999999836e+02
3.390000000000000235e-01,3.334999999999999964e+00,9.538999999999999702e+00,6.203999999999999737e+00,1.889948151864860246e-02,3.341650000000000205e+02,3.300000000000000155e-01,2.979000000000000092e+00,9.320000000000000284e+00,6.341000000000000192e+00,1.821795296455780075e-02,3.406800000000000068e+02
3.469999999999999751e-01,3.349000000000000199e+00,9.528999999999999915e+00,6.179999999999999716e+00,1.934548698221552968e-02,3.341510000000000105e+02,3.390000000000000235e-01,3.029999999999999805e+00,9.394999999999999574e+00,6.365000000000000213e+00,1.871480622722756018e-02,3.406050000000000182e+02
3.559999999999999831e-01,3.337000000000000188e+00,9.490999999999999659e+00,6.153999999999999915e+00,1.984724312872832366e-02,3.341630000000000109e+02,3.469999999999999751e-01,3.092999999999999972e+00,9.458999999999999631e+00,6.365999999999999659e+00,1.915645357182289843e-02,3.405409999999999968e+02
3.649999999999999911e-01,3.322999999999999954e+00,9.490999999999999659e+00,6.168000000000000149e+00,2.034899927524112112e-02,3.341770000000000209e+02,3.559999999999999831e-01,3.108000000000000096e+00,9.460000000000000853e+00,6.352000000000000313e+00,1.965330683449265439e-02,3.405400000000000205e+02
