width_LLS_A,Weights,error_LLS_A
6.030000000000000249e+00,9.964771304409999475e-01,-2.199999999999997513e-01
6.030000000000000249e+00,1.004952313316539891e+00,-2.199999999999997513e-01
6.014999999999999680e+00,1.004288324372609953e+00,-2.350000000000003197e-01
6.017999999999999794e+00,9.965158291638019916e-01,-2.320000000000002061e-01
6.041999999999999815e+00,1.000032824398519926e+00,-2.080000000000001847e-01
6.068999999999999950e+00,9.969893365377670014e-01,-1.810000000000000497e-01
6.128000000000000114e+00,9.991294074086729537e-01,-1.219999999999998863e-01
6.099000000000000199e+00,1.004899216425590103e+00,-1.509999999999998010e-01
6.155000000000000249e+00,9.984526405504069446e-01,-9.499999999999975131e-02
6.309000000000000163e+00,1.005764284485340054e+00,5.900000000000016342e-02
6.243000000000000327e+00,1.002882324704819972e+00,-6.999999999999673150e-03
6.155999999999999694e+00,9.969428042661320211e-01,-9.400000000000030553e-02
6.168000000000000149e+00,9.993337449531239924e-01,-8.199999999999985079e-02
6.299999999999999822e+00,1.000380096872869995e+00,4.999999999999982236e-02
6.296000000000000263e+00,1.002902628300810006e+00,4.600000000000026290e-02
6.209999999999999964e+00,9.978097045013559763e-01,-4.000000000000003553e-02
6.267999999999999794e+00,9.920349252096879455e-01,1.799999999999979394e-02
6.246000000000000441e+00,9.995493882918500272e-01,-3.999999999999559464e-03
6.192000000000000171e+00,9.974229902728729558e-01,-5.799999999999982947e-02
6.182000000000000384e+00,1.002043109831650014e+00,-6.799999999999961631e-02
6.168999999999999595e+00,9.992361077066409525e-01,-8.100000000000040501e-02
6.168000000000000149e+00,1.001307191825600018e+00,-8.199999999999985079e-02
6.205000000000000071e+00,9.992739725839859810e-01,-4.499999999999992895e-02
6.216000000000000192e+00,9.972472767435039964e-01,-3.399999999999980815e-02
6.203999999999999737e+00,1.002509799697069992e+00,-4.600000000000026290e-02
6.280000000000000249e+00,9.995862185288140189e-01,3.000000000000024869e-02
6.307000000000000384e+00,1.001198068144010023e+00,5.700000000000038369e-02
6.205000000000000071e+00,9.966210670774899860e-01,-4.499999999999992895e-02
6.216999999999999638e+00,9.973996247266030402e-01,-3.300000000000036238e-02
6.192999999999999616e+00,1.003143636739419975e+00,-5.700000000000038369e-02
6.166000000000000369e+00,9.964709269693879934e-01,-8.399999999999963052e-02
6.115000000000000213e+00,9.991711001813290416e-01,-1.349999999999997868e-01
6.158000000000000362e+00,9.989243792499910013e-01,-9.199999999999963762e-02
6.078999999999999737e+00,1.000289266973799940e+00,-1.710000000000002629e-01
6.027999999999999581e+00,9.994071984375390016e-01,-2.220000000000004192e-01
6.041999999999999815e+00,9.989428963228029756e-01,-2.080000000000001847e-01
6.078999999999999737e+00,9.934212543576790289e-01,-1.710000000000002629e-01
6.073999999999999844e+00,1.002033805885129913e+00,-1.760000000000001563e-01
6.158000000000000362e+00,1.005473558585459948e+00,-9.199999999999963762e-02
6.030000000000000249e+00,9.994876525508099574e-01,-2.199999999999997513e-01
6.070000000000000284e+00,9.993520789964619455e-01,-1.799999999999997158e-01
6.054999999999999716e+00,9.960848235815960017e-01,-1.950000000000002842e-01
6.027999999999999581e+00,1.004802496168589965e+00,-2.220000000000004192e-01
6.052999999999999936e+00,1.001923848400589900e+00,-1.970000000000000639e-01
6.092999999999999972e+00,1.003874283185590022e+00,-1.570000000000000284e-01
6.105999999999999872e+00,1.008544670727189896e+00,-1.440000000000001279e-01
6.116999999999999993e+00,1.007206971075869983e+00,-1.330000000000000071e-01
6.115000000000000213e+00,9.941174064530059473e-01,-1.349999999999997868e-01
6.113999999999999879e+00,9.934762808389280275e-01,-1.360000000000001208e-01
6.027000000000000135e+00,1.001216857632349910e+00,-2.229999999999998650e-01
6.142000000000000348e+00,1.008684401840890033e+00,-1.079999999999996518e-01
6.065000000000000391e+00,1.011057170702909902e+00,-1.849999999999996092e-01
6.064000000000000057e+00,9.970627839072020437e-01,-1.859999999999999432e-01
6.040000000000000036e+00,9.957326190676719646e-01,-2.099999999999999645e-01
6.121999999999999886e+00,9.960158663250170408e-01,-1.280000000000001137e-01
6.056000000000000050e+00,1.001317147775999894e+00,-1.939999999999999503e-01
6.137999999999999901e+00,1.001868987011059975e+00,-1.120000000000000995e-01
6.131000000000000227e+00,1.000881298328899938e+00,-1.189999999999997726e-01
6.006000000000000227e+00,9.913091054975919914e-01,-2.439999999999997726e-01
6.043000000000000149e+00,9.909497390954780105e-01,-2.069999999999998508e-01
6.054999999999999716e+00,1.000290912491980100e+00,-1.950000000000002842e-01
6.028999999999999915e+00,9.986320904936799581e-01,-2.210000000000000853e-01
6.094000000000000306e+00,1.000077038925279993e+00,-1.559999999999996945e-01
6.064000000000000057e+00,9.941830981250510124e-01,-1.859999999999999432e-01
6.067000000000000171e+00,1.003022201311019934e+00,-1.829999999999998295e-01
6.144999999999999574e+00,9.952017098884130553e-01,-1.050000000000004263e-01
6.115000000000000213e+00,9.913202559512549472e-01,-1.349999999999997868e-01
6.080000000000000071e+00,9.939374931194669971e-01,-1.699999999999999289e-01
6.076999999999999957e+00,1.005418977689300108e+00,-1.730000000000000426e-01
6.139000000000000234e+00,1.005654539673060066e+00,-1.109999999999997655e-01
6.171999999999999709e+00,1.000236923570460013e+00,-7.800000000000029132e-02
6.142000000000000348e+00,1.001408084714509927e+00,-1.079999999999996518e-01
6.129999999999999893e+00,9.994344383390979525e-01,-1.200000000000001066e-01
6.105999999999999872e+00,1.000846671058359894e+00,-1.440000000000001279e-01
6.139000000000000234e+00,9.990216963713339782e-01,-1.109999999999997655e-01
6.086999999999999744e+00,9.975651586118340353e-01,-1.630000000000002558e-01
6.166000000000000369e+00,9.975045778427960030e-01,-8.399999999999963052e-02
6.081000000000000405e+00,9.999419785586659559e-01,-1.689999999999995950e-01
6.105000000000000426e+00,1.001921045381640063e+00,-1.449999999999995737e-01
6.102999999999999758e+00,9.983078130352439628e-01,-1.470000000000002416e-01
6.128000000000000114e+00,9.945522619947679832e-01,-1.219999999999998863e-01
6.115000000000000213e+00,1.002621130227800084e+00,-1.349999999999997868e-01
6.190999999999999837e+00,1.007332505481500107e+00,-5.900000000000016342e-02
6.126999999999999780e+00,1.006194825203700072e+00,-1.230000000000002203e-01
6.092999999999999972e+00,1.004518414557739936e+00,-1.570000000000000284e-01
6.067000000000000171e+00,1.001553958934150002e+00,-1.829999999999998295e-01
6.081000000000000405e+00,9.980761638733389729e-01,-1.689999999999995950e-01
6.022999999999999687e+00,9.917592017394569748e-01,-2.270000000000003126e-01
6.062999999999999723e+00,9.950106585096559764e-01,-1.870000000000002771e-01
6.155000000000000249e+00,9.982898917477810441e-01,-9.499999999999975131e-02
6.166000000000000369e+00,9.980009193038169579e-01,-8.399999999999963052e-02
6.177999999999999936e+00,9.999604125363099616e-01,-7.200000000000006395e-02
6.088000000000000078e+00,9.952712088021370418e-01,-1.619999999999999218e-01
6.179999999999999716e+00,9.980774182234499747e-01,-7.000000000000028422e-02
6.142999999999999794e+00,9.971023191165110378e-01,-1.070000000000002061e-01
6.264000000000000234e+00,9.991506274638249918e-01,1.400000000000023448e-02
6.243000000000000327e+00,1.001321359063759964e+00,-6.999999999999673150e-03
6.179999999999999716e+00,1.007739547158100102e+00,-7.000000000000028422e-02
6.258000000000000007e+00,9.983387154106679873e-01,8.000000000000007105e-03
6.267999999999999794e+00,9.991915244132589802e-01,1.799999999999979394e-02
6.294999999999999929e+00,1.001250621152000031e+00,4.499999999999992895e-02
6.256000000000000227e+00,1.004454177072140020e+00,6.000000000000227374e-03
6.229000000000000092e+00,1.001415054782210046e+00,-2.099999999999990763e-02
6.205000000000000071e+00,9.984452098146500143e-01,-4.499999999999992895e-02
6.293000000000000149e+00,9.976732691249069473e-01,4.300000000000014921e-02
6.230000000000000426e+00,1.001333739280519941e+00,-1.999999999999957367e-02
6.216000000000000192e+00,1.004244612274840076e+00,-3.399999999999980815e-02
6.203999999999999737e+00,9.986612302753350434e-01,-4.600000000000026290e-02
6.227999999999999758e+00,1.006546851501979978e+00,-2.200000000000024158e-02
6.214999999999999858e+00,1.006255063791009929e+00,-3.500000000000014211e-02
6.229000000000000092e+00,1.002929315885529915e+00,-2.099999999999990763e-02
6.128999999999999559e+00,9.993752251443359658e-01,-1.210000000000004405e-01
6.078999999999999737e+00,9.980623098792360537e-01,-1.710000000000002629e-01
6.075999999999999623e+00,9.945697347486249784e-01,-1.740000000000003766e-01
5.959999999999999964e+00,9.967574005237720414e-01,-2.900000000000000355e-01
6.102000000000000313e+00,9.995452104266909776e-01,-1.479999999999996874e-01
6.081000000000000405e+00,1.004836619979539991e+00,-1.689999999999995950e-01
6.067999999999999616e+00,9.994634706750340492e-01,-1.820000000000003837e-01
6.104000000000000092e+00,9.998581304131419767e-01,-1.459999999999999076e-01
6.081000000000000405e+00,9.927861430349139704e-01,-1.689999999999995950e-01
6.091000000000000192e+00,1.003207172805619996e+00,-1.589999999999998082e-01
6.142000000000000348e+00,1.000036698603379959e+00,-1.079999999999996518e-01
6.016000000000000014e+00,1.006752296529020096e+00,-2.339999999999999858e-01
6.089999999999999858e+00,1.001936290206330016e+00,-1.600000000000001421e-01
6.054000000000000270e+00,1.000623351381650039e+00,-1.959999999999997300e-01
5.998999999999999666e+00,9.941073679429950349e-01,-2.510000000000003340e-01
5.937000000000000277e+00,9.963940022266689622e-01,-3.129999999999997229e-01
6.067999999999999616e+00,1.002572694215730031e+00,-1.820000000000003837e-01
6.038000000000000256e+00,1.004334213339999948e+00,-2.119999999999997442e-01
6.064000000000000057e+00,1.002767226499279962e+00,-1.859999999999999432e-01
6.025999999999999801e+00,9.960527756937259669e-01,-2.240000000000001990e-01
6.205000000000000071e+00,9.950907136884340476e-01,-4.499999999999992895e-02
6.182999999999999829e+00,9.996431955181319662e-01,-6.700000000000017053e-02
6.203999999999999737e+00,1.006658172422020048e+00,-4.600000000000026290e-02
6.168000000000000149e+00,1.002157561079759951e+00,-8.199999999999985079e-02
6.142999999999999794e+00,1.006960361475510046e+00,-1.070000000000002061e-01
6.052999999999999936e+00,1.000061832341690105e+00,-1.970000000000000639e-01
6.105999999999999872e+00,1.002833462502610073e+00,-1.440000000000001279e-01
6.051999999999999602e+00,9.999131070280059541e-01,-1.980000000000003979e-01
6.100999999999999979e+00,1.000125374645669973e+00,-1.490000000000000213e-01
6.089999999999999858e+00,9.990627378383859503e-01,-1.600000000000001421e-01
6.153999999999999915e+00,9.981820692053160471e-01,-9.600000000000008527e-02
6.139999999999999680e+00,1.006216775848550071e+00,-1.100000000000003197e-01
6.126999999999999780e+00,1.001522504818340042e+00,-1.230000000000002203e-01
6.141000000000000014e+00,9.990710449000109739e-01,-1.089999999999999858e-01
6.184999999999999609e+00,9.982531126870000104e-01,-6.500000000000039080e-02
6.174999999999999822e+00,1.003510701878050027e+00,-7.500000000000017764e-02
6.126000000000000334e+00,9.995654400529829786e-01,-1.239999999999996660e-01
6.089000000000000412e+00,1.002631522099270089e+00,-1.609999999999995879e-01
6.102000000000000313e+00,1.000623212483370050e+00,-1.479999999999996874e-01
6.126000000000000334e+00,9.966762558970340136e-01,-1.239999999999996660e-01
6.020999999999999908e+00,9.989216226160669843e-01,-2.290000000000000924e-01
6.189000000000000057e+00,1.000629331804840039e+00,-6.099999999999994316e-02
6.179000000000000270e+00,1.009330303660199935e+00,-7.099999999999972999e-02
6.203000000000000291e+00,1.004018806000990027e+00,-4.699999999999970868e-02
6.174999999999999822e+00,9.994000574134970227e-01,-7.500000000000017764e-02
6.174999999999999822e+00,9.920873932962409603e-01,-7.500000000000017764e-02
6.123000000000000220e+00,9.979676269146720013e-01,-1.269999999999997797e-01
6.152000000000000135e+00,1.006267875680070034e+00,-9.799999999999986500e-02
6.099999999999999645e+00,1.004011836853029971e+00,-1.500000000000003553e-01
6.104000000000000092e+00,9.977362456637529631e-01,-1.459999999999999076e-01
6.078000000000000291e+00,9.975488212285440470e-01,-1.719999999999997087e-01
6.073999999999999844e+00,1.000580797029019919e+00,-1.760000000000001563e-01
6.036999999999999922e+00,9.948945413457990217e-01,-2.130000000000000782e-01
6.216000000000000192e+00,9.982361516200619622e-01,-3.399999999999980815e-02
6.198999999999999844e+00,1.001278703487340049e+00,-5.100000000000015632e-02
6.198999999999999844e+00,1.005737577525579907e+00,-5.100000000000015632e-02
6.110000000000000320e+00,1.003695614740010011e+00,-1.399999999999996803e-01
6.230000000000000426e+00,9.964856437368070363e-01,-1.999999999999957367e-02
6.219000000000000306e+00,9.962830237803970146e-01,-3.099999999999969447e-02
6.201999999999999957e+00,1.001105528342449924e+00,-4.800000000000004263e-02
6.139000000000000234e+00,1.001269822373360041e+00,-1.109999999999997655e-01
6.076999999999999957e+00,1.002635700954900067e+00,-1.730000000000000426e-01
6.152000000000000135e+00,9.973929122846340034e-01,-9.799999999999986500e-02
6.102999999999999758e+00,9.983413644261830422e-01,-1.470000000000002416e-01
6.128999999999999559e+00,9.973836693633360007e-01,-1.210000000000004405e-01
6.097999999999999865e+00,9.988908024759860504e-01,-1.520000000000001350e-01
6.075999999999999623e+00,1.005265758460430092e+00,-1.740000000000003766e-01
6.128000000000000114e+00,9.949405932619810322e-01,-1.219999999999998863e-01
6.129999999999999893e+00,9.960624751542560551e-01,-1.200000000000001066e-01
6.104000000000000092e+00,1.002817586512499970e+00,-1.459999999999999076e-01
6.064000000000000057e+00,1.002935063033330021e+00,-1.859999999999999432e-01
6.150999999999999801e+00,1.000336758699990058e+00,-9.900000000000019895e-02
6.163000000000000256e+00,9.989150250515770324e-01,-8.699999999999974420e-02
6.142000000000000348e+00,1.008053478626319999e+00,-1.079999999999996518e-01
6.142000000000000348e+00,1.000999247971189998e+00,-1.079999999999996518e-01
6.131000000000000227e+00,1.002920513294929927e+00,-1.189999999999997726e-01
6.214999999999999858e+00,1.000485986358790047e+00,-3.500000000000014211e-02
6.073999999999999844e+00,9.983622042547950493e-01,-1.760000000000001563e-01
6.253999999999999559e+00,9.991127281024070328e-01,3.999999999999559464e-03
6.192000000000000171e+00,9.953884265829060496e-01,-5.799999999999982947e-02
6.182000000000000384e+00,9.959768250932929945e-01,-6.799999999999961631e-02
6.155000000000000249e+00,9.988429632213250420e-01,-9.499999999999975131e-02
6.166000000000000369e+00,9.988234044983770321e-01,-8.399999999999963052e-02
6.128000000000000114e+00,1.000989475602670042e+00,-1.219999999999998863e-01
6.193999999999999950e+00,1.005134467466270110e+00,-5.600000000000004974e-02
6.128999999999999559e+00,1.008811794959320052e+00,-1.210000000000004405e-01
6.129999999999999893e+00,9.973495952154739497e-01,-1.200000000000001066e-01
6.153999999999999915e+00,9.830380554234690038e-01,-9.600000000000008527e-02
6.126000000000000334e+00,1.001619039117459975e+00,-1.239999999999996660e-01
