Tow Spacing (mm),Average Gap (%),Gap Std (%),Gap Min (%),Gap Max (%),Average Overlap (%),Overlap Std (%),Overlap Min (%),Overlap Max (%),Intersection Spacing (mm),Intersection Gap/Overlap (%)
5.0,3.712816322667862e-05,0.0002026472071090237,0.0,0.0016097270402950206,24.368895641921732,0.13543421512496243,24.092669314850006,24.752523267380074,6.271675502802367,1.8065076497518997
5.025510204081633,2.195112501958981e-06,2.1742854013652056e-05,0.0,0.00021853160469418418,23.729137342847427,0.1387331431710566,23.401031601535013,24.027952041738715,6.271675502802367,1.8065076497518997
5.051020408163265,2.118176647948169e-05,0.00010541495768131946,0.0,0.0009140579801073256,23.130801229267732,0.11628135263872713,22.861519737904413,23.388696319479386,6.271675502802367,1.8065076497518997
5.076530612244898,0.00015438545812861284,0.0012141741930893472,0.0,0.012083828969911694,22.542788814588658,0.1370078408111999,22.217618419137754,22.93210553859851,6.271675502802367,1.8065076497518997
5.1020408163265305,0.00018253613964067325,0.0014870866634371649,0.0,0.014857254941265179,21.939512708381336,0.11236402782820243,21.68137911034307,22.2276739153683,6.271675502802367,1.8065076497518997
5.127551020408164,0.00018049080677420506,0.0008813075783864224,0.0,0.006646838013664529,21.379536163688194,0.11436002821682856,21.10583709941263,21.59836509538505,6.271675502802367,1.8065076497518997
5.153061224489796,0.0001494096467229806,0.0005432443697392049,0.0,0.0028344525527016946,20.801935404997927,0.1323054186895903,20.453068662333948,21.222122018750994,6.271675502802367,1.8065076497518997
5.178571428571429,0.0002726062772030557,0.0009629760655115612,0.0,0.007675092838261516,20.230994463230243,0.13205182804732607,19.903793964064135,20.597892073851437,6.271675502802367,1.8065076497518997
5.204081632653061,0.0003097981860991776,0.0012341690382579604,0.0,0.011675913578786131,19.6555035419723,0.10748614508606047,19.388509380664953,19.88901288224361,6.271675502802367,1.8065076497518997
5.229591836734694,0.00046914475625675335,0.0011883378568043608,0.0,0.008246079208998855,19.094116352556707,0.12352887358648422,18.851118108332628,19.36972583389643,6.271675502802367,1.8065076497518997
5.255102040816326,0.00047676297248148714,0.0013297740047822652,0.0,0.008940365801361535,18.544811936013186,0.12659504176415803,18.18665762148643,18.832075437945253,6.271675502802367,1.8065076497518997
5.280612244897959,0.0011967886661567622,0.0027027960387950153,0.0,0.015023093553762678,18.010761655982343,0.12152962575073094,17.731431387503036,18.34514774652568,6.271675502802367,1.8065076497518997
5.3061224489795915,0.0013301041394545349,0.002526115027104621,0.0,0.011217050294831575,17.463693646026574,0.12274982737645909,17.09171671616561,17.785982315106843,6.271675502802367,1.8065076497518997
5.331632653061225,0.00128403379680166,0.003038037835782478,0.0,0.024614740585176015,16.929424248537906,0.10009100775758951,16.649189614117425,17.227638622581768,6.271675502802367,1.8065076497518997
5.357142857142857,0.0019109104515606242,0.003506094488541978,0.0,0.02068767441960067,16.3876309865593,0.12045820120068924,16.002881896908335,16.67276505151509,6.271675502802367,1.8065076497518997
5.38265306122449,0.0034361107317326302,0.007913903475899875,0.0,0.06912005914656456,15.84775545251878,0.11064259774988602,15.524515838729396,16.09113990109141,6.271675502802367,1.8065076497518997
5.408163265306122,0.0038084556274227094,0.005860505347684309,0.0,0.04178755098859273,15.32204616280891,0.11860702095598862,15.033381728221118,15.751686888022695,6.271675502802367,1.8065076497518997
5.433673469387755,0.004314564609446366,0.005500859981504126,0.0,0.025125948753629394,14.828865067476855,0.11457864732539201,14.607132404143169,15.15798984924914,6.271675502802367,1.8065076497518997
5.459183673469388,0.005219223966073499,0.006035958352644358,0.0,0.03219225817610163,14.300557382331386,0.10939229294499292,14.01286382250531,14.559204423795563,6.271675502802367,1.8065076497518997
5.48469387755102,0.008821892020222896,0.009976561817170807,0.0,0.045263931991302325,13.78630651285477,0.10819403086750991,13.513168398401476,14.025392279734794,6.271675502802367,1.8065076497518997
5.510204081632653,0.008454746120427091,0.010787977183125918,0.0,0.07696487236516726,13.302324850652237,0.10690385654064154,12.977739011941697,13.512479296221855,6.271675502802367,1.8065076497518997
5.535714285714286,0.013524969535271087,0.013317900627078863,0.0003368268848240683,0.0813762796675075,12.780343099342675,0.10570778132544187,12.529630329037914,13.095132384914423,6.271675502802367,1.8065076497518997
5.561224489795919,0.016040088919481187,0.014777752062844034,0.00020905505430625604,0.09734486302500639,12.305046856242695,0.11215616710349285,11.961328422371663,12.576287572949397,6.271675502802367,1.8065076497518997
5.586734693877551,0.018340058567070036,0.013205684285316656,0.000743044736216916,0.057014118384742546,11.800629058746765,0.09760959869562438,11.534379746826993,12.050742924992552,6.271675502802367,1.8065076497518997
5.612244897959184,0.023043278706872575,0.01711444968982748,0.0024700310491278963,0.08993843892522062,11.307252394776294,0.09855584314018438,11.027069424611456,11.548496469328835,6.271675502802367,1.8065076497518997
5.637755102040816,0.031279389634750465,0.01830498652683209,0.004486689996369791,0.09025246916118985,10.846218567041635,0.10240096901109916,10.595689094587234,11.10966663803268,6.271675502802367,1.8065076497518997
5.663265306122449,0.040520029923892024,0.02597274079222627,0.0030749981444108676,0.14569293814001735,10.368277373572086,0.11828148936643047,10.01328009910916,10.751367458710499,6.271675502802367,1.8065076497518997
5.688775510204081,0.05149018538656249,0.024572006256654046,0.008886508803942475,0.1461903694037517,9.889099573558973,0.09800393225366404,9.663401766352886,10.078959856501555,6.271675502802367,1.8065076497518997
5.714285714285714,0.06073292181269814,0.029641460179085748,0.013341771996257867,0.14432289664267317,9.440470442263196,0.11158279609868064,9.093741635016011,9.789895541448896,6.271675502802367,1.8065076497518997
