x,y,z
-7.864326020900000458e+01,3.495102757381999936e+02,2.354846667320000009e+01
-7.864519973699989919e+01,3.495091598441999849e+02,2.354747017220000060e+01
-7.864625510899999483e+01,3.495101012132000164e+02,2.354746661620000125e+01
-7.864331676300000140e+01,3.495112670501999901e+02,2.354646315020000102e+01
-7.864425791699990498e+01,3.495102081552000186e+02,2.354546667019999973e+01
-7.864314554700000315e+01,3.495082684181999753e+02,2.354547376120000024e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864425791699990498e+01,3.495102081552000186e+02,2.354546667019999973e+01
-7.864525651299989306e+01,3.495101546842000175e+02,2.354646664319999871e+01
-7.864320276700000534e+01,3.495092703142000232e+02,2.354647022019999980e+01
-7.864420114099999637e+01,3.495092133151999860e+02,2.354647019920000162e+01
-7.864525629099989601e+01,3.495101511561999814e+02,2.354546664920000154e+01
-7.864525629099989601e+01,3.495101511561999814e+02,2.354546664920000154e+01
-7.864320276700000534e+01,3.495092703142000232e+02,2.354647022019999980e+01
-7.864320276700000534e+01,3.495092703142000232e+02,2.354647022019999980e+01
-7.864425769499989372e+01,3.495102046271999825e+02,2.354446667619999900e+01
-7.864525629099989601e+01,3.495101511561999814e+02,2.354546664920000154e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864514207299990289e+01,3.495081508921999784e+02,2.354447372519999959e+01
-7.864525606899989896e+01,3.495101476282000021e+02,2.354446665520000082e+01
-7.864425769499989372e+01,3.495102046271999825e+02,2.354446667619999900e+01
-7.864519973699989919e+01,3.495091598441999849e+02,2.354747017220000060e+01
-7.864614089100000172e+01,3.495081009492000135e+02,2.354647369219999931e+01
-7.864425769499989372e+01,3.495102046271999825e+02,2.354446667619999900e+01
-7.864425747299989666e+01,3.495102010992000032e+02,2.354346668219999827e+01
-7.864425791699990498e+01,3.495102081552000186e+02,2.354546667019999973e+01
-7.864420069699990279e+01,3.495092062592000275e+02,2.354447021120000016e+01
-7.864519951499990214e+01,3.495091563162000057e+02,2.354647017819999988e+01
-7.864519907099989382e+01,3.495091492601999903e+02,2.354447019019999843e+01
-7.864320254499999407e+01,3.495092667861999871e+02,2.354547022619999908e+01
-7.864420069699990279e+01,3.495092062592000275e+02,2.354447021120000016e+01
-7.864519929299990508e+01,3.495091527882000264e+02,2.354547018419999915e+01
-7.864420091899999932e+01,3.495092097872000068e+02,2.354547020520000089e+01
-7.864420114099999637e+01,3.495092133151999860e+02,2.354647019920000162e+01
-7.864519884899989677e+01,3.495091457322000110e+02,2.354347019620000125e+01
-7.864325954299999921e+01,3.495102651541999990e+02,2.354546669120000146e+01
-7.864431513700000664e+01,3.495112100512000097e+02,2.354646312919999929e+01
-7.864425769499989372e+01,3.495102046271999825e+02,2.354446667619999900e+01
-7.864519907099989382e+01,3.495091492601999903e+02,2.354447019019999843e+01
-7.864519907099989382e+01,3.495091492601999903e+02,2.354447019019999843e+01
-7.864420069699990279e+01,3.495092062592000275e+02,2.354447021120000016e+01
-7.864320210099999997e+01,3.495092597301999717e+02,2.354347023820000118e+01
-7.864420047499990574e+01,3.495092027311999914e+02,2.354347021719999944e+01
-7.864420069699990279e+01,3.495092062592000275e+02,2.354447021120000016e+01
-7.864320232299999702e+01,3.495092632582000078e+02,2.354447023219999835e+01
-7.864120490899999538e+01,3.495093666721999739e+02,2.354147029219999965e+01
-7.863304536900000130e+01,3.495068028641999831e+02,2.353448110720000130e+01
-7.861239080500000398e+01,3.494959130362000224e+02,2.352052403120000079e+01
-7.857655871699999750e+01,3.494648025462000192e+02,2.349164157419999910e+01
-7.851405445299990049e+01,3.494051201272000071e+02,2.344986577019999885e+01
-7.843580290699989632e+01,3.493152368941999839e+02,2.339419992919999913e+01
-7.834237494699999615e+01,3.492051506391999851e+02,2.332860867719999831e+01
-7.825410785299999361e+01,3.490977427412000225e+02,2.325400676920000009e+01
-7.817191403699999341e+01,3.490089941442000168e+02,2.317233763320000151e+01
-7.807899235700000418e+01,3.489428724631999899e+02,2.308459101520000090e+01
-7.795152812700000311e+01,3.488857590192000089e+02,2.300382034520000119e+01
-7.779263068699989958e+01,3.488394830792000221e+02,2.293101848419999911e+01
-7.759251266100000066e+01,3.488256020801999853e+02,2.285611148819999983e+01
-7.735927636899990034e+01,3.488456779342000118e+02,2.278509208319999857e+01
-7.707803371699989725e+01,3.488845523791999881e+02,2.272301709319999929e+01
-7.675049291099999493e+01,3.489370631291999985e+02,2.265390424719999984e+01
-7.639750603100000603e+01,3.490000199972000132e+02,2.257876016819999876e+01
-7.603387591699990367e+01,3.490695446702000027e+02,2.248959519419999964e+01
-7.566034491699990383e+01,3.491235519982000142e+02,2.238448706519999831e+01
-7.529697135700000388e+01,3.491449416742000267e+02,2.228349178019999854e+01
-7.493285460299999556e+01,3.491533172861999788e+02,2.217254251019999955e+01
-7.454488398700000573e+01,3.491649482422000119e+02,2.203058686019999968e+01
-7.416019396899990568e+01,3.491463219952000259e+02,2.188273719120000038e+01
-7.375919001900000183e+01,3.490875641741999971e+02,2.173603274519999928e+01
-7.336845368899990660e+01,3.490332105631999866e+02,2.158431044419999978e+01
-7.296627477900000258e+01,3.490065115392000052e+02,2.142049304320000047e+01
-7.252900893099989332e+01,3.489968329431999905e+02,2.125462338519999861e+01
-7.206333662299999787e+01,3.489808268791999808e+02,2.110678248720000028e+01
-7.159424235299999850e+01,3.489750571871999796e+02,2.096590628119999877e+01
