Tow Spacing (mm),Average Gap (%),Average Overlap (%),Intersection Spacing (mm),Intersection Gap/Overlap (%)
5.0,0.009952621360487775,23.981876837580376,6.254485143634828,1.9058761619908333
5.025510204081633,0.010610946312452834,23.381129220003153,6.254485143634828,1.9058761619908333
5.051020408163265,0.011290246359280338,22.78620942409458,6.254485143634828,1.9058761619908333
5.076530612244898,0.011986530674769128,22.197029761499405,6.254485143634828,1.9058761619908333
5.1020408163265305,0.012711621843714648,21.613519958091825,6.254485143634828,1.9058761619908333
5.127551020408164,0.013593341290280694,21.035727301313905,6.254485143634828,1.9058761619908333
5.153061224489796,0.015163961118070892,20.464105055008194,6.254485143634828,1.9058761619908333
5.178571428571429,0.017411571917619485,19.898563791264372,6.254485143634828,1.9058761619908333
5.204081632653061,0.020313644378688118,19.339004917083287,6.254485143634828,1.9058761619908333
5.229591836734694,0.024019782318710742,18.785503393435988,6.254485143634828,1.9058761619908333
5.255102040816326,0.028530546532012674,18.237986526091245,6.254485143634828,1.9058761619908333
5.280612244897959,0.03360746757080635,17.696143946291265,6.254485143634828,1.9058761619908333
5.3061224489795915,0.03900306718694655,17.159657600975642,6.254485143634828,1.9058761619908333
5.331632653061225,0.04471133213378463,16.628452196223737,6.254485143634828,1.9058761619908333
5.357142857142857,0.05076343308253829,16.102490886642972,6.254485143634828,1.9058761619908333
5.38265306122449,0.057287443788397965,15.581834965811714,6.254485143634828,1.9058761619908333
5.408163265306122,0.06461870966201817,15.066754206906827,6.254485143634828,1.9058761619908333
5.433673469387755,0.07300952053691988,14.557436508281842,6.254485143634828,1.9058761619908333
5.459183673469388,0.08251929650242103,14.053878052841881,6.254485143634828,1.9058761619908333
5.48469387755102,0.09296824199333133,13.555836936383578,6.254485143634828,1.9058761619908333
5.510204081632653,0.10459028714849478,13.063486083889932,6.254485143634828,1.9058761619908333
5.535714285714286,0.11709670495185824,12.57647684227305,6.254485143634828,1.9058761619908333
5.561224489795919,0.13050581782174359,12.09476866320914,6.254485143634828,1.9058761619908333
5.586734693877551,0.14488169256044595,11.618367774958895,6.254485143634828,1.9058761619908333
5.612244897959184,0.15989724839698435,11.146890267886597,6.254485143634828,1.9058761619908333
5.637755102040816,0.17583834094461528,10.680566156481152,6.254485143634828,1.9058761619908333
5.663265306122449,0.19315445613521304,10.219790051923484,6.254485143634828,1.9058761619908333
5.688775510204081,0.21204514553832707,9.76470757659085,6.254485143634828,1.9058761619908333
5.714285714285714,0.23223513133475016,9.314990448751306,6.254485143634828,1.9058761619908333
5.739795918367347,0.2535316049488967,8.870393761436826,6.254485143634828,1.9058761619908333
5.76530612244898,0.2761548543318051,8.431086590470997,6.254485143634828,1.9058761619908333
5.790816326530612,0.3006062177260311,7.997519929468158,6.254485143634828,1.9058761619908333
5.816326530612245,0.32776158674869815,7.570520174625135,6.254485143634828,1.9058761619908333
5.841836734693878,0.35802525639416716,7.150442956893799,6.254485143634828,1.9058761619908333
5.86734693877551,0.39193053151253554,6.737773731076703,6.254485143634828,1.9058761619908333
5.892857142857143,0.4294263167886914,6.332414348857422,6.254485143634828,1.9058761619908333
5.918367346938775,0.4717198297158976,5.93552575524745,6.254485143634828,1.9058761619908333
5.9438775510204085,0.5211338019885011,5.54938517386149,6.254485143634828,1.9058761619908333
