width_LLS_B,Weights,error_LLS_B
6.297133474843930045e+00,9.968600537734609857e-01,-5.286652515606959923e-02
6.272127549723459872e+00,9.931152827279999817e-01,-7.787245027653977303e-02
6.285378747537810007e+00,9.827622998440079805e-01,-6.462125246218963781e-02
6.335443946559699668e+00,9.921165538259320016e-01,-1.455605344029997639e-02
6.422426332781090430e+00,1.004456130509840062e+00,7.242633278109078532e-02
6.446143420681860192e+00,1.008715871725029967e+00,9.614342068186054746e-02
6.410137596027089657e+00,1.006507989466510100e+00,6.013759602709001229e-02
6.399290741949450023e+00,1.000440708844009929e+00,4.929074194945037846e-02
6.375373400829159820e+00,1.001739606338019950e+00,2.537340082916017536e-02
6.378195983191489837e+00,1.000334367157230009e+00,2.819598319149019261e-02
6.365321751490649937e+00,9.950659950696689737e-01,1.532175149065029274e-02
6.404450952267490393e+00,9.977544172773069597e-01,5.445095226749074868e-02
6.414371130516220099e+00,9.914030639987100324e-01,6.437113051622045390e-02
6.348397041773620408e+00,9.935778743902610177e-01,-1.602958226379236351e-03
6.333189559771599697e+00,1.000941655750869907e+00,-1.681044022839994767e-02
6.332205382013439632e+00,1.005172347136999988e+00,-1.779461798656001292e-02
6.336284084540399597e+00,1.007524890871630108e+00,-1.371591545960004765e-02
6.347312659700950377e+00,9.997241899953900335e-01,-2.687340299049267855e-03
6.311182535785190062e+00,1.010282370222010062e+00,-3.881746421480958276e-02
6.311248450187970427e+00,1.010511139780249978e+00,-3.875154981202921789e-02
6.315182420168079958e+00,9.967826969976080198e-01,-3.481757983191968719e-02
6.350119762650150435e+00,9.963098506260029685e-01,1.197626501507897956e-04
6.362138634138680082e+00,1.004764243391000011e+00,1.213863413868043750e-02
6.374237287707449795e+00,9.950373092386850526e-01,2.423728770745015026e-02
6.374196106176840182e+00,9.950751169887810388e-01,2.419610617684053722e-02
6.310314492955169996e+00,1.003355529130659951e+00,-3.968550704482964875e-02
6.259176463401559865e+00,1.004915874271339993e+00,-9.082353659843978022e-02
6.259127814639989573e+00,1.005188304571009938e+00,-9.087218536001007152e-02
6.297257974706130135e+00,1.009308537055189969e+00,-5.274202529386950999e-02
6.320222227105629642e+00,9.966374729902499618e-01,-2.977777289437000263e-02
6.332420785134229568e+00,1.001061565892519933e+00,-1.757921486577007641e-02
6.306304781724399788e+00,9.939518234895979854e-01,-4.369521827559985638e-02
6.305182709485899650e+00,9.972128799839909963e-01,-4.481729051409999443e-02
6.328275041431120407e+00,1.002255907677489954e+00,-2.172495856887923793e-02
6.303388691806969923e+00,9.928043126480670111e-01,-4.661130819302972128e-02
6.303335148950909961e+00,9.939153492743320051e-01,-4.666485104908968395e-02
6.292495927690380242e+00,1.002740654703200063e+00,-5.750407230961940286e-02
6.268127631119200238e+00,1.004629879180400032e+00,-8.187236888079940655e-02
6.267161558472859717e+00,1.003825162910600088e+00,-8.283844152713992770e-02
6.269250114646889749e+00,9.884134020223409589e-01,-8.074988535310989590e-02
6.269390799750800269e+00,9.975200645449270320e-01,-8.060920024919937532e-02
6.267067097135630149e+00,1.001936925828629921e+00,-8.293290286436949543e-02
6.282424134042529751e+00,9.969355276061869775e-01,-6.757586595746989389e-02
6.281258631834869988e+00,9.996730210857249777e-01,-6.874136816512965709e-02
6.280296250974149785e+00,9.960515083877340414e-01,-6.970374902584985932e-02
6.254317308867530123e+00,9.920163211554809957e-01,-9.568269113246952173e-02
6.265147564104140088e+00,1.001674035074729963e+00,-8.485243589585955704e-02
6.251233238329859887e+00,9.983861646499919695e-01,-9.876676167013975771e-02
6.263176350702569728e+00,9.995324550458279944e-01,-8.682364929742991677e-02
6.286133708409329834e+00,1.005402642634990018e+00,-6.386629159066981032e-02
6.312133157657560112e+00,9.972054267434710129e-01,-3.786684234243953284e-02
6.338364773346509828e+00,1.000500250344749986e+00,-1.163522665348981633e-02
6.302167880975559910e+00,1.002237693160759946e+00,-4.783211902443973429e-02
6.364567620820760219e+00,1.003648251992850016e+00,1.456762082076057396e-02
6.276412988323819775e+00,1.004150225729580015e+00,-7.358701167617986982e-02
6.262127753407780162e+00,9.849856449026029859e-01,-8.787224659221948286e-02
6.261604426981950411e+00,9.991497459966780514e-01,-8.839557301804923384e-02
6.197373072520320214e+00,1.000900842673140057e+00,-1.526269274796794306e-01
6.194116563320389623e+00,1.000468040884320065e+00,-1.558834366796100213e-01
6.208063144008770351e+00,1.008789405904670033e+00,-1.419368559912292937e-01
6.155263926104230343e+00,1.000384678945990036e+00,-1.947360738957693016e-01
6.183210331211450139e+00,1.005122118846669910e+00,-1.667896687885495055e-01
6.169194598973190224e+00,1.001572509079400097e+00,-1.808054010268094203e-01
6.193262306733020139e+00,1.003081163553070088e+00,-1.567376932669795053e-01
6.217350319870999620e+00,1.001381557209189976e+00,-1.326496801290000249e-01
6.244076953401520136e+00,9.956147872106819730e-01,-1.059230465984795089e-01
6.228260832688370385e+00,9.965667105555480187e-01,-1.217391673116292594e-01
6.229526627280759676e+00,9.968127544903649939e-01,-1.204733727192399684e-01
6.203128968512589658e+00,9.968914250960839718e-01,-1.468710314874099865e-01
6.217243279782450394e+00,1.004600237969879961e+00,-1.327567202175492511e-01
6.216329463598269989e+00,1.004390534146659908e+00,-1.336705364017296560e-01
6.191341211724649796e+00,9.979680310581520164e-01,-1.586587882753498491e-01
6.179218801758030288e+00,9.988130239745800498e-01,-1.707811982419693564e-01
6.216177684075639753e+00,1.005096249567339894e+00,-1.338223159243598914e-01
6.241225040006169955e+00,9.998799357970470369e-01,-1.087749599938296896e-01
6.241278875358799993e+00,9.963304877201409893e-01,-1.087211246411996513e-01
6.252278384717049775e+00,9.965098707676219858e-01,-9.772161528294986965e-02
6.251461989007050413e+00,1.002474274947209976e+00,-9.853801099294923205e-02
6.212261504476449758e+00,1.003783618622120066e+00,-1.377384955235498865e-01
6.224270238349229878e+00,9.905282119416469744e-01,-1.257297616507697668e-01
6.222279726916820408e+00,9.987306101765379696e-01,-1.277202730831792366e-01
6.236208543658560366e+00,1.002640656558940080e+00,-1.137914563414392788e-01
6.236404172277479674e+00,1.007269817916609966e+00,-1.135958277225199708e-01
6.262297102501610091e+00,1.007969453623559941e+00,-8.770289749838955373e-02
6.288147024362579884e+00,1.002905248329390098e+00,-6.185297563741976035e-02
6.263199581683469575e+00,9.936056024576259693e-01,-8.680041831653007023e-02
6.275277364387969570e+00,9.993951707119259620e-01,-7.472263561203007498e-02
6.273092140244710180e+00,1.004445253925309922e+00,-7.690785975528946494e-02
6.262287441502509822e+00,1.003230375852089962e+00,-8.771255849748982314e-02
6.273589482903710213e+00,9.955628002658349907e-01,-7.641051709628943200e-02
6.286435556020600224e+00,9.983711439240060548e-01,-6.356444397939942093e-02
6.288447264627410327e+00,1.007501541821600011e+00,-6.155273537258931782e-02
6.261327095752149852e+00,1.003898357722309953e+00,-8.867290424784979308e-02
6.274109100103379966e+00,9.971435010163040014e-01,-7.589089989661967905e-02
6.274296534273780424e+00,9.971208974218019883e-01,-7.570346572621922121e-02
6.273336751681680035e+00,1.002447167838180109e+00,-7.666324831831961006e-02
6.287206852013060399e+00,1.000314093898490020e+00,-6.279314798693924615e-02
6.274436389031290418e+00,9.958783084176819900e-01,-7.556361096870922722e-02
6.224192879402120404e+00,9.952781092156489651e-01,-1.258071205978792406e-01
6.184129364752969593e+00,9.956042252390040481e-01,-1.658706352470300516e-01
6.185253511376879842e+00,9.999267432806190348e-01,-1.647464886231198022e-01
6.185331114823200416e+00,1.002559770002730000e+00,-1.646688851767992290e-01
6.173254004169920428e+00,1.001692788690810021e+00,-1.767459958300792167e-01
6.161332404602109847e+00,9.989513991834549911e-01,-1.886675953978897979e-01
6.224580387463880093e+00,1.005340222506670100e+00,-1.254196125361195513e-01
6.239438836946799682e+00,1.001593291058870072e+00,-1.105611630531999623e-01
6.223243045229709836e+00,1.003060528189199996e+00,-1.267569547702898092e-01
6.288508885260480241e+00,9.953141700452740048e-01,-6.149111473951940354e-02
6.313285119492070052e+00,9.999737045215399966e-01,-3.671488050792959257e-02
6.339247352801439916e+00,9.997979589879929518e-01,-1.075264719855972828e-02
6.301206392429950398e+00,1.003951032276090061e+00,-4.879360757004924665e-02
6.288120943493369808e+00,9.993018261841219996e-01,-6.187905650662983703e-02
6.324334036086329824e+00,9.976946599639570090e-01,-2.566596391366982033e-02
6.313146442147529847e+00,1.000110015731400015e+00,-3.685355785246979821e-02
6.313294702451329954e+00,1.005166936030930103e+00,-3.670529754866969085e-02
6.313167588461440438e+00,9.987761474800309625e-01,-3.683241153855920658e-02
6.377501783614020425e+00,1.001774475812249987e+00,2.750178361402078053e-02
6.388488475375059927e+00,9.924846275482830382e-01,3.848847537506028260e-02
6.400310070613770108e+00,9.973354365171109848e-01,5.031007061377046341e-02
6.400158201169720229e+00,9.947375208581800132e-01,5.015820116972058429e-02
6.376417881538190002e+00,1.001662015230649905e+00,2.641788153819035756e-02
6.340323020162299983e+00,1.006987353103609983e+00,-9.676979837699661857e-03
6.327376233479400369e+00,9.972853136634529658e-01,-2.262376652059927551e-02
6.340467569509369739e+00,9.940340425988859474e-01,-9.532430490629906217e-03
6.264369082357779561e+00,9.983595349432979882e-01,-8.563091764222008351e-02
6.343221421328440357e+00,1.001193190359030094e+00,-6.778578671559287727e-03
6.252414573586749569e+00,1.002241407853099897e+00,-9.758542641325007594e-02
6.251141095832020156e+00,9.980540855551820467e-01,-9.885890416797948888e-02
6.240200317297509791e+00,9.997004034733180111e-01,-1.097996827024898536e-01
6.227371275265349837e+00,9.928925989498740279e-01,-1.226287247346498077e-01
6.240054166431569627e+00,9.993740115370379762e-01,-1.099458335684300181e-01
6.290305556966210077e+00,1.001938939955280050e+00,-5.969444303378956818e-02
6.262316903511029764e+00,1.001183469308499996e+00,-8.768309648896988051e-02
6.225072288736890336e+00,9.980813092645199891e-01,-1.249277112631093090e-01
6.186430715687359694e+00,1.000305450159959975e+00,-1.635692843126399509e-01
6.199201642147159852e+00,1.005388326217609984e+00,-1.507983578528397928e-01
6.224192879402120404e+00,1.006511890388430031e+00,-1.258071205978792406e-01
6.263277895798649908e+00,1.007108760022380034e+00,-8.672210420134973674e-02
6.275368435398830158e+00,1.000908981172129897e+00,-7.463156460116948665e-02
6.324323837375819934e+00,1.004556042722170028e+00,-2.567616262417971029e-02
