time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.790000000000000036e+00,9.830999999999999517e+00,6.041000000000000369e+00,3.097274929999950244e-01,2.116264833651999879e+02,-2.086623707999639976e-01
8.999999999999999320e-03,3.789000000000000146e+00,9.832000000000000739e+00,6.043000000000000149e+00,7.561434536000084528e-01,2.116231424724999783e+02,-2.031512396999891890e-01
1.000000000000000021e-02,3.787555555555555564e+00,9.829222222222222527e+00,6.041666666666666963e+00,8.057452270000099448e-01,2.116227712621999899e+02,-2.025388917999919880e-01
1.799999999999999864e-02,3.775999999999999801e+00,9.807000000000000384e+00,6.030999999999999694e+00,1.202720268600041997e+00,2.116310204334000105e+02,-2.000796694000031850e-01
2.000000000000000042e-02,3.779111111111110866e+00,9.806333333333332902e+00,6.027222222222222037e+00,1.301964029000050038e+00,2.116330827262000014e+02,-1.994648638000059981e-01
2.699999999999999969e-02,3.790000000000000036e+00,9.804000000000000270e+00,6.014000000000000234e+00,1.647020801200043127e+00,2.116436802803000035e+02,-1.959254692000094999e-01
2.999999999999999889e-02,3.779875000000000096e+00,9.794624999999999915e+00,6.014750000000000263e+00,1.794902275000040071e+00,2.116482220892000043e+02,-1.944085858000109968e-01
3.500000000000000333e-02,3.762999999999999901e+00,9.778999999999999915e+00,6.016000000000000014e+00,2.037049487000035075e+00,2.116525436992000095e+02,-1.908699423000079776e-01
4.000000000000000083e-02,3.755777777777777882e+00,9.772333333333332206e+00,6.016555555555555657e+00,2.279196699000030080e+00,2.116568653091999863e+02,-1.873312988000049861e-01
4.399999999999999745e-02,3.750000000000000000e+00,9.766999999999999460e+00,6.017000000000000348e+00,2.469320677400034025e+00,2.116601117559999921e+02,-1.861004499999882045e-01
5.000000000000000278e-02,3.759749999999999925e+00,9.767750000000001265e+00,6.008000000000000007e+00,2.754506645000040166e+00,2.116649814262000007e+02,-1.842541767999630042e-01
5.199999999999999761e-02,3.762999999999999901e+00,9.768000000000000682e+00,6.004999999999999893e+00,2.852473181000029889e+00,2.116683631569999875e+02,-1.864443285999677902e-01
5.999999999999999778e-02,3.762999999999999901e+00,9.777777777777778567e+00,6.014777777777777779e+00,3.244339324999990115e+00,2.116818900801999916e+02,-1.952049357999869894e-01
6.099999999999999867e-02,3.762999999999999901e+00,9.778999999999999915e+00,6.016000000000000014e+00,3.294123806999992077e+00,2.116818276632999982e+02,-1.951936405999869784e-01
7.000000000000000666e-02,3.802000000000000046e+00,9.804999999999999716e+00,6.003000000000000114e+00,3.742184145000010176e+00,2.116812659112000006e+02,-1.950919837999869899e-01
7.900000000000000078e-02,3.801000000000000156e+00,9.816000000000000725e+00,6.014999999999999680e+00,4.199304579600046772e+00,2.116641159846000164e+02,-1.886297461999816016e-01
8.000000000000000167e-02,3.797874999999999890e+00,9.812750000000001194e+00,6.014874999999999972e+00,4.250095739000050443e+00,2.116622104372000024e+02,-1.879117197999810029e-01
8.699999999999999400e-02,3.775999999999999801e+00,9.789999999999999147e+00,6.014000000000000234e+00,4.604019034600028704e+00,2.116648782653000183e+02,-1.906424169999957063e-01
8.999999999999999667e-02,3.775999999999999801e+00,9.789999999999999147e+00,6.014000000000000234e+00,4.755700447000020148e+00,2.116660216202000129e+02,-1.918127158000020038e-01
