Simulation,Gap_%,Overlap_%,Total_layout_area_mm2,Gap_area_mm2,Overlap_area_mm2
1,2.1370195452236644,1.3917565718924703,94913.74887340909,2028.325364529258,1320.9683375751865
2,2.4469090313226887,1.25088845119235,95079.04583329178,2326.497759390255,1189.332803832528
3,2.7816287375574005,1.6431255287337927,95038.40605919244,2643.6156146589906,1561.6003120602745
4,2.5690784199832963,1.1903615804916599,95203.10872520886,2445.8425214125755,1133.2612296985894
5,2.1133895963859888,1.0993334650465696,94838.97825697201,2004.3170998016162,1042.596625887133
6,2.52925586635704,1.29742088667809,95203.46969202987,2407.939342161112,1235.1897006266408
7,2.31341214971389,0.9521384135740204,95260.56716763863,2203.7695347425133,907.0124529915686
8,2.393054895081175,1.1122949176129662,95143.09009284416,2276.8263747982996,1058.2717555626311
9,2.533257103611377,0.8732438881146765,95313.82398658688,2414.544216863857,832.3221424912505
10,2.3724602771938375,1.0727558238256008,95050.8922964294,2255.044662851085,1019.6639827081457
11,2.4289322379195664,1.3445879404005496,95024.69222441704,2308.0853834227128,1277.6905520522505
12,2.4672639105019885,0.8831132878036526,95215.3773105214,2349.2146416307933,840.8596490615986
13,2.4297018876714844,1.0521241172320974,95045.96392712201,2309.3335796928413,1000.0015089329702
14,2.748951994836342,1.192955311746253,95150.03979673823,2615.628917080009,1135.0974538838625
15,2.564451783637722,0.9898170596784727,95264.96804109577,2443.024172111786,942.9489055680108
16,2.4207316899117197,0.9654122220887943,95273.83087193218,2306.323816109758,919.7852076898401
17,2.4028687683716647,1.1032866233410037,95162.64456474363,2286.6334654027605,1049.9167279003614
18,1.8955329672122367,1.1863213697072421,94801.8288935786,1796.999920197918,1124.6543550378176
19,2.8436779393473257,1.343469341059243,95085.77919039194,2703.9333262936857,1277.4482911302055
20,2.1154858092347038,0.9538612704371872,95343.94633417213,2016.987654663763,909.4489777880841
21,2.482233770738943,1.0675154405369016,95180.88029534582,2362.611953977682,1016.0705935917621
22,2.7002028053017733,1.2834825327319141,95294.54855471806,2573.1460733741574,1223.088885345539
23,2.438099396959532,1.2013825971119056,94998.15530482683,2316.1494516096627,1141.29130540953
24,2.80582611159637,1.361569805162348,95179.42040720371,2670.5690306514057,1295.9342489930154
25,2.356301434061636,0.8111054700133413,95443.11914748707,2248.927585185394,774.1443601566183
26,2.5521947280343995,1.6066773134945276,95016.9776873068,2425.0182952730656,1526.6162244701156
27,2.6477219495558337,1.4138888780926184,95191.13840558645,2520.3966655967856,1345.896918846338
28,2.4435281070727717,1.2579883174918705,95174.74094996101,2325.6215459459963,1197.2871223536608
29,3.1340923919777177,1.6033962724569755,95258.45096394702,2985.4878643768884,1527.3704519561825
30,2.4405161848938683,1.0089849477110029,95027.3661883664,2319.1582519054455,958.8118210468319
31,2.4837813337410735,1.2124009843033707,95188.57709292526,2364.276109687809,1154.0672456189986
32,2.6440583504159423,1.2830773384129108,95074.93150184775,2513.836665526843,1219.8849006118062
33,2.1372144803220188,1.0866521605531025,95175.59479619976,2034.106593716991,1034.227657172171
34,2.261105974135011,1.0360136674276919,95123.16067244817,2150.835468750771,985.4889454557662
35,2.3742403344471232,0.9561275951688459,95228.49590412661,2260.9533596431006,910.5059278035887
36,2.266355126076554,1.0775312869112756,95101.3547355139,2155.334428016567,1024.7468515516405
37,2.1909032673108966,0.9876370579604934,95013.71103785686,2081.65849952174,938.3906203533741
38,2.200075699567125,1.1389068316210964,95007.6020667555,2090.2391658121214,1082.0480704976644
39,2.2491569065573227,0.8026719143714225,95253.72099549064,2142.4056445229203,764.5748658245184
40,2.339880212500061,0.8408788581751819,95256.0091863187,2228.8765101679114,800.987642389163
41,2.3974222552303006,1.0552667862452678,95152.94053790692,2281.2177729618347,1004.117377632241
42,2.851054751983683,1.2727685382969407,95243.70075022064,2715.450056204284,1212.2318578584957
43,2.1895626855807775,0.9843818800914025,95167.84900290247,2083.7597104374104,936.8150612573183
44,2.3009282360528136,1.102858636516286,95203.54795264677,2190.56531656653,1049.9605508656887
45,2.5189449293696837,1.3187527325617672,95169.50870498002,2397.267513830134,1255.050496612533
46,2.354490066568527,1.0836947065215947,95145.38611137276,2240.1886647905426,1031.085512788479
47,2.4158233390706374,0.863991759090951,95332.71322041875,2303.0699357481553,823.6667859422275
48,2.332285655044216,1.167831672944521,94973.23276074331,2215.04708381057,1109.1274929992826
49,2.5173674674837625,0.9517326204348928,95145.6681691484,2395.1660972101954,905.5323608965238
50,2.5616212255053386,0.887766870184174,95365.91930405467,2442.9136307909575,846.627037027971
51,2.26271704031465,1.1038593156498577,95034.23135570087,2150.355747017492,1049.0442158761423
52,2.3803072951585365,1.162118329157509,95198.15777602108,2266.0086943991632,1106.3152405354253
53,2.657869131306728,1.1293356716627285,95301.42788862891,2532.987233546409,1076.2730207502182
54,2.6707138185644257,1.2952915923538366,95257.9175336875,2544.0663668488974,1233.8677968652053
55,2.9050711214657845,1.756485916595546,94934.4606737059,2757.913601351122,1667.5104317295811
56,2.423638088405596,1.4201718742471998,94999.72784760068,2302.4495879961078,1349.1594155030095
57,2.2420772177572257,1.103423272002747,95128.40819643016,2132.852367787258,1049.668994325179
58,2.3492172163340252,1.1877994611946552,95107.52445472573,2234.28233851951,1129.6866630288073
59,2.5911223900902147,1.2377456277997363,95223.34990713201,2467.3535400376472,1178.6228501199707
60,2.2854646537559544,0.9124263381917967,95081.99247019904,2173.065329993297,867.553142175637
61,2.420373828045352,0.9296189439561859,95251.8968509005,2305.451982095951,885.4796776035769
62,2.3452164126753043,1.1470420785555728,95166.81118733498,2231.8676753850978,1091.6033691382647
63,2.1982820748812366,1.1707111226723868,94964.23186080644,2087.581686544764,1111.7568249548553
64,2.595984601339748,1.2632816442264323,95176.33252611752,2470.762936497925,1202.3451384503542
65,2.435378527570555,1.083079371673175,95280.94790330561,2320.4517461027917,1031.9682918753676
66,2.2434239570910677,0.9464832160306682,95034.00615442378,2132.0156614517427,899.4809177731734
67,2.5224562273532047,1.3055945576822432,95069.47202715187,2398.0858174607056,1241.2218528037374
68,2.2728987298940653,0.9814653861694167,95209.3739533292,2164.0126513253103,934.4470497405264
69,2.2737749445322706,1.0628538893633395,95053.47021266488,2161.301989604019,1010.2795051301321
70,2.3113951995835453,1.30210572340932,94948.85217059246,2194.6432111307513,1236.334438424739
71,2.323268780192924,1.2427478068430349,95025.89424836294,2207.7069341713595,1180.932216704512
72,2.4380261848139098,1.1658759297053725,95252.69091587662,2322.285546268932,1110.5281957848613
73,2.699186224966859,1.4835164609343765,95173.84201146169,2568.919233345095,1411.9196127437115
74,2.303839559832683,0.9439893710757177,95272.50927535741,2194.9257583309463,899.3623611165012
75,2.330607158231295,1.1706412146219052,95025.08437081942,2214.6614184616446,1112.4028018740505
76,2.5258278972000996,1.1595440311276912,95220.00471068328,2405.0934426976874,1104.1178810622343
77,2.1409693182710825,1.1400895689112196,95044.91837643177,2034.882541015198,1083.5972001898815
78,2.5190438061883933,1.5075500567316826,95052.14805571827,2394.4052482465922,1432.9587119386636
79,2.7090046023804355,1.285543341443775,95118.6529494637,2576.7686861232455,1222.7915094628436
80,2.6498301349414386,1.0466987346276442,95410.79951734596,2528.224117599194,998.6636312461785
81,2.6652619945145717,1.036240428577552,95158.28405068722,2536.217579435188,986.0686104738854
82,2.60950375749233,1.6369462954777467,94933.73208081002,2477.299305776439,1554.0142104555887
83,2.556668192149728,1.077984634329876,95005.1533864672,2428.966537534867,1024.1409553276462
84,2.3764206649781,1.0987548852035567,95288.96233173244,2264.466592294488,1046.992128679687
85,2.471168016654859,1.2835684143508996,95181.20112531891,2352.0874000768154,1221.7158340443966
86,2.56892738523229,0.965929547133826,95406.22779804611,2450.916713121108,921.5569441071332
87,2.019127567180639,1.266740086896296,94838.46633707559,1914.9096181032237,1201.3568708893856
88,2.2643332666340212,0.8451924035873662,95213.51600390926,2155.9513172084253,804.7374044534823
89,2.268943126960848,1.1627142194677018,94972.50468690791,2154.8721175961664,1104.258816579308
90,2.6923451789124972,1.3475015496981582,95305.10633401437,2565.942435641265,1284.2377847923212
91,2.4349984243064378,1.0452142193682419,95095.35883488151,2315.570489217918,993.9502125014353
92,2.3969330154601125,1.1430666934613591,95131.42594653188,2280.2365565904106,1087.4156450096634
93,2.5001979828602927,1.2006935850932152,94916.66684260179,2373.1045897969543,1139.6583299634185
94,2.3852813180305485,1.3315919861682814,95011.36351651416,2266.288303965505,1265.1637025351167
95,2.4893525792248288,0.9857517892648172,95430.27868617413,2375.5961038357177,940.705679649363
96,2.3592745758830307,1.1351070565853758,95016.48536601602,2241.699782138036,1078.5388303090588
97,2.6659201698348287,1.2895040973969678,95014.20467885846,2533.002846741835,1225.2120624430213
98,2.2391182046502647,1.0170434592573663,94976.2398456953,2126.6302764772618,965.9496351992324
99,2.6580054437801364,1.0813585436491184,95199.93005145225,2530.4193232424827,1029.4525771593635
100,2.3814164616678344,1.0850778684551599,95318.43949463876,2269.929009130222,1034.2792915131474
101,2.4073995281014766,0.9868561699079106,95370.68384104432,2295.9533927364523,941.1714777687125
102,2.3168729533188976,1.0983820661285801,95010.51797461766,2201.272993762106,1043.5784903690715
103,2.235585183751966,1.1415134198409107,95077.59491057851,2125.5406248886065,1085.3235051662323
104,2.2312976773931394,1.1710352053215138,94793.66592502559,2115.128866100908,1110.0672003969134
105,2.4098846174850195,1.0328645972912192,94908.07781119115,2287.1751679226086,980.2719356813964
106,2.5183653249184434,1.2829079654186535,95062.72432848233,2394.026686411308,1219.567262554076
107,2.678934749957424,1.0943922693423296,95586.01070692402,2560.6868569258118,1046.085911749308
108,2.30714719330969,1.0300998105063788,95129.12284147964,2194.7688876573247,979.9249141264619
109,2.1524504049110273,1.0268086626506483,95196.83499737747,2049.064660363534,977.4893483223159
110,2.6681416269463494,1.3162373598497263,95152.43331980912,2538.801682458195,1252.4318761614268
111,2.9608206983138183,1.416495713653699,95351.22533018848,2823.1788156720686,1350.6460197183999
112,2.5365282872873274,1.1645113277214516,95255.89091829312,2416.1926184500653,1109.2656400655128
113,2.254714744209587,0.927243260565066,94945.95965134619,2140.760551290188,880.3800120459344
114,2.3685165457394177,1.0740650285975748,95311.95090192818,2257.479327179199,1023.7123327117015
115,2.5645545707378314,1.3164590021442673,95187.62784647866,2441.138660713785,1253.1060957125517
116,2.4077446351761824,1.1410765941726693,94972.79738889335,2286.702434007825,1083.712361835694
