time,width_CAM,center_CAM,error_CAM,width_LLS_B,center_LLS_B,width error_LLS_B,width_LLS_A,center_LLS_A,width error_LLS_A,x,y,z,error_LT,z error
6.4429999999993015,6.2447952,-0.19116719999999998,12.5947952,6.3200969138139,0.4850000000000001,-0.029903086186100047,6.00033817479183,-2.0685000000000002,-0.3496618252081696,204.82814070999996,474.1084625892,-0.114204275799998,-0.8915374108000265,3.885795724200002
6.459000000002561,6.1810728,-0.22302840000000002,12.5310728,6.31828489386162,0.40900000000000003,-0.03171510613838002,6.11301588636649,-2.0309999999999997,-0.23698411363350935,208.80461293599996,474.1082954832,-0.0633187607999859,-0.8917045168000186,3.936681239200014
6.474999999998545,6.1014198,-0.19913249999999993,12.4514198,6.28918317430809,0.39549999999999996,-0.06081682569190949,6.12337633448766,-2.0444999999999998,-0.22662366551233948,210.81949658399995,474.1502494132,-0.0520184777999624,-0.8497505867999848,3.9479815222000374
6.491000000001804,6.1810728,-0.23895899999999992,12.5310728,6.27427740859456,0.2999999999999998,-0.07572259140544002,6.14098699939261,-2.081,-0.20901300060738937,214.84523782599996,474.1818643122,-0.0232342747999996,-0.8181356878000088,3.9767657252000004
6.50800000000163,6.1970034,-0.21506310000000006,12.5470034,6.28445956308098,0.31899999999999995,-0.06554043691901956,6.07491821268082,-2.103,-0.27508178731917976,218.82620292599995,474.1907452492,-0.0353800917999751,-0.8092547507999939,3.964619908200025
6.5239999999976135,6.1492116,-0.2070978000000001,12.499211599999999,6.27219140332946,0.28800000000000003,-0.07780859667053974,6.07262037416203,-2.1105,-0.2773796258379697,222.83763240799996,474.1572622142,-0.0563697267999677,-0.8427377858000114,3.943630273200032
6.540000000000873,6.3881706,-0.2469243000000001,12.7381706,6.26239123658048,0.2939999999999998,-0.08760876341951995,6.10862261406915,-2.1165000000000003,-0.2413773859308499,224.85480152599996,474.1591932242,-0.0699278937999768,-0.8408067757999902,3.930072106200023
6.555999999996857,6.1810728,-0.2548895999999998,12.5310728,6.28933589498923,0.3314999999999999,-0.06066410501076991,6.04839039738468,-2.1345,-0.30160960261531944,226.83691289199996,474.1611365892,-0.0804938838000011,-0.8388634108000019,3.919506116199999
6.573000000003958,6.1970034,-0.19913249999999993,12.5470034,6.35528323523035,0.26150000000000007,0.005283235230350236,6.07985757926249,-2.128,-0.2701424207375096,230.83575965399996,474.1550549572,-0.0805828557999779,-0.8449450428000205,3.9194171442000223
6.588999999999942,6.133281,-0.23099369999999997,12.483281,6.30221453141671,0.19800000000000018,-0.04778546858328969,6.20561276170148,-2.0915000000000004,-0.14438723829851963,234.86407605999995,474.1766661102,-0.0897630327999686,-0.8233338897999829,3.9102369672000314
6.605000000003201,6.053628,-0.15930599999999995,12.403628,6.33818175820164,0.16599999999999993,-0.011818241798359885,6.18984207504455,-2.123,-0.1601579249554499,236.87043294799994,474.1749926672,-0.098310855799983,-0.8250073327999985,3.901689144200017
6.620999999999185,6.0376974,-0.23099369999999997,12.3876974,6.31024848956046,0.10299999999999998,-0.039751510439539395,6.15649416718593,-2.1039999999999996,-0.1935058328140693,240.85268118999997,474.1789422912,-0.109438982799984,-0.8210577088000264,3.890561017200016
6.6379999999990105,6.0376974,-0.19913250000000016,12.3876974,6.29930512040812,0.10850000000000004,-0.05069487959187935,6.12578392425696,-2.1285,-0.2242160757430396,244.87298163999995,474.1830611412,-0.120559241799984,-0.816938858799972,3.879440758200016
6.65400000000227,6.1014198,-0.2309937000000002,12.4514198,6.27416137822419,0.09600000000000009,-0.07583862177580958,6.23320469789347,-2.1159999999999997,-0.11679530210652977,248.86706274799997,474.1727292662,-0.112634226799978,-0.8272707337999918,3.887365773200022
6.669999999998254,6.1492116,-0.15930599999999995,12.499211599999999,6.31315333252726,0.0774999999999999,-0.0368466674727399,6.14252426483061,-2.1095,-0.20747573516938989,250.85530039399995,474.1550784662,-0.0981295617999691,-0.8449215338000045,3.901870438200031
6.686000000001513,6.1492116,-0.15930599999999995,12.499211599999999,6.30110283997968,0.09650000000000003,-0.04889716002031985,6.17785779266214,-2.105,-0.1721422073378598,252.84946928799997,474.1387997802,-0.0746283598000008,-0.8612002198000255,3.9253716401999994
6.703000000001339,6.1651422,-0.19913250000000016,12.5151422,6.27436849411955,0.08400000000000007,-0.07563150588044998,6.14983336199339,-2.1435,-0.2001666380066096,256.83456462799995,474.1630470722,-0.0568272768000049,-0.8369529277999845,3.943172723199995
6.7189999999973224,6.1651422,-0.19913250000000016,12.5151422,6.25909234633904,0.014499999999999957,-0.09090765366095965,6.06770572318312,-2.1605,-0.2822942768168799,260.83985135999995,474.1143341722,-0.0367642797999994,-0.8856658277999827,3.9632357202000006
6.735000000000582,6.053628,-0.23895899999999992,12.403628,6.25410361282894,-0.062000000000000055,-0.09589638717105942,6.22699953352723,-2.074,-0.12300046647276996,262.824471568,474.1074203352,-0.0432984368000045,-0.892579664799996,3.9567015631999953
6.751000000003842,6.1492116,-0.23895899999999992,12.499211599999999,6.33044429720379,-0.139,-0.019555702796209218,6.0857796841788,-2.1300000000000003,-0.2642203158211993,266.83632748799994,474.1190948332,-0.0474471857999999,-0.8809051668000052,3.9525528142
6.768000000003667,6.1014198,-0.19913249999999993,12.4514198,6.2814477630559,-0.10050000000000003,-0.0685522369440994,6.12933462950968,-2.1174999999999997,-0.22066537049031965,270.86210186999995,474.1325939092,-0.0435992237999576,-0.8674060907999888,3.9564007762000424
6.783999999999651,6.1492116,-0.15930599999999995,12.499211599999999,6.24523346240955,-0.08150000000000013,-0.10476653759045007,6.10497024735803,-2.104,-0.2450297526419698,274.838151474,474.1222943962,-0.0186782238000132,-0.8777056037999955,3.981321776199987
6.80000000000291,6.2288646,-0.18320190000000003,12.5788646,6.26019967732659,-0.08800000000000008,-0.0898003226734092,6.12119932216944,-2.048,-0.22880067783055935,276.848724744,474.1169366212,-0.00421196080000352,-0.8830633787999886,3.9957880391999967
6.815999999998894,6.212934,-0.15930599999999995,12.562933999999998,6.24545034405046,-0.06950000000000012,-0.10454965594953958,6.0931878339731,-2.048,-0.2568121660268998,278.84823286599993,474.1299531522,0.00318696920000194,-0.8700468477999834,4.0031869692000015
6.832999999998719,6.212934,-0.17523660000000008,12.562933999999998,6.21924320154792,-0.056499999999999995,-0.13075679845207944,6.03141537361323,-2.067,-0.31858462638676954,282.85389503199997,474.1273008972,0.0130874792000157,-0.872699102800027,4.013087479200015
6.849000000001979,6.1492116,-0.17523659999999985,12.499211599999999,6.22534986968604,-0.08750000000000013,-0.12465013031395955,6.04114557386307,-2.0599999999999996,-0.3088544261369295,284.85317356599995,474.1092504942,0.0195959581999874,-0.8907495057999881,4.019595958199988
6.864999999997963,6.0854892,-0.17523660000000008,12.4354892,6.20907247501589,-0.13150000000000017,-0.14092752498411,6.06527428595686,-2.0345,-0.28472571404314007,290.82569049399996,474.1126149552,0.000912596200006055,-0.8873850447999985,4.000912596200006
6.881000000001222,6.0854892,-0.25488960000000005,12.4354892,6.21037229157802,-0.14500000000000002,-0.1396277084219797,6.14623250214884,-2.0349999999999997,-0.20376749785115944,292.84879019399995,474.1159286632,-0.00064905180000352,-0.8840713367999911,3.9993509481999965
