time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.596999999999999975e+00,8.224999999999999645e+00,4.628000000000000114e+00,-7.850616604699999357e+01,4.996571812111999975e+02,2.299876702819999963e+01
8.000000000000000167e-03,3.597999999999999865e+00,8.275000000000000355e+00,4.676999999999999602e+00,-7.850536717019991784e+01,4.996572239879999984e+02,2.299796704979999973e+01
1.000000000000000021e-02,3.620666666666666700e+00,8.311888888888889326e+00,4.691222222222221738e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.700000000000000122e-02,3.700000000000000178e+00,8.441000000000000725e+00,4.740999999999999659e+00,-7.850586646819996872e+01,4.996571972524999978e+02,2.299846703629999922e+01
2.000000000000000042e-02,3.687000000000000277e+00,8.444333333333334579e+00,4.757333333333333414e+00,-7.850616604699999357e+01,4.996571812111999975e+02,2.299876702819999963e+01
2.599999999999999881e-02,3.661000000000000032e+00,8.451000000000000512e+00,4.790000000000000036e+00,-7.850556688939994388e+01,4.996572132937999982e+02,2.299816704439999882e+01
2.999999999999999889e-02,3.632555555555555760e+00,8.429666666666667751e+00,4.797111111111111548e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
3.500000000000000333e-02,3.596999999999999975e+00,8.403000000000000469e+00,4.806000000000000050e+00,-7.850466826399994602e+01,4.996572631816999888e+02,2.299776706569999973e+01
4.000000000000000083e-02,3.613250000000000295e+00,8.443000000000001393e+00,4.829750000000000654e+00,-7.850416907700000024e+01,4.996572916811999789e+02,2.299776707619999883e+01
4.299999999999999656e-02,3.623000000000000220e+00,8.467000000000000526e+00,4.844000000000000306e+00,-7.850446858919997339e+01,4.996572745814999621e+02,2.299776706990000008e+01
5.000000000000000278e-02,3.603555555555555401e+00,8.466222222222221205e+00,4.862666666666666693e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
5.199999999999999761e-02,3.597999999999999865e+00,8.465999999999999304e+00,4.868000000000000327e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
5.999999999999999778e-02,3.572000000000000064e+00,8.477000000000000313e+00,4.905000000000000249e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
6.900000000000000577e-02,3.637000000000000011e+00,8.569000000000000838e+00,4.932000000000000384e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
7.000000000000000666e-02,3.636888888888889060e+00,8.571555555555557149e+00,4.934666666666666757e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
7.799999999999999989e-02,3.636000000000000121e+00,8.592000000000000526e+00,4.956000000000000405e+00,-7.850436875179998708e+01,4.996572802814000056e+02,2.299776707199999848e+01
8.000000000000000167e-02,3.636000000000000121e+00,8.595111111111110702e+00,4.959111111111111470e+00,-7.850416907700000024e+01,4.996572916811999789e+02,2.299776707619999883e+01
8.699999999999999400e-02,3.636000000000000121e+00,8.605999999999999872e+00,4.969999999999999751e+00,-7.850416892159999804e+01,4.996572892116000162e+02,2.299706708040000080e+01
8.999999999999999667e-02,3.669750000000000068e+00,8.644249999999999545e+00,4.974499999999999922e+00,-7.850416885500000319e+01,4.996572881531999997e+02,2.299676708220000165e+01
9.500000000000000111e-02,3.725999999999999979e+00,8.708000000000000185e+00,4.982000000000000206e+00,-7.850466815299995460e+01,4.996572614176999991e+02,2.299726706870000115e+01
1.000000000000000056e-01,3.732666666666666799e+00,8.720777777777778184e+00,4.988111111111111384e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.039999999999999952e-01,3.737999999999999989e+00,8.730999999999999872e+00,4.993000000000000327e+00,-7.850516736219994129e+01,4.996572332709999955e+02,2.299736705760000177e+01
1.100000000000000006e-01,3.686666666666666536e+00,8.705666666666665776e+00,5.019000000000000128e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.130000000000000032e-01,3.661000000000000032e+00,8.692999999999999616e+00,5.032000000000000028e+00,-7.850546680779999065e+01,4.996572151129000190e+02,2.299706705310000032e+01
1.199999999999999956e-01,3.674125000000000085e+00,8.717499999999999361e+00,5.043375000000000163e+00,-7.850616582499999652e+01,4.996571776832000182e+02,2.299776703419999890e+01
1.209999999999999964e-01,3.676000000000000156e+00,8.721000000000000085e+00,5.044999999999999929e+00,-7.850606598759998178e+01,4.996571833831000049e+02,2.299776703629999730e+01
1.300000000000000044e-01,3.649999999999999911e+00,8.733999999999999986e+00,5.083999999999999631e+00,-7.850516745099990601e+01,4.996572346821999986e+02,2.299776705520000064e+01
1.390000000000000124e-01,3.611000000000000210e+00,8.744999999999999218e+00,5.134000000000000341e+00,-7.850516725119999251e+01,4.996572315070000059e+02,2.299686706059999963e+01
1.400000000000000133e-01,3.623750000000000249e+00,8.759499999999999176e+00,5.135750000000000703e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.469999999999999918e-01,3.713000000000000078e+00,8.861000000000000654e+00,5.147999999999999687e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.499999999999999944e-01,3.717333333333333378e+00,8.873333333333333073e+00,5.155999999999999694e+00,-7.850516722899999422e+01,4.996572311542000193e+02,2.299676706119999992e+01
1.559999999999999998e-01,3.725999999999999979e+00,8.897999999999999687e+00,5.171999999999999709e+00,-7.850456820460000529e+01,4.996572653535999962e+02,2.299676707380000096e+01
1.600000000000000033e-01,3.691777777777777825e+00,8.875333333333333741e+00,5.183555555555555472e+00,-7.850416885500000319e+01,4.996572881531999997e+02,2.299676708220000165e+01
1.650000000000000078e-01,3.649000000000000021e+00,8.846999999999999531e+00,5.198000000000000398e+00,-7.850466804199999160e+01,4.996572596537000095e+02,2.299676707169999901e+01
