X_mm,Weights,Y_normalised,Weights
-5.835786486999969824e+00,2.655289319999989961e-01,-8.562295588000099489e-01,2.655289319999989961e-01
-5.304728622999969723e+00,2.730734229999859930e-01,-9.298455087998149793e-01,2.730734229999859930e-01
-4.758581776999999846e+00,2.886444570000180065e-01,-9.695075238002459628e-01,2.886444570000180065e-01
-4.181292862999960391e+00,3.094081329999779917e-01,-8.703959537999710339e-01,3.094081329999779917e-01
-3.562476597000010070e+00,3.319224889999999872e-01,-7.969022797999509855e-01,3.319224889999999872e-01
-2.898631619000009874e+00,3.332976980000090239e-01,-8.279051807999170398e-01,3.332976980000090239e-01
-2.232036222999989938e+00,3.309785499999909897e-01,-8.368888617998779811e-01,3.309785499999909897e-01
-1.570079123000009957e+00,3.304221220000220227e-01,-8.172460997999450028e-01,3.304221220000220227e-01
-9.092348789999620262e-01,3.650482399999869787e-01,-8.307416467998790521e-01,3.650482399999869787e-01
-1.791383989999880133e-01,3.912395480000079862e-01,-8.993260518000170123e-01,3.912395480000079862e-01
6.033406970000290137e-01,3.976450569999909757e-01,-9.029396488002700005e-01,3.976450569999909757e-01
1.398630811000010077e+00,3.879398479999959792e-01,-8.677814448000159553e-01,3.879398479999959792e-01
2.174510506999999926e+00,4.089856280000189748e-01,-8.786273787998200024e-01,4.089856280000189748e-01
2.992481763000040207e+00,4.304092840000010023e-01,-9.249831608001389815e-01,4.304092840000010023e-01
3.853300331000040213e+00,4.329334059999829787e-01,-9.148051167999260436e-01,4.329334059999829787e-01
4.719167143000009723e+00,4.441709010000089997e-01,-8.702447598000160323e-01,4.441709010000089997e-01
5.607508945000030387e+00,4.901806929999960039e-01,-8.333804568001710322e-01,4.901806929999960039e-01
6.587870331000019952e+00,5.076690300000089584e-01,-8.293242278002139756e-01,5.076690300000089584e-01
7.603208391000039867e+00,5.157442939999929976e-01,-8.413959127999529608e-01,5.157442939999929976e-01
8.634696979000020534e+00,5.286553600000030162e-01,-8.556389177998080520e-01,5.286553600000030162e-01
9.692007699000029675e+00,5.417481069999909860e-01,-8.484708458001930520e-01,5.417481069999909860e-01
1.077550391299999966e+01,5.500481440000110078e-01,-8.438107437999630145e-01,5.500481440000110078e-01
1.187560020099999925e+01,5.847352979999980160e-01,-8.492065938002040237e-01,5.847352979999980160e-01
1.304507079699999927e+01,6.068555039999830036e-01,-8.416448417999049525e-01,6.068555039999830036e-01
1.425878180499999992e+01,6.169641490000119521e-01,-8.194989108000070299e-01,6.169641490000119521e-01
1.549271010300000029e+01,6.298397020000030544e-01,-8.181423667998619642e-01,6.298397020000030544e-01
1.675238950700000018e+01,6.266032370000139684e-01,-8.292392157999870506e-01,6.266032370000139684e-01
1.800559598100009850e+01,6.444603059999709505e-01,-8.146776038002490061e-01,6.444603059999709505e-01
1.929451659300000088e+01,6.603913090000079755e-01,-7.940811398001420551e-01,6.603913090000079755e-01
2.061529921099999996e+01,6.835265700000010547e-01,-7.876986508001100340e-01,6.835265700000010547e-01
2.198235235099999940e+01,7.061067560000160448e-01,-7.847373357998890242e-01,7.061067560000160448e-01
2.339456586300000041e+01,7.252048740000039961e-01,-7.832927378000820173e-01,7.252048740000039961e-01
2.484497561100009833e+01,7.397234799999810040e-01,-8.017420808001820554e-01,7.397234799999810040e-01
2.632442257099999949e+01,7.515197339999990511e-01,-8.375609158001110499e-01,7.515197339999990511e-01
2.782746203900000026e+01,7.789888349999980477e-01,-8.480115838000870099e-01,7.789888349999980477e-01
2.938543970899999991e+01,7.870317149999890294e-01,-8.382698278002750358e-01,7.870317149999890294e-01
3.095950313899999884e+01,8.058406250000279547e-01,-8.295775437999850510e-01,8.058406250000279547e-01
3.257118438900000257e+01,8.188899679999830372e-01,-8.306614568002149701e-01,8.188899679999830372e-01
3.420896432499999662e+01,8.407389789999939467e-01,-8.151920688002289861e-01,8.407389789999939467e-01
3.589044228299999872e+01,8.477272640000099724e-01,-7.931824447998110372e-01,8.477272640000099724e-01
3.758589681099999780e+01,8.749125750000029678e-01,-7.703642507999579614e-01,8.749125750000029678e-01
3.933572196099999729e+01,8.819304689999899471e-01,-7.524938628001790475e-01,8.819304689999899471e-01
4.109958289899999784e+01,8.928711560000119896e-01,-7.348485527998600553e-01,8.928711560000119896e-01
4.288532521100000139e+01,9.115142889999989784e-01,-7.320365998000399888e-01,9.115142889999989784e-01
4.470835378900000023e+01,9.277870579999959455e-01,-7.331764518000339903e-01,9.277870579999959455e-01
4.656392790499999990e+01,9.404830390000039619e-01,-7.605036387998329594e-01,9.404830390000039619e-01
4.844489398300000005e+01,9.453046920000039988e-01,-7.764322037998570014e-01,9.453046920000039988e-01
5.033550336700000116e+01,9.531616519999910331e-01,-7.858252668000890173e-01,9.531616519999910331e-01
5.224182667099999833e+01,9.591790629999900064e-01,-8.072997928001659496e-01,9.591790629999900064e-01
5.416018479699999943e+01,9.689906990000169973e-01,-8.290463628000569463e-01,9.689906990000169973e-01
