x,Weights,y,Weights
-5.975600330999990106e+00,2.749767410000250045e-01,-8.000287338000480197e-01,2.749767410000250045e-01
-5.425646848999940097e+00,2.733276519999969789e-01,-8.537121118000640108e-01,2.733276519999969789e-01
-4.878991544999950136e+00,2.858725119999929731e-01,-9.724590828001280496e-01,2.858725119999929731e-01
-4.307246520999959749e+00,2.979869590000019941e-01,-9.516949507998899715e-01,2.979869590000019941e-01
-3.711272602999959869e+00,2.971367299999679856e-01,-8.465226717999030370e-01,2.971367299999679856e-01
-3.116999143000020123e+00,3.311800510000220132e-01,-8.343965137998450299e-01,3.311800510000220132e-01
-2.454639040999980093e+00,3.415155889999970107e-01,-8.744810847998679693e-01,3.415155889999970107e-01
-1.771607862999980076e+00,3.474648500000099838e-01,-8.555463517998309619e-01,3.474648500000099838e-01
-1.076678162999959998e+00,3.558376780000019890e-01,-8.520290777998980047e-01,3.558376780000019890e-01
-3.650028069999600167e-01,3.853639659999780198e-01,-8.786556187998829648e-01,3.853639659999780198e-01
4.057251249999950238e-01,4.062767280000180170e-01,-8.869678437999940490e-01,4.062767280000180170e-01
1.218278581000030059e+00,4.218046169999959960e-01,-8.559277527999139545e-01,4.218046169999959960e-01
2.061887815000019941e+00,4.166488670000090266e-01,-8.600790507999820367e-01,4.166488670000090266e-01
2.895185549000040215e+00,4.112121649999930240e-01,-9.117111758002349742e-01,4.112121649999930240e-01
3.717609879000030038e+00,4.331627300000069902e-01,-9.307972517999589801e-01,4.331627300000069902e-01
4.583935339000039910e+00,4.730791009999900099e-01,-8.942661747999519628e-01,4.730791009999900099e-01
5.530093541000019819e+00,5.005318120000139537e-01,-8.700809528001509641e-01,5.005318120000139537e-01
6.531157165000050391e+00,4.976558129999930080e-01,-8.777647438001849878e-01,4.976558129999930080e-01
7.526468791000030301e+00,4.991279830000059925e-01,-8.548611867998370251e-01,4.991279830000059925e-01
8.524724757000040398e+00,5.159150659999880428e-01,-8.308870488001499632e-01,5.159150659999880428e-01
9.556554889000020481e+00,5.491621909999959694e-01,-8.511132057999479805e-01,5.491621909999959694e-01
1.065487927100000043e+01,5.843527709999909447e-01,-8.956522357998439876e-01,5.843527709999909447e-01
1.182358481300000008e+01,6.011136169999989898e-01,-8.922256267999839618e-01,6.011136169999989898e-01
1.302581204700000050e+01,6.041456840000229978e-01,-8.619013008000140363e-01,6.041456840000229978e-01
1.423410341499999987e+01,6.103454419999959635e-01,-8.851767298000370321e-01,6.103454419999959635e-01
1.545479429899999957e+01,6.267898019999940118e-01,-9.326644177997990282e-01,6.267898019999940118e-01
1.670837390299999825e+01,6.485101340000020143e-01,-9.421770847999370035e-01,6.485101340000020143e-01
1.800539417099999895e+01,6.563525219999970517e-01,-9.231001968001919522e-01,6.563525219999970517e-01
1.931809921500000016e+01,6.785442979999980473e-01,-8.980524527999590445e-01,6.785442979999980473e-01
2.067518781100000069e+01,6.931371589999919536e-01,-8.784695847999729468e-01,6.931371589999919536e-01
2.206146212899999881e+01,7.178416620000029891e-01,-8.613048337998070458e-01,7.178416620000029891e-01
2.349714545300000168e+01,7.425453879999960316e-01,-8.674428428000170443e-01,7.425453879999960316e-01
2.498223622900000152e+01,7.562260590000170479e-01,-8.968589158000670469e-01,7.562260590000170479e-01
2.649468834700000031e+01,7.722442449999830094e-01,-8.967382737998259579e-01,7.722442449999830094e-01
2.803917683699999941e+01,7.908420660000049507e-01,-8.787945288000860167e-01,7.908420660000049507e-01
2.962086096899999887e+01,8.194780719999920082e-01,-8.807664438001550078e-01,8.194780719999920082e-01
3.125981711300000043e+01,8.164671570000280321e-01,-9.034296308001330544e-01,8.164671570000280321e-01
3.289275142700009980e+01,8.462608659999799610e-01,-9.083436848000590036e-01,8.462608659999799610e-01
3.458527315900000332e+01,8.624044010000130323e-01,-8.867795277999449555e-01,8.624044010000130323e-01
