time,Gap_leftedge,Gap_rightedge,Gap_gap,LT_x,LT_y,LT_z
0.000000000000000000e+00,3.690545651280302319e+00,1.000982667878581012e+01,6.319281027505509130e+00,4.270239350000220035e-01,2.491520086852000020e+02,-3.220291387999589805e-01
1.000000000000023093e-02,3.664084731927224947e+00,1.000799999999999912e+01,6.343915268072774616e+00,9.200433970000300166e-01,2.491130898751999894e+02,-3.097820757999589780e-01
2.000000000000001776e-02,3.674432535474681405e+00,1.002133795805379535e+01,6.346905422579114386e+00,1.411810012999989983e+00,2.490961175212000001e+02,-3.026127528000099876e-01
3.000000000000024869e-02,3.698384820042236676e+00,1.004444942724054712e+01,6.346064607198310448e+00,1.900041822999990027e+00,2.491059729931999982e+02,-2.995388927999669826e-01
4.000000000000003553e-02,3.736293475239621742e+00,1.008047880147764097e+01,6.344185326238019229e+00,2.382938886999999895e+00,2.491215477901999975e+02,-2.924863717999620083e-01
4.999999999999982236e-02,3.739478891655931836e+00,1.009592632436062587e+01,6.356447432704694478e+00,2.888911883000039982e+00,2.491364474121999990e+02,-2.824263157999700180e-01
6.000000000000005329e-02,3.751902857498878419e+00,1.009404857125056054e+01,6.342145713751682123e+00,3.388896411000020148e+00,2.491509768162000000e+02,-2.803663377999620065e-01
6.999999999999984013e-02,3.747721139908264831e+00,1.009405047496177765e+01,6.346329335053511933e+00,3.903429709000049819e+00,2.491562958302000084e+02,-2.852706738000129749e-01
8.000000000000007105e-02,3.731262353613434612e+00,1.008740859754362873e+01,6.356146243930194117e+00,4.420358963000009744e+00,2.491547367382000004e+02,-2.911502167999849844e-01
8.999999999999985789e-02,3.688164815568330646e+00,1.005616481556833008e+01,6.368000000000000327e+00,4.935517685000010424e+00,2.491490984001999891e+02,-2.890157097999759839e-01
1.000000000000000888e-01,3.643942474205928317e+00,1.000260550350918010e+01,6.358663029303252223e+00,5.437672175000010100e+00,2.491607114182000089e+02,-2.969450248000150006e-01
1.099999999999998757e-01,3.653566657790375594e+00,9.996665803544715345e+00,6.343099145754339752e+00,5.940142172999999914e+00,2.491843442111999991e+02,-3.099167087999910031e-01
1.200000000000001066e-01,3.674505023318237029e+00,1.002442465022644136e+01,6.349919626908203441e+00,6.428773634999999764e+00,2.491872005232000049e+02,-3.098180857999909832e-01
1.299999999999998934e-01,3.675014441266951426e+00,1.002033392543005696e+01,6.345319484163105983e+00,6.931693137000030092e+00,2.491678635821999990e+02,-3.016379328000100002e-01
1.400000000000001243e-01,3.656858144164926827e+00,1.000245147037221294e+01,6.345593326207285223e+00,7.426796641000040111e+00,2.491450755452000010e+02,-2.934473427999709783e-01
1.499999999999999112e-01,3.630574725961201121e+00,9.982862976700587865e+00,6.352288250739385411e+00,7.925609317000049892e+00,2.491274967601999890e+02,-2.882743257999759723e-01
1.600000000000001421e-01,3.633007599062446413e+00,9.981007599062447611e+00,6.347999999999999865e+00,8.421028106999999707e+00,2.491167320261999976e+02,-2.841261108000149860e-01
1.699999999999999289e-01,3.637999999999999901e+00,9.984774231927925570e+00,6.346774231927925669e+00,8.916331569000039536e+00,2.491079851961999907e+02,-2.739850017999659881e-01
1.800000000000001599e-01,3.629132831972554651e+00,9.975132831972555181e+00,6.346000000000000085e+00,9.409897681000030545e+00,2.491121283992000031e+02,-2.728898147999900270e-01
1.899999999999999467e-01,3.616214391101820969e+00,9.962946525176670676e+00,6.346732134074848375e+00,9.914047809000010147e+00,2.491238730551999936e+02,-2.758191177999749777e-01
2.000000000000001776e-01,3.649088132215422053e+00,9.993922844282495888e+00,6.344834712067075166e+00,1.040573116899999917e+01,2.491259055241999931e+02,-2.747169027999989965e-01
2.099999999999999645e-01,3.684223780982980756e+00,1.002737482974366223e+01,6.343151048760680588e+00,1.091889380900000006e+01,2.491201426041999980e+02,-2.755824197999759972e-01
2.200000000000001954e-01,3.687186765681861988e+00,1.002042795386420693e+01,6.333241188182345383e+00,1.143453992100000072e+01,2.491235148252000045e+02,-2.824796527999799967e-01
2.299999999999999822e-01,3.665072215870413430e+00,9.993331242854214480e+00,6.328259026983801938e+00,1.194114278099999993e+01,2.491273865352000030e+02,-2.853806337999669762e-01
2.400000000000002132e-01,3.626584738078463044e+00,9.969524332712939696e+00,6.342939594634477096e+00,1.244318260900000084e+01,2.491410068732000127e+02,-2.903170367999610146e-01
2.500000000000000000e-01,3.637482107337942416e+00,9.979519099670946858e+00,6.342036992333003553e+00,1.293612196499999989e+01,2.491561285962000056e+02,-2.902607287999620089e-01
2.600000000000002309e-01,3.622547821746620045e+00,9.964745302185541220e+00,6.342197480438921176e+00,1.343356580100000031e+01,2.491625247551999962e+02,-2.811725758000039876e-01
2.700000000000000178e-01,3.584746845248520941e+00,9.907221011911241604e+00,6.322474166662721551e+00,1.392824272900000082e+01,2.491647529171999906e+02,-2.730703397999669768e-01
2.800000000000002487e-01,3.549196363569055102e+00,9.884999999999999787e+00,6.335803636430945573e+00,1.441444594100000032e+01,2.491575039441999877e+02,-2.589365138000119804e-01
2.900000000000000355e-01,3.562904940721801417e+00,9.886330829894783179e+00,6.323425889172982650e+00,1.489711275099999988e+01,2.491420223911999869e+02,-2.497744617999989869e-01
2.999999999999998224e-01,3.561999999999999833e+00,9.900911066742249744e+00,6.338911066742250355e+00,1.538987862900000003e+01,2.491250929242000041e+02,-2.466050938000129977e-01
3.100000000000000533e-01,3.560930845793452093e+00,9.920259816318543145e+00,6.359328970525091940e+00,1.587987737699999968e+01,2.491039989882000043e+02,-2.434216487999699974e-01
3.199999999999998401e-01,3.548999999999999932e+00,9.909234206570880943e+00,6.360234206570881454e+00,1.638334193300000052e+01,2.490926636542000097e+02,-2.472696827999890101e-01
3.300000000000000711e-01,3.548779856723919934e+00,9.900641719312963218e+00,6.351861862589043284e+00,1.689140003900000053e+01,2.490885913072000051e+02,-2.541423387999929839e-01
3.399999999999998579e-01,3.551402980320684133e+00,9.912673770251965166e+00,6.361270789931282366e+00,1.739962714099999985e+01,2.490815556082000057e+02,-2.520044437999849896e-01
3.500000000000000888e-01,3.557865402717566461e+00,9.908914254097501484e+00,6.351048851379935023e+00,1.791615674299999839e+01,2.490869956761999902e+02,-2.549087497999700247e-01
3.599999999999998757e-01,3.543304627294558529e+00,9.883438105592725620e+00,6.340133478298167091e+00,1.843499638100000126e+01,2.491046047972000110e+02,-2.528554427999610277e-01
3.700000000000001066e-01,3.529109444182156885e+00,9.888429643025757443e+00,6.359320198843599670e+00,1.893152958100009897e+01,2.491269536762000030e+02,-2.498238137999740094e-01
3.799999999999998934e-01,3.537332235587457241e+00,9.894703581731940645e+00,6.357371346144482516e+00,1.943793185899999898e+01,2.491518798651999873e+02,-2.437990628000029913e-01
3.900000000000001243e-01,3.548999999999999932e+00,9.896543476288773178e+00,6.347543476288772801e+00,1.992265312299999991e+01,2.491705884602000083e+02,-2.297571467999920125e-01
3.999999999999999112e-01,3.548999999999999932e+00,9.890213889168670391e+00,6.341213889168670015e+00,2.042192204699999891e+01,2.491801043051999898e+02,-2.176795747999930031e-01
4.100000000000001421e-01,3.549650663295054187e+00,9.887301326590108630e+00,6.337650663295054443e+00,2.091437601100000165e+01,2.491861837172000094e+02,-2.175914727999929965e-01
4.199999999999999289e-01,3.550638448186690166e+00,9.880338621759715778e+00,6.329700173573026056e+00,2.140514336500000070e+01,2.491691684762000136e+02,-2.064221947999690110e-01
4.300000000000001599e-01,3.543499653164753127e+00,9.877875086708812091e+00,6.334375433544058964e+00,2.189531244100000151e+01,2.491450900202000014e+02,-2.002281627999960012e-01
4.399999999999999467e-01,3.529893907343302661e+00,9.878999999999999559e+00,6.349106092656697342e+00,2.239096122100000130e+01,2.491303000622000070e+02,-2.050657537999920066e-01
4.500000000000001776e-01,3.525307506054490503e+00,9.869305084762867608e+00,6.343997578708377105e+00,2.286730001700000159e+01,2.491203996911999923e+02,-2.149249237999829865e-01
4.599999999999999645e-01,3.516526724121339154e+00,9.865770297807150868e+00,6.349243573685812159e+00,2.336026851700000151e+01,2.491174690951999935e+02,-2.218049647999880136e-01
4.700000000000001954e-01,3.513295886272880697e+00,9.858254749001691408e+00,6.344958862728810267e+00,2.385041155700000104e+01,2.491113935662000074e+02,-2.226744997999640097e-01
4.799999999999999822e-01,3.523065651294666978e+00,9.862742808688205187e+00,6.339677157393538209e+00,2.435570009099999922e+01,2.491031955582000137e+02,-2.185331448000029930e-01
4.900000000000002132e-01,3.549776091733530592e+00,9.887825048064188493e+00,6.338048956330658790e+00,2.487539647499999873e+01,2.491058009351999942e+02,-2.244267647999740045e-01
5.000000000000000000e-01,3.549999999999999822e+00,9.899991572024736897e+00,6.349991572024736186e+00,2.539403548900000018e+01,2.491093794331999902e+02,-2.213239947999869894e-01
5.100000000000002309e-01,3.549178082701092585e+00,9.876967123308045160e+00,6.327789040606950799e+00,2.590702402699999851e+01,2.491066610091999962e+02,-2.082002008000120030e-01
5.200000000000000178e-01,3.524999999999999911e+00,9.876790541480438890e+00,6.351790541480440311e+00,2.642243881699999974e+01,2.491140796221999949e+02,-2.001116637999739989e-01
