x,Weights,y,Weights,error_LT
-5.937972769000009698e+00,2.643627829999979917e-01,-7.336403197999179504e-01,2.643627829999979917e-01,-7.336403197999179504e-01
-5.409247203000020043e+00,2.564169960000169946e-01,-8.014823717998069696e-01,2.564169960000169946e-01,-8.014823717998069696e-01
-4.896413210999980059e+00,2.769482719999870057e-01,-8.541420168001540025e-01,2.769482719999870057e-01,-8.541420168001540025e-01
-4.342516667000009711e+00,3.016345400000119970e-01,-8.014460367999729495e-01,3.016345400000119970e-01,-8.014460367999729495e-01
-3.739247586999979944e+00,3.151079959999860125e-01,-7.538840738000659458e-01,3.151079959999860125e-01,-7.538840738000659458e-01
-3.109031595000010029e+00,3.294445880000240190e-01,-7.748086937998549528e-01,3.294445880000240190e-01,-7.748086937998549528e-01
-2.450142418999960103e+00,3.227047919999869730e-01,-7.891731747999980451e-01,3.227047919999869730e-01,-7.891731747999980451e-01
-1.804732834999990043e+00,3.359548280000190235e-01,-7.604022688003060360e-01,3.359548280000190235e-01,-7.604022688003060360e-01
-1.132823178999950109e+00,3.581897859999950140e-01,-7.571905478001209611e-01,3.581897859999950140e-01,-7.571905478001209611e-01
-4.164436069999600254e-01,3.877593879999899906e-01,-7.784979177999959976e-01,3.877593879999899906e-01,-7.784979177999959976e-01
3.590751690000200114e-01,3.888871280000090191e-01,-7.654636127999769890e-01,3.888871280000090191e-01,-7.654636127999769890e-01
1.136849425000040048e+00,3.880556200000059852e-01,-7.393006948000220291e-01,3.880556200000059852e-01,-7.393006948000220291e-01
1.912960665000049909e+00,4.103720789999740215e-01,-7.541965488001669549e-01,4.103720789999740215e-01,-7.541965488001669549e-01
2.733704823000000061e+00,4.241495100000209906e-01,-7.964795898001280072e-01,4.241495100000209906e-01,-7.964795898001280072e-01
3.582003843000039822e+00,4.170022709999969823e-01,-7.950823968001260456e-01,4.170022709999969823e-01,-7.950823968001260456e-01
4.416008385000029790e+00,4.140787400000019991e-01,-7.713896388000309745e-01,4.140787400000019991e-01,-7.713896388000309745e-01
5.244165865000040228e+00,4.632254829999840062e-01,-7.330028278000210173e-01,4.632254829999840062e-01,-7.330028278000210173e-01
6.170616831000010016e+00,4.856316570000089872e-01,-7.320527688002019806e-01,4.856316570000089872e-01,-7.320527688002019806e-01
7.141880145000020441e+00,4.997689780000009740e-01,-7.616190648002429953e-01,4.997689780000009740e-01,-7.616190648002429953e-01
8.141418101000029495e+00,5.128375759999960204e-01,-7.776437018000590395e-01,5.128375759999960204e-01,-7.776437018000590395e-01
9.167093253000020425e+00,5.167314260000139825e-01,-7.602304308002769684e-01,5.167314260000139825e-01,-7.602304308002769684e-01
1.020055610500000043e+01,5.308931179999749617e-01,-7.564129588000699789e-01,5.308931179999749617e-01,-7.564129588000699789e-01
1.126234234100000009e+01,5.646386740000089999e-01,-7.750067617998299685e-01,5.646386740000089999e-01,-7.750067617998299685e-01
1.239161968900000055e+01,5.925948320000079539e-01,-7.827466407999279507e-01,5.925948320000079539e-01,-7.827466407999279507e-01
1.357680935299999980e+01,6.115188479999890125e-01,-7.522623938002079846e-01,6.115188479999890125e-01,-7.522623938002079846e-01
1.479984704900000025e+01,6.108731490000000042e-01,-7.355830958001090547e-01,6.108731490000000042e-01,-7.355830958001090547e-01
1.602159334699999960e+01,6.071215720000240346e-01,-7.489270508001479865e-01,6.071215720000240346e-01,-7.489270508001479865e-01
1.723583649100010007e+01,6.158212819999759891e-01,-7.536599908002019621e-01,6.158212819999759891e-01,-7.536599908002019621e-01
1.846747905499999831e+01,6.373141560000159522e-01,-7.473621008001030130e-01,6.373141560000159522e-01,-7.473621008001030130e-01
1.974210736699999913e+01,6.598351239999920015e-01,-7.395904538001329964e-01,6.598351239999920015e-01,-7.395904538001329964e-01
2.106177761500000045e+01,6.754828019999910005e-01,-7.312682278001719771e-01,6.754828019999910005e-01,-7.312682278001719771e-01
2.241274321899999933e+01,6.931396910000240386e-01,-7.272292168000259460e-01,6.931396910000240386e-01,-7.272292168000259460e-01
2.379902260100010025e+01,6.875493209999860023e-01,-7.452307118002180486e-01,6.875493209999860023e-01,-7.452307118002180486e-01
2.517412124299999832e+01,7.153492789999930102e-01,-7.779215708000609686e-01,7.153492789999930102e-01,-7.779215708000609686e-01
2.660481980100000143e+01,7.483388240000059533e-01,-7.844574707998499541e-01,7.483388240000059533e-01,-7.844574707998499541e-01
2.810149744900000002e+01,7.650399870000069713e-01,-7.712005497999709913e-01,7.650399870000069713e-01,-7.712005497999709913e-01
2.963157742299999953e+01,7.791873289999969865e-01,-7.640496057998690249e-01,7.791873289999969865e-01,-7.640496057998690249e-01
3.118995208100000127e+01,7.866181359999839806e-01,-7.612646738000989899e-01,7.866181359999839806e-01,-7.612646738000989899e-01
3.276318835299999677e+01,8.132452640000129573e-01,-7.556280207999750420e-01,8.132452640000129573e-01,-7.556280207999750420e-01
3.438967888100000181e+01,8.249252809999879643e-01,-7.529359328001420382e-01,8.249252809999879643e-01,-7.529359328001420382e-01
3.603952944299999928e+01,8.497704130000119926e-01,-7.558967477998520534e-01,8.497704130000119926e-01,-7.558967477998520534e-01
3.773907026900000261e+01,8.628793069999930454e-01,-7.520070848001979558e-01,8.628793069999930454e-01,-7.520070848001979558e-01
3.946482888300000269e+01,8.662727490000069475e-01,-7.336420008001030002e-01,8.662727490000069475e-01,-7.336420008001030002e-01
