center_CAM,Weights
1.672713000000000116e-01,3.035782463676510168e-01
7.168769999999999309e-02,2.910475034128560123e-01
2.070977999999999986e-01,2.785159892879610077e-01
1.513406999999999947e-01,2.659852463331660033e-01
1.433753999999999862e-01,2.832420986563289889e-01
8.761829999999999619e-02,3.184163689473830106e-01
7.965299999999999811e-03,3.443217445782489894e-01
1.115141999999999939e-01,3.417484387190800055e-01
1.194795000000000024e-01,3.819060705930220068e-01
1.513406999999999947e-01,4.089063986860079769e-01
1.513406999999999947e-01,4.218176616401729806e-01
6.372239999999999849e-02,4.260644440776549802e-01
7.168769999999999309e-02,4.682231935178139959e-01
-3.982650000000000079e-02,5.310087300340720073e-01
3.186119999999999924e-02,5.240684800004510313e-01
7.965299999999999811e-03,5.667296045410199490e-01
-3.186119999999999924e-02,5.952355441963700367e-01
-2.389590000000000117e-02,6.351211823909449494e-01
-3.186119999999999924e-02,6.471656246914629929e-01
-3.982650000000000079e-02,6.707787929824089446e-01
-9.558360000000000467e-02,6.952134728314339762e-01
-4.779180000000000234e-02,7.227182622782639676e-01
-9.558360000000000467e-02,7.625666195290480287e-01
-5.575709999999999694e-02,8.012099760270150473e-01
7.965299999999999811e-03,8.188213818906190378e-01
-7.965299999999999811e-03,8.503456292700789509e-01
-4.779180000000000234e-02,8.791299985783229687e-01
-1.194795000000000024e-01,9.081647757458819470e-01
-5.575709999999999694e-02,9.190691903363490400e-01
-1.035488999999999993e-01,9.306265225630140359e-01
-6.372239999999999849e-02,9.622203246413030264e-01
-3.982650000000000079e-02,9.735369692458349933e-01
-9.558360000000000467e-02,9.876161688127229610e-01
-1.354101000000000055e-01,9.992844069025790255e-01
-9.558360000000000467e-02,1.000982263183080034e+00
-9.558360000000000467e-02,9.964255465659179745e-01
-7.168769999999999309e-02,1.001047192974060085e+00
-9.558360000000000467e-02,1.001147183687109976e+00
-1.274447999999999970e-01,9.973912146211409979e-01
-1.354101000000000055e-01,9.996809203173160352e-01
-1.672713000000000116e-01,1.004198467289070029e+00
-1.752365999999999924e-01,1.003032352953260098e+00
-1.354101000000000055e-01,1.002123882674140098e+00
-1.035488999999999993e-01,1.003212213557149957e+00
-1.593060000000000032e-01,1.003759603955850066e+00
-1.593060000000000032e-01,9.994548761306539797e-01
-1.513406999999999947e-01,9.982983119678420225e-01
-1.274447999999999970e-01,1.004879645948629996e+00
-9.558360000000000467e-02,9.983975960383609793e-01
-1.194795000000000024e-01,9.934094548343950226e-01
-1.433753999999999862e-01,1.002172256004240092e+00
-1.593060000000000032e-01,1.008379271443579972e+00
-8.761829999999999619e-02,9.983381768628970532e-01
-7.168769999999999309e-02,1.002850121248600068e+00
-9.558360000000000467e-02,9.993952387457539777e-01
-5.575709999999999694e-02,1.000340660392839975e+00
-6.372239999999999849e-02,9.985643182421319874e-01
-6.372239999999999849e-02,9.982420133011270513e-01
-7.965299999999999811e-03,9.950251201976799686e-01
2.389590000000000117e-02,1.002484072335960041e+00
-7.965299999999999811e-03,1.002835216745940006e+00
-3.186119999999999924e-02,1.009415703619189975e+00
