X_mm,Weights,Y_normalised,Weights
-6.483582980999989864e+00,2.683624049999859817e-01,-8.513097898002970343e-01,2.683624049999859817e-01
-5.946858171000020121e+00,2.591954580000270236e-01,-8.838047877999030133e-01,2.591954580000270236e-01
-5.428467254999960190e+00,2.584142089999940106e-01,-9.811706037998819685e-01,2.584142089999940106e-01
-4.911638836999980384e+00,2.765790269999969797e-01,-9.985312627998720325e-01,2.765790269999969797e-01
-4.358480782999979652e+00,3.100757399999939934e-01,-8.978102047999529933e-01,3.100757399999939934e-01
-3.738329302999989778e+00,3.344033869999760156e-01,-8.652536978000849865e-01,3.344033869999760156e-01
-3.069522529000039857e+00,3.449088090000420048e-01,-9.129902747998810408e-01,3.449088090000420048e-01
-2.379704910999949963e+00,3.413757579999919800e-01,-9.076624757999529614e-01,3.413757579999919800e-01
-1.696953394999970000e+00,3.401333350000049771e-01,-8.838205747998699735e-01,3.401333350000049771e-01
-1.016686724999960045e+00,3.671320599999969847e-01,-9.041777488000379837e-01,3.671320599999969847e-01
-2.824226049999670196e-01,4.068295829999760138e-01,-9.404935518000460126e-01,4.068295829999760138e-01
5.312365609999859517e-01,4.168124350000099732e-01,-9.112873577998360508e-01,4.168124350000099732e-01
1.364861431000010006e+00,4.182316130000020005e-01,-8.809129598001279593e-01,4.182316130000020005e-01
2.201324657000010010e+00,4.215805409999999753e-01,-9.002735058001289925e-01,4.215805409999999753e-01
3.044485739000009961e+00,4.355292989999859921e-01,-9.141514908000369921e-01,4.355292989999859921e-01
3.915544336999980057e+00,4.378088170000020152e-01,-8.903500337998759839e-01,4.378088170000020152e-01
4.791161970999990416e+00,4.684865500000269800e-01,-8.762337007999579930e-01,4.684865500000269800e-01
5.728135071000039602e+00,5.250554319999980457e-01,-8.666062048002629581e-01,5.250554319999980457e-01
6.778245935000040134e+00,5.338141169999920388e-01,-8.386133027999850276e-01,5.338141169999920388e-01
7.845874169000020437e+00,5.269966940000030409e-01,-8.367349128001539960e-01,5.269966940000030409e-01
8.899867557000030516e+00,5.393802960000160240e-01,-8.767368748000590184e-01,5.393802960000160240e-01
9.978628149000060787e+00,5.727412159999869523e-01,-8.943934468002230354e-01,5.727412159999869523e-01
1.112411058100000005e+01,5.914660719999900174e-01,-9.052642058002500214e-01,5.914660719999900174e-01
1.230704272500000052e+01,6.142018130000159726e-01,-9.229619217998390468e-01,6.142018130000159726e-01
1.353544635099999915e+01,6.344675439999980515e-01,-8.950009178002179544e-01,6.344675439999980515e-01
1.480438143900000014e+01,6.493096599999990115e-01,-8.576685148000819936e-01,6.493096599999990115e-01
1.610300075900000039e+01,6.608310349999889644e-01,-8.665953228001509467e-01,6.608310349999889644e-01
1.742466282899999896e+01,6.782761000000030460e-01,-8.931665847999850083e-01,6.782761000000030460e-01
1.878121502899999840e+01,6.917410199999950438e-01,-8.817229157998269784e-01,6.917410199999950438e-01
2.016469706899999892e+01,6.892306030000060479e-01,-8.507338188000800328e-01,6.892306030000060479e-01
2.154315827499999969e+01,7.224490070000090247e-01,-8.370660278000909837e-01,7.224490070000090247e-01
2.298805628899999931e+01,7.470261629999940256e-01,-8.467056858002309783e-01,7.470261629999940256e-01
2.448210861500000135e+01,7.643830249999969961e-01,-8.576411208002240327e-01,7.643830249999969961e-01
2.601087466499999934e+01,7.799874099999930532e-01,-8.976520528001400434e-01,7.799874099999930532e-01
2.757084948500000010e+01,8.176547810000189820e-01,-9.228884568001940458e-01,8.176547810000189820e-01
2.920615904699999987e+01,8.343405949999790350e-01,-9.167623618001810026e-01,8.343405949999790350e-01
3.087484023700000080e+01,8.416693139999860129e-01,-8.986652287999560285e-01,8.416693139999860129e-01
3.255817886500000213e+01,8.584124590000250521e-01,-8.916905497999040309e-01,8.584124590000250521e-01
3.427500378300000250e+01,8.644579249999889692e-01,-8.747521527999989610e-01,8.644579249999889692e-01
3.600391963300000242e+01,8.908858930000109755e-01,-8.590700558001169718e-01,8.908858930000109755e-01
3.778569141900000261e+01,8.989306599999909997e-01,-8.393545317999839828e-01,8.989306599999909997e-01
3.958355273899999816e+01,9.217664490000070376e-01,-8.207484557998160346e-01,9.217664490000070376e-01
4.142708563699999758e+01,9.284413350000090270e-01,-8.126161848000209575e-01,9.284413350000090270e-01
4.328396830700000208e+01,9.306672959999849892e-01,-8.277819258001100078e-01,9.306672959999849892e-01
4.514530289900000071e+01,9.398531539999980255e-01,-8.507454228000309593e-01,9.398531539999980255e-01
4.702500920699999654e+01,9.568414370000160041e-01,-8.797032657999750427e-01,9.568414370000160041e-01
4.893869208099999923e+01,9.703475409999779977e-01,-8.897326958001490205e-01,9.703475409999779977e-01
5.087938716299999697e+01,9.740681770000070294e-01,-8.992074088000380216e-01,9.740681770000070294e-01
5.282752351700000304e+01,9.861484220000029666e-01,-9.162171528001860077e-01,9.861484220000029666e-01
5.479982036100000187e+01,9.887725019999999976e-01,-9.178106578002029892e-01,9.887725019999999976e-01
5.677736536500000142e+01,9.905257770000129858e-01,-9.060657447998610170e-01,9.905257770000129858e-01
5.875841691899999830e+01,1.006442873999999987e+00,-9.031104507999999642e-01,1.006442873999999987e+00
6.077130266700000050e+01,1.011350023999989967e+00,-8.963379808001550320e-01,1.011350023999989967e+00
6.279400271499999775e+01,1.001522906999990026e+00,-8.860251128002120113e-01,1.001522906999990026e+00
6.479704852899999423e+01,9.972019950000120536e-01,-8.998822717998959941e-01,9.972019950000120536e-01
6.679145251900000346e+01,1.006902632000010067e+00,-9.202673257999269829e-01,1.006902632000010067e+00
6.880525778300000184e+01,9.997845369999890375e-01,-9.295886958001630118e-01,9.997845369999890375e-01
7.080482685699999479e+01,1.001038180999979987e+00,-9.527191387998640293e-01,1.001038180999979987e+00
7.280690321900000583e+01,9.889007370000300057e-01,-9.846820878000529520e-01,9.889007370000300057e-01
7.478470469300009427e+01,9.952620439999929625e-01,-9.949723818001250386e-01,9.952620439999929625e-01
7.677522878099999559e+01,9.953754850000039456e-01,-9.824900098002440352e-01,9.953754850000039456e-01
7.876597975100000326e+01,1.003260055999990019e+00,-9.739834698002309832e-01,1.003260055999990019e+00
8.077249986299999307e+01,1.004029660999999907e+00,-9.785285367999280171e-01,1.004029660999999907e+00
8.278055918500000132e+01,9.980994330000070303e-01,-9.749479658002540017e-01,9.980994330000070303e-01
8.477675805100000161e+01,1.006457133999979936e+00,-9.390582728002240254e-01,1.006457133999979936e+00
8.678967231900000456e+01,9.987963160000109530e-01,-9.152424358001379767e-01,9.987963160000109530e-01
8.878726495099999738e+01,1.001651274000000091e+00,-9.213129738000129798e-01,1.001651274000000091e+00
9.079056749900000511e+01,9.959627219999800385e-01,-9.221237658002789939e-01,9.959627219999800385e-01
9.278249294299999406e+01,9.971739400000100284e-01,-9.166364747999860008e-01,9.971739400000100284e-01
9.477684082300000057e+01,9.986724999999979646e-01,-9.360372728002630538e-01,9.986724999999979646e-01
9.677418582299999628e+01,1.006716601000009925e+00,-9.552988258000429944e-01,1.006716601000009925e+00
9.878761902499999792e+01,9.984154539999889888e-01,-9.756486588002819538e-01,9.984154539999889888e-01
1.007844499330000048e+02,9.918683590000090256e-01,-9.859072598000580001e-01,9.918683590000090256e-01
1.027681866509999935e+02,1.001922912999990034e+00,-9.948889437999069996e-01,1.001922912999990034e+00
1.047720324769999962e+02,1.007884769000030101e+00,-9.876699047998730441e-01,1.007884769000030101e+00
1.067878020149999969e+02,1.001378968999969921e+00,-9.787720378000980270e-01,1.001378968999969921e+00
1.087905599529999989e+02,9.985123250000139672e-01,-9.875914928001350290e-01,9.985123250000139672e-01
1.107875846029999991e+02,9.958605440000170006e-01,-9.837101027998470526e-01,9.958605440000170006e-01
1.127793056910000047e+02,9.934509939999710548e-01,-9.571083568002619613e-01,9.934509939999710548e-01
1.147662076790000043e+02,1.010023123999989947e+00,-9.338149337999650523e-01,1.010023123999989947e+00
1.167862539270000042e+02,1.010024012000040106e+00,-9.296526867998119448e-01,1.010024012000040106e+00
1.188063019509999947e+02,1.002436116999990023e+00,-9.255186638001480226e-01,1.002436116999990023e+00
1.208111741849999987e+02,1.000853835999979902e+00,-9.362773048001710174e-01,1.000853835999979902e+00
1.228128818569999936e+02,9.975015780000050514e-01,-9.442365348000120173e-01,9.975015780000050514e-01
1.248078850130000035e+02,1.004290036999990088e+00,-9.575724857999720063e-01,1.004290036999990088e+00
1.268164650869999974e+02,1.001366949999999978e+00,-9.631007067998500482e-01,1.001366949999999978e+00
1.288191989869999929e+02,1.004832316000020098e+00,-9.539489867998730555e-01,1.004832316000020098e+00
1.308288636190000034e+02,9.953610029999849784e-01,-9.433857938001319887e-01,9.953610029999849784e-01
1.328195856250000020e+02,9.983280699999990127e-01,-9.519155647999749670e-01,9.983280699999990127e-01
1.348162417650000009e+02,1.001095866000029977e+00,-9.591190858000689934e-01,1.001095866000029977e+00
1.368184334970000009e+02,1.006143734999970007e+00,-9.580148367999189452e-01,1.006143734999970007e+00
1.388307209669999907e+02,1.003278312000019934e+00,-9.583055818001470216e-01,1.003278312000019934e+00
1.408372775910000030e+02,1.006958873999979964e+00,-9.459342898000220323e-01,1.006958873999979964e+00
1.428511953389999860e+02,9.992563170000180461e-01,-9.221425977999050394e-01,9.992563170000180461e-01
1.448497079729999939e+02,1.004047119000009980e+00,-9.092289298000080233e-01,1.004047119000009980e+00
1.468578022110000063e+02,1.003563524000000040e+00,-9.237924057999009619e-01,1.003563524000000040e+00
1.488649292590000073e+02,1.005145694000020073e+00,-9.214118497999950197e-01,1.005145694000020073e+00
1.508752206469999919e+02,1.000039605999970105e+00,-9.218271768002069821e-01,1.000039605999970105e+00
1.528752998589999947e+02,9.991265069999859527e-01,-9.188119658001030476e-01,9.991265069999859527e-01
1.548735528729999942e+02,1.003533693000010052e+00,-9.188988008001499619e-01,1.003533693000010052e+00
1.568806202590000112e+02,9.918947490000249445e-01,-9.154775407999979908e-01,9.918947490000249445e-01
1.588644097570000042e+02,9.948330949999899531e-01,-9.253905608000539962e-01,9.948330949999899531e-01
1.608540759470000125e+02,9.998984429999919765e-01,-9.329719068001619542e-01,9.998984429999919765e-01
1.628538728329999969e+02,1.003733296999979929e+00,-9.250071917999209692e-01,1.003733296999979929e+00
1.648613394269999901e+02,9.932503700000270275e-01,-9.285780357998589807e-01,9.932503700000270275e-01
1.668478401669999869e+02,1.006131271999979981e+00,-9.333458588002939704e-01,1.006131271999979981e+00
1.688601027109999961e+02,9.960913110000150228e-01,-9.156513167999950076e-01,9.960913110000150228e-01
1.708522853329999975e+02,1.010423774999990032e+00,-8.971247148002700067e-01,1.010423774999990032e+00
1.728731328830000109e+02,1.003962954000019892e+00,-9.069925398002850470e-01,1.003962954000019892e+00
1.748810587909999867e+02,9.982434609999869535e-01,-9.186032478000070167e-01,9.982434609999869535e-01
