time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
0.000000000000000000e+00,3.722999999999999865e+00,9.718999999999999417e+00,5.996000000000000441e+00,0.000000000000000000e+00,3.712769999999999868e+02,0.000000000000000000e+00,2.016000000000000014e+00,1.005300000000000082e+01,8.037000000000000810e+00,0.000000000000000000e+00,3.774470000000000027e+02
8.999999999999999320e-03,3.710999999999999854e+00,9.728999999999999204e+00,6.017999999999999794e+00,5.048521904975598624e-04,3.712889999999999873e+02,8.999999999999999320e-03,1.991000000000000103e+00,1.002800000000000047e+01,8.037000000000000810e+00,4.941253980454595384e-04,3.774719999999999800e+02
1.700000000000000122e-02,3.697999999999999954e+00,9.705000000000000071e+00,6.006999999999999673e+00,9.536096931620576022e-04,3.713020000000000209e+02,1.700000000000000122e-02,2.028000000000000025e+00,1.005199999999999960e+01,8.023999999999999133e+00,9.333479740858681255e-04,3.774479999999999791e+02
2.599999999999999881e-02,3.698999999999999844e+00,9.692999999999999616e+00,5.993999999999999773e+00,1.458461883659617356e-03,3.713009999999999877e+02,2.599999999999999881e-02,2.040000000000000036e+00,1.005100000000000016e+01,8.010999999999999233e+00,1.427473372131327555e-03,3.774490000000000123e+02
3.500000000000000333e-02,3.713000000000000078e+00,9.705000000000000071e+00,5.991999999999999993e+00,1.963314074157177219e-03,3.712869999999999777e+02,3.500000000000000333e-02,2.040999999999999925e+00,1.001399999999999935e+01,7.972999999999999865e+00,1.921598770176787202e-03,3.774859999999999900e+02
4.399999999999999745e-02,3.673999999999999932e+00,9.656000000000000583e+00,5.982000000000000206e+00,2.468166264654736864e-03,3.713260000000000218e+02,4.399999999999999745e-02,2.067000000000000171e+00,1.000200000000000067e+01,7.934999999999999609e+00,2.415724168222246632e-03,3.774979999999999905e+02
5.199999999999999761e-02,3.673999999999999932e+00,9.654999999999999361e+00,5.980999999999999872e+00,2.916923767319234712e-03,3.713260000000000218e+02,5.199999999999999761e-02,2.141999999999999904e+00,1.003999999999999915e+01,7.897999999999999687e+00,2.854946744262655111e-03,3.774599999999999795e+02
5.999999999999999778e-02,3.750999999999999890e+00,9.733000000000000540e+00,5.982000000000000206e+00,3.365681269983732127e-03,3.712490000000000236e+02,6.099999999999999867e-02,2.180000000000000160e+00,1.003999999999999915e+01,7.860000000000000320e+00,3.349072142308114758e-03,3.774599999999999795e+02
6.900000000000000577e-02,3.763999999999999790e+00,9.730000000000000426e+00,5.966000000000000192e+00,3.870533460481292640e-03,3.712359999999999900e+02,6.900000000000000577e-02,2.205999999999999961e+00,1.004100000000000037e+01,7.834999999999999964e+00,3.788294718348523670e-03,3.774590000000000032e+02
7.699999999999999900e-02,3.700000000000000178e+00,9.679999999999999716e+00,5.980000000000000426e+00,4.319290963145789621e-03,3.713000000000000114e+02,7.799999999999999989e-02,2.257000000000000117e+00,1.005499999999999972e+01,7.798000000000000043e+00,4.282420116393982450e-03,3.774449999999999932e+02
8.599999999999999312e-02,3.713999999999999968e+00,9.682999999999999829e+00,5.969000000000000306e+00,4.824143153643349266e-03,3.712860000000000014e+02,8.699999999999999400e-02,2.244000000000000217e+00,1.000300000000000011e+01,7.759000000000000341e+00,4.776545514439441663e-03,3.774970000000000141e+02
9.500000000000000111e-02,3.725999999999999979e+00,9.694000000000000838e+00,5.967999999999999972e+00,5.328995344140909779e-03,3.712740000000000009e+02,9.600000000000000200e-02,2.257000000000000117e+00,9.978999999999999204e+00,7.722000000000000419e+00,5.270670912484901743e-03,3.775210000000000150e+02
