center_CAM,Weights
-5.575710000000000388e-01,2.894075972465809943e-01
-4.301262000000000141e-01,2.850270197466590050e-01
-4.779180000000000095e-01,2.806467118207370270e-01
-3.584384999999999932e-01,2.762661343208149822e-01
-4.858833000000000180e-01,2.718858263948930043e-01
9.717666000000000359e-01,2.675052488949700158e-01
-3.664038000000000017e-01,2.631249409690479824e-01
-4.619873999999999925e-01,2.753807599936110018e-01
-3.982649999999999801e-01,3.130036104494899885e-01
-3.982649999999999801e-01,3.569742774389840223e-01
-3.504731999999999847e-01,3.350340870236199753e-01
-3.584384999999999932e-01,3.745500448828210094e-01
-3.584384999999999932e-01,4.109377116758259896e-01
-3.664038000000000017e-01,4.059099931292849961e-01
-3.026813999999999893e-01,4.290266241174690021e-01
-2.947160999999999809e-01,4.483378856643129851e-01
-2.867507999999999724e-01,4.537270348078790150e-01
-2.867507999999999724e-01,5.037755487585110492e-01
-2.708202000000000109e-01,5.510307485903369606e-01
-2.628549000000000024e-01,5.531261007516869999e-01
-3.664038000000000017e-01,5.811035139993080412e-01
-3.584384999999999932e-01,6.242818454988590116e-01
-3.186120000000000063e-01,6.321095955437460168e-01
-3.425078999999999763e-01,6.341783428846700099e-01
-3.106466999999999978e-01,6.675234387980230055e-01
-3.106466999999999978e-01,6.995948620979469679e-01
-3.584384999999999932e-01,7.222775600444879540e-01
-3.743691000000000102e-01,7.587955027441819489e-01
-3.982649999999999801e-01,7.932259615600629754e-01
-3.982649999999999801e-01,8.188726427592679658e-01
-4.062302999999999886e-01,8.378755800555309774e-01
-4.699527000000000010e-01,8.731933712130860448e-01
-4.141955999999999971e-01,8.902767787931079591e-01
-4.858833000000000180e-01,9.001078713453479763e-01
-4.699527000000000010e-01,9.246661757741829746e-01
-5.336750999999999578e-01,9.505700235349070493e-01
-5.018139000000000349e-01,9.509013396964759446e-01
-4.540220999999999840e-01,9.798168097924200293e-01
-4.699527000000000010e-01,9.988101668161789570e-01
-5.018139000000000349e-01,9.971011318425969661e-01
-5.097791999999999879e-01,9.934115058625150319e-01
-4.699527000000000010e-01,9.999188077409619790e-01
-4.380915000000000226e-01,1.000988430825870079e+00
-4.221609000000000056e-01,9.908779375732780226e-01
-3.982649999999999801e-01,9.995944199999869939e-01
-3.584384999999999932e-01,1.003870102664899955e+00
-3.664038000000000017e-01,1.006982263458860105e+00
-3.584384999999999932e-01,1.003252445403250093e+00
-3.425078999999999763e-01,1.004042786792370023e+00
-3.345426000000000233e-01,1.002042615039050011e+00
-2.947160999999999809e-01,9.986104386220580054e-01
-3.345426000000000233e-01,9.940048981545489548e-01
-2.947160999999999809e-01,1.001564879084970050e+00
-2.469243000000000132e-01,9.958818618543909817e-01
-2.787855000000000194e-01,9.963161261218930198e-01
-2.787855000000000194e-01,1.006552594914760013e+00
-3.026813999999999893e-01,9.990858041828990510e-01
-2.150631000000000070e-01,9.970792469026590332e-01
-2.309936999999999963e-01,1.004248367734440039e+00
-1.911672000000000093e-01,9.947934527729169751e-01
-2.070977999999999986e-01,9.930152061389260210e-01
-1.832019000000000009e-01,1.002313738145520050e+00
-2.150631000000000070e-01,1.004168632983239995e+00
-2.070977999999999986e-01,9.948810136002620430e-01
-2.230283999999999878e-01,1.003259781160700026e+00
-1.911672000000000093e-01,1.005290485496870057e+00
-1.911672000000000093e-01,9.974907184210299871e-01
-1.911672000000000093e-01,9.904413115891329555e-01
-2.150631000000000070e-01,1.004263857436000107e+00
-2.150631000000000070e-01,1.001578162677039918e+00
-1.911672000000000093e-01,9.948233215513949679e-01
-1.832019000000000009e-01,9.994335629885120476e-01
-1.672713000000000116e-01,1.005016371410639930e+00
-1.513406999999999947e-01,1.000351393921389942e+00
-1.354101000000000055e-01,1.001779034646820055e+00
-1.354101000000000055e-01,1.004013274106700049e+00
-1.433753999999999862e-01,9.926345254668590412e-01
-1.672713000000000116e-01,9.965235724688790153e-01
-1.513406999999999947e-01,1.000641854791139984e+00
-1.433753999999999862e-01,1.003294618991600107e+00
-1.672713000000000116e-01,9.965545265365779448e-01
-2.230283999999999878e-01,9.975243351852499663e-01
-1.593060000000000032e-01,1.002716921656880089e+00
-1.433753999999999862e-01,1.003045345669880017e+00
-1.274447999999999970e-01,9.924556141607400184e-01
-1.433753999999999862e-01,1.000433088692030070e+00
