LT_time,LT_x,LT_y,LT_z
4.400000000000003908e-01,2.196656795799998463e+01,4.991777929081999901e+02,-2.515274697999809739e-01
4.500000000000001776e-01,2.246986063200000672e+01,4.991694667901999765e+02,-2.513861327999800110e-01
4.599999999999999645e-01,2.297315308399998912e+01,4.991611442001999990e+02,-2.502448018000040242e-01
4.699999999999997513e-01,2.348508980200000451e+01,4.991593106971999987e+02,-2.531244677999899828e-01
4.800000000000004263e-01,2.400190283999998542e+01,4.991597836212000061e+02,-2.490111407999709980e-01
4.900000000000002132e-01,2.450345305799999096e+01,4.991644286801999897e+02,-2.349158637999599897e-01
5.000000000000000000e-01,2.499242810399999826e+01,4.991963551901999949e+02,-2.339197197999849931e-01
5.099999999999997868e-01,2.548468414999999254e+01,4.992234467452000217e+02,-2.369058137999699998e-01
5.200000000000004619e-01,2.597277055800000767e+01,4.992183014501999878e+02,-2.247790037999700119e-01
5.300000000000002487e-01,2.648102214200000049e+01,4.991932875201999877e+02,-2.085775838000069882e-01
5.400000000000000355e-01,2.698776414599998930e+01,4.991771736791999956e+02,-2.004079517999690085e-01
5.499999999999998224e-01,2.748221596799999134e+01,4.991833494492000227e+02,-2.053197777999639928e-01
5.599999999999996092e-01,2.797350123000001076e+01,4.991923563821999892e+02,-2.082422838000060061e-01
5.700000000000002842e-01,2.845480119799998420e+01,4.992008180212000070e+02,-2.041650417999880118e-01
5.800000000000000711e-01,2.894702716999998415e+01,4.992108909052000172e+02,-2.040910797999880011e-01
5.899999999999998579e-01,2.945480050800000527e+01,4.992118068702000073e+02,-2.119814047999699913e-01
5.999999999999996447e-01,2.996564978199998563e+01,4.991939278172000058e+02,-2.028046248000119900e-01
6.100000000000003197e-01,3.048054932799999506e+01,4.991752819202000069e+02,-1.926242317999629916e-01
6.200000000000001066e-01,3.099025930799999173e+01,4.991773596432000204e+02,-1.865181337999909927e-01
6.299999999999998934e-01,3.147141835599998672e+01,4.992058350571999767e+02,-1.855115527999590119e-01
6.399999999999996803e-01,3.196561281999998982e+01,4.992340601462000222e+02,-1.825011757999729922e-01
6.500000000000003553e-01,3.246548312999999553e+01,4.992505898141999978e+02,-1.794482737999870126e-01
