width_LLS_A,Weights,error_LLS_A
5.942421627850399624e+00,1.001201774744010065e+00,-4.075783721496000211e-01
6.013694929431410152e+00,9.944472542171719498e-01,-3.363050705685894926e-01
6.038240633970869631e+00,9.938695171385389937e-01,-3.117593660291300139e-01
5.989616251430789795e+00,9.968840168064070362e-01,-3.603837485692098497e-01
6.051388411743819695e+00,1.006817612953879948e+00,-2.986115882561799495e-01
5.998003756358819771e+00,9.998832812339809584e-01,-3.519962436411798734e-01
6.006251969402209845e+00,9.955511448100069494e-01,-3.437480305977897999e-01
5.945612920084389685e+00,9.925321933240649486e-01,-4.043870799156099594e-01
6.052695447913429838e+00,1.006178705864190004e+00,-2.973045520865698066e-01
5.937680140059150347e+00,1.000926532154019943e+00,-4.123198599408492981e-01
5.964372285212520275e+00,1.000202788038430102e+00,-3.856277147874793698e-01
5.912685019849000412e+00,9.971729775585419508e-01,-4.373149801509992329e-01
5.980368139644800074e+00,9.995459878564200151e-01,-3.696318603551995707e-01
5.974888385462399754e+00,1.005722464536350058e+00,-3.751116145375998912e-01
6.071025061503889653e+00,1.002635783837849903e+00,-2.789749384961099921e-01
6.054125712085640210e+00,9.938130046585630373e-01,-2.958742879143594351e-01
6.027726012853830362e+00,9.961481309701120113e-01,-3.222739871461692829e-01
6.033699109646709857e+00,9.967453039802649517e-01,-3.163008903532897875e-01
6.086890468363040263e+00,9.972707436109270462e-01,-2.631095316369593817e-01
6.117826464007469767e+00,9.997429709860039537e-01,-2.321735359925298781e-01
6.179500134521339838e+00,9.984888879022849606e-01,-1.704998654786598067e-01
6.113742146560359636e+00,1.005118322557559951e+00,-2.362578534396400087e-01
6.136872758692960339e+00,1.006457792208649948e+00,-2.131272413070393057e-01
6.189184284426899829e+00,9.952668361871289671e-01,-1.608157155730998156e-01
6.215295790901810058e+00,1.000466447842200068e+00,-1.347042090981895868e-01
6.121450524898359724e+00,1.003012491526249939e+00,-2.285494751016399206e-01
6.102290225275040392e+00,1.007249357347079988e+00,-2.477097747249592530e-01
6.110539501904590054e+00,1.006234812542339929e+00,-2.394604980954095907e-01
6.086251996248029705e+00,9.977569316679699707e-01,-2.637480037519699394e-01
6.160448429528540437e+00,1.001365259398750096e+00,-1.895515704714592076e-01
6.210198020904000415e+00,9.986265890620309449e-01,-1.398019790959992292e-01
6.148712681728720320e+00,1.008121288946919991e+00,-2.012873182712793252e-01
6.180446518307410209e+00,1.001687574386270096e+00,-1.695534816925894361e-01
6.079917959555020346e+00,1.006933903540579989e+00,-2.700820404449792989e-01
6.194266128747409894e+00,9.993361874332059580e-01,-1.557338712525897506e-01
6.142271141355980291e+00,9.997184925273440159e-01,-2.077288586440193541e-01
6.163060033534200066e+00,9.996777674825449989e-01,-1.869399664657995785e-01
6.083199858364640278e+00,9.999895173702469942e-01,-2.668001416353593669e-01
6.146849788981709750e+00,1.005891882654849967e+00,-2.031502110182898946e-01
6.091007103581289606e+00,9.936465357453480030e-01,-2.589928964187100391e-01
6.114167020956189802e+00,9.892661153140159813e-01,-2.358329790438098428e-01
6.107900866609229595e+00,9.963993941798410248e-01,-2.420991333907700493e-01
6.106364409852529818e+00,1.003645599570500035e+00,-2.436355901474698271e-01
6.063470497792460279e+00,1.002674215597489926e+00,-2.865295022075393661e-01
6.116964321928190174e+00,9.987764319210620245e-01,-2.330356780718094711e-01
5.988118605929970251e+00,9.959732548763420290e-01,-3.618813940700293941e-01
6.007853271744290069e+00,9.953550374472499573e-01,-3.421467282557095757e-01
6.071259845306450131e+00,1.005928453264109956e+00,-2.787401546935495134e-01
6.071300806707670361e+00,1.001535548021349920e+00,-2.786991932923292836e-01
5.968863483331159792e+00,9.976542934559959885e-01,-3.811365166688398531e-01
6.117819985351279577e+00,9.939506665671770103e-01,-2.321800146487200678e-01
6.022199657781209581e+00,9.962781529250940293e-01,-3.278003422187900640e-01
6.116823492338159696e+00,9.963560869166430134e-01,-2.331765076618399490e-01
6.054183307014629811e+00,9.965849860321990272e-01,-2.958166929853698335e-01
6.016275934575619821e+00,9.963201473875830105e-01,-3.337240654243798232e-01
6.005448681338969585e+00,9.979244894393030085e-01,-3.445513186610300593e-01
6.113305275316050391e+00,1.008520975426439925e+00,-2.366947246839492536e-01
6.083782565855550217e+00,9.981531797731439948e-01,-2.662174341444494274e-01
6.076494507298249914e+00,1.000521170539659943e+00,-2.735054927017497306e-01
6.038882857993299602e+00,1.002053005720660028e+00,-3.111171420067000426e-01
6.161557627579849594e+00,1.003568954495339893e+00,-1.884423724201500505e-01
6.184053130691539835e+00,9.990462344374859693e-01,-1.659468693084598101e-01
6.094914082242140374e+00,9.966265997786539765e-01,-2.550859177578592707e-01
6.105899029928259836e+00,9.954764225573580205e-01,-2.441009700717398090e-01
6.095892863008799623e+00,1.005601331806919907e+00,-2.541071369912000222e-01
6.134544641393450348e+00,1.003729511089789916e+00,-2.154553586065492965e-01
6.206376797179109950e+00,9.994356735474529962e-01,-1.436232028208896949e-01
6.167513945387709917e+00,9.914332053037250292e-01,-1.824860546122897276e-01
6.197979833413070239e+00,1.000970553715140099e+00,-1.520201665869294061e-01
6.140515190778340404e+00,1.004754062537430048e+00,-2.094848092216592406e-01
6.222341462216659735e+00,9.997537683657270469e-01,-1.276585377833399093e-01
6.223272947417379797e+00,1.003137574113549979e+00,-1.267270525826198480e-01
6.116539165808649869e+00,9.999174455734319844e-01,-2.334608341913497753e-01
6.110447156819829750e+00,1.004203246709040043e+00,-2.395528431801698943e-01
6.115858417787119805e+00,1.004310186700460017e+00,-2.341415822128798396e-01
6.132578676894610226e+00,9.966777105462579778e-01,-2.174213231053894191e-01
6.151619257403160290e+00,9.953616715914690438e-01,-1.983807425968393545e-01
6.148592055210969853e+00,1.001854553923690050e+00,-2.014079447890297914e-01
6.093743291525290040e+00,1.008286138432890056e+00,-2.562567084747096047e-01
6.089266319588140242e+00,9.974306287726250053e-01,-2.607336804118594031e-01
6.105147525418150423e+00,9.936167904393989891e-01,-2.448524745818492221e-01
6.108516403356560431e+00,1.001913251842539987e+00,-2.414835966434392134e-01
6.058206846033719728e+00,1.006109831095719942e+00,-2.917931539662799167e-01
6.164357030368250001e+00,1.002676911607500054e+00,-1.856429696317496436e-01
6.188857123867969712e+00,1.006495803705169889e+00,-1.611428761320299330e-01
6.087768860619590328e+00,1.001548927590719895e+00,-2.622311393804093171e-01
6.017108550077639784e+00,1.001532243567949898e+00,-3.328914499223598611e-01
6.112240081800360159e+00,1.011403755515829950e+00,-2.377599181996394861e-01
6.083398089113620344e+00,1.004406057381119988e+00,-2.666019108863793008e-01
6.226891282290090146e+00,9.981902666211259767e-01,-1.231087177099094987e-01
6.171725591165129643e+00,9.978471410893330340e-01,-1.782744088348700018e-01
6.096427582862060213e+00,1.006357742805199962e+00,-2.535724171379394321e-01
6.068219210722769930e+00,1.004678925485789964e+00,-2.817807892772297151e-01
6.083665031882500074e+00,9.989863570529680104e-01,-2.663349681174995709e-01
6.111159360559930143e+00,9.937572375521189771e-01,-2.388406394400695021e-01
6.078644128786810263e+00,9.973443618367340280e-01,-2.713558712131893813e-01
6.059961766011889850e+00,1.007969899729219909e+00,-2.900382339881097948e-01
6.073954123115189674e+00,1.008352012293969979e+00,-2.760458768848099709e-01
6.124651258405950038e+00,9.963684555298309986e-01,-2.253487415940496064e-01
6.075656375011909915e+00,9.906856569513760036e-01,-2.743436249880897293e-01
6.069933799296039822e+00,1.000497729643629929e+00,-2.800662007039598222e-01
6.028683118662280016e+00,1.001317946297650030e+00,-3.213168813377196287e-01
6.105851908345900192e+00,9.966877887938699887e-01,-2.441480916540994528e-01
6.203336157261669648e+00,9.949126335343140282e-01,-1.466638427383299970e-01
6.118310407822780128e+00,9.948139306240250113e-01,-2.316895921772195166e-01
6.084149446079809564e+00,9.994437273212189998e-01,-2.658505539201900802e-01
6.075595995989639952e+00,1.005302766896690070e+00,-2.744040040103596922e-01
6.041181074329529999e+00,1.003251756758440028e+00,-3.088189256704696461e-01
6.174843483030410418e+00,9.959870767712459827e-01,-1.751565169695892266e-01
6.120173926793039954e+00,9.877301353013649976e-01,-2.298260732069596912e-01
6.152707624286479771e+00,9.955485514457500518e-01,-1.972923757135198741e-01
6.093247300540440392e+00,9.982793728589880455e-01,-2.567526994595592527e-01
6.069029466316269605e+00,9.983586972114140146e-01,-2.809705336837300393e-01
6.009185732036700145e+00,9.962234389906899912e-01,-3.408142679632994998e-01
6.130019357333470253e+00,9.951612704669400289e-01,-2.199806426665293912e-01
6.068382848905839566e+00,1.001911396757710015e+00,-2.816171510941600786e-01
6.092657252909799759e+00,1.001996749743160109e+00,-2.573427470901998859e-01
6.086165689715270055e+00,1.006146111237079976e+00,-2.638343102847295896e-01
6.074564842210979698e+00,1.001409957757160019e+00,-2.754351577890199465e-01
6.063024846736060347e+00,9.962569459964659702e-01,-2.869751532639392977e-01
6.134520591276499957e+00,9.955531705028209943e-01,-2.154794087234996880e-01
6.119915010281239631e+00,9.931992062748790095e-01,-2.300849897187600135e-01
6.106377886288020029e+00,9.983766970938390273e-01,-2.436221137119796154e-01
6.018124603626869629e+00,9.978711690589250338e-01,-3.318753963731300161e-01
6.133977237485090050e+00,9.997528972813239934e-01,-2.160227625149095942e-01
6.080307351688840178e+00,9.950768500428429642e-01,-2.696926483111594663e-01
6.175966692238669786e+00,1.005321447828289916e+00,-1.740333077613298585e-01
6.153602815524640057e+00,1.002926391284979957e+00,-1.963971844753595875e-01
6.106009866144860077e+00,1.003661764802660006e+00,-2.439901338551395682e-01
6.066936621444320110e+00,9.998005701136160051e-01,-2.830633785556795345e-01
6.057303010378880082e+00,9.997009366821260068e-01,-2.926969896211195632e-01
6.048869478831240265e+00,1.000920123910910009e+00,-3.011305211687593797e-01
6.050924795453849647e+00,9.981276506538939719e-01,-2.990752045461499975e-01
6.026290349357790177e+00,1.000082039374180054e+00,-3.237096506422094677e-01
6.138744274332370132e+00,1.004458218096909938e+00,-2.112557256676295125e-01
6.219888570859110288e+00,9.985935575495320515e-01,-1.301114291408893564e-01
