Gap_time,Gap_leftedge,Gap_rightedge,Gap_gap,Gap_x,LT_time,LT_y,LT_z
nan,3.238999999999999879e+00,9.686999999999999389e+00,6.448000000000000398e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.263999999999999790e+00,9.727000000000000313e+00,6.463000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.251999999999999780e+00,9.712999999999999190e+00,6.461000000000000298e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.226999999999999869e+00,9.663000000000000256e+00,6.435999999999999943e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.225999999999999979e+00,9.638999999999999346e+00,6.413000000000000256e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.238999999999999879e+00,9.663999999999999702e+00,6.424999999999999822e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.238999999999999879e+00,9.666000000000000369e+00,6.426999999999999602e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.251999999999999780e+00,9.654999999999999361e+00,6.402999999999999581e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.240000000000000213e+00,9.644000000000000128e+00,6.403999999999999915e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.240000000000000213e+00,9.657000000000000028e+00,6.416999999999999815e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.278000000000000025e+00,9.667999999999999261e+00,6.389999999999999680e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.265000000000000124e+00,9.666000000000000369e+00,6.400999999999999801e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.238999999999999879e+00,9.640000000000000568e+00,6.400999999999999801e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.228000000000000203e+00,9.602000000000000313e+00,6.373999999999999666e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.265000000000000124e+00,9.612999999999999545e+00,6.347999999999999865e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.263999999999999790e+00,9.625999999999999446e+00,6.362000000000000099e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.251999999999999780e+00,9.614000000000000767e+00,6.362000000000000099e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.263999999999999790e+00,9.638999999999999346e+00,6.375000000000000000e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.290000000000000036e+00,9.653000000000000469e+00,6.363000000000000433e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.290000000000000036e+00,9.664999999999999147e+00,6.375000000000000000e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.302999999999999936e+00,9.643000000000000682e+00,6.339999999999999858e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.290000000000000036e+00,9.617000000000000881e+00,6.326999999999999957e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.302999999999999936e+00,9.641999999999999460e+00,6.339000000000000412e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.329000000000000181e+00,9.643000000000000682e+00,6.314000000000000057e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.329000000000000181e+00,9.618999999999999773e+00,6.290000000000000036e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.315999999999999837e+00,9.617000000000000881e+00,6.301000000000000156e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.327999999999999847e+00,9.630000000000000782e+00,6.301999999999999602e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.353000000000000203e+00,9.653000000000000469e+00,6.299999999999999822e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.354000000000000092e+00,9.651999999999999247e+00,6.298000000000000043e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.353000000000000203e+00,9.628000000000000114e+00,6.275000000000000355e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.366000000000000103e+00,9.615000000000000213e+00,6.248999999999999666e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.378000000000000114e+00,9.637999999999999901e+00,6.259999999999999787e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.403999999999999915e+00,9.640000000000000568e+00,6.235999999999999766e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.378000000000000114e+00,9.615999999999999659e+00,6.238000000000000433e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.379999999999999893e+00,9.603999999999999204e+00,6.224000000000000199e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.391000000000000014e+00,9.615999999999999659e+00,6.224999999999999645e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.416999999999999815e+00,9.630000000000000782e+00,6.213000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.404999999999999805e+00,9.618000000000000327e+00,6.213000000000000078e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.379999999999999893e+00,9.579000000000000625e+00,6.198999999999999844e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.391999999999999904e+00,9.567999999999999616e+00,6.176000000000000156e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.379999999999999893e+00,9.567999999999999616e+00,6.187999999999999723e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.354000000000000092e+00,9.566000000000000725e+00,6.211999999999999744e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.354000000000000092e+00,9.554000000000000270e+00,6.200000000000000178e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.354000000000000092e+00,9.564999999999999503e+00,6.211000000000000298e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.366000000000000103e+00,9.589999999999999858e+00,6.224000000000000199e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.391999999999999904e+00,9.627000000000000668e+00,6.235000000000000320e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.391000000000000014e+00,9.628000000000000114e+00,6.237000000000000099e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
nan,3.403999999999999915e+00,9.630000000000000782e+00,6.225999999999999979e+00,nan,nan,4.993060500551999894e+02,3.493799049199989959e+00
