center_CAM,Weights,error_CAM
4.779180000000000095e-01,1.006065560384429958e+00,4.779180000000000095e-01
4.699527000000000010e-01,9.951502480745759716e-01,4.699527000000000010e-01
4.380915000000000226e-01,9.958133556708980150e-01,4.380915000000000226e-01
4.062302999999999886e-01,9.999253409635160406e-01,4.062302999999999886e-01
4.380915000000000226e-01,1.001404396062079982e+00,4.380915000000000226e-01
4.301262000000000141e-01,9.988122040917220001e-01,4.301262000000000141e-01
4.062302999999999886e-01,1.004671952420129966e+00,4.062302999999999886e-01
3.902997000000000272e-01,9.993074630867929686e-01,3.902997000000000272e-01
3.425078999999999763e-01,9.999703302516409487e-01,3.425078999999999763e-01
3.584384999999999932e-01,1.004508435566989988e+00,3.584384999999999932e-01
3.584384999999999932e-01,9.957255833302930403e-01,3.584384999999999932e-01
3.026813999999999893e-01,1.001223902441499947e+00,3.026813999999999893e-01
2.548895999999999940e-01,1.000852477327049961e+00,2.548895999999999940e-01
2.867507999999999724e-01,9.925060737212200168e-01,2.867507999999999724e-01
3.345426000000000233e-01,1.002190199638389956e+00,3.345426000000000233e-01
3.026813999999999893e-01,1.006222169961920043e+00,3.026813999999999893e-01
3.026813999999999893e-01,9.996487241025630022e-01,3.026813999999999893e-01
2.787855000000000194e-01,1.000355758858920030e+00,2.787855000000000194e-01
2.787855000000000194e-01,1.001558985634849908e+00,2.787855000000000194e-01
3.743691000000000102e-01,1.003402674189540100e+00,3.743691000000000102e-01
3.425078999999999763e-01,9.996830975275300402e-01,3.425078999999999763e-01
4.062302999999999886e-01,9.982544109487050399e-01,4.062302999999999886e-01
3.584384999999999932e-01,9.972990154036860400e-01,3.584384999999999932e-01
4.141955999999999971e-01,1.000122030199050105e+00,4.141955999999999971e-01
4.380915000000000226e-01,9.975173617440650231e-01,4.380915000000000226e-01
4.141955999999999971e-01,9.968248075776560135e-01,4.141955999999999971e-01
4.460567999999999755e-01,1.001502602466199932e+00,4.460567999999999755e-01
4.301262000000000141e-01,9.994375336155899570e-01,4.301262000000000141e-01
4.460567999999999755e-01,9.932803421854510262e-01,4.460567999999999755e-01
4.858833000000000180e-01,1.001249055909330110e+00,4.858833000000000180e-01
4.779180000000000095e-01,1.004278436126099905e+00,4.779180000000000095e-01
4.938486000000000264e-01,9.982343930553490008e-01,4.938486000000000264e-01
4.540220999999999840e-01,9.980707523845470108e-01,4.540220999999999840e-01
4.779180000000000095e-01,1.004660163608640078e+00,4.779180000000000095e-01
4.938486000000000264e-01,1.003520589280809894e+00,4.938486000000000264e-01
5.416404000000000218e-01,1.000379558962950055e+00,5.416404000000000218e-01
5.257098000000000049e-01,1.000015745314269955e+00,5.257098000000000049e-01
5.177445000000000519e-01,9.973758428009770194e-01,5.177445000000000519e-01
5.257098000000000049e-01,1.007113217994620058e+00,5.257098000000000049e-01
5.496056999999999748e-01,1.001627160886799928e+00,5.496056999999999748e-01
5.894321999999999617e-01,1.001059141023989962e+00,5.894321999999999617e-01
5.814669000000000088e-01,1.007439785635910079e+00,5.814669000000000088e-01
5.416404000000000218e-01,1.008155466044339921e+00,5.416404000000000218e-01
5.336750999999999578e-01,9.976921531943889754e-01,5.336750999999999578e-01
